int, string, string, EGradeType, string, int, int, EUnitType, EUnitAttackType, int[], FP, FP, FP, FP, bool, FP, FP, FP, string, string, string[], string[], string, EUnlockPresetType[], int, int[], int[], int, int, int[], int[], bool, bool, bool, bool, bool, bool, bool, bool, bool, bool, string, string, string
Id, SpecificName, Name, Grade, Description, RaceType, RoleType, UnitType, AttackType, SkillIds, AttackDamage, PlusAttackDamagePercentage, UpgradeAttackDamage, AttackSpeed, IsFixedAttackSpeed, AttackRange, MoveSpeed, Sp, ProjectileName, HitEffectName, AttackSoundNames, HitSoundNames, SummonSoundName, UnlockPresets, ScheduleId, BestPositions, AiBestPositions, SkinTargetId, OriginId, NextId, SkinDisplayId, IsDisplayTrans, IsPreviewTrans, IsInGameLock, IsUse, IsOnlySingle, IsSpawnable, IsOwnable, isPolymorphic, IsHallowUnit, IsHyperUnit, DefaultIlluistration, DefaultIcon, TransKey
3001, "player_unit_3001", "player_unit_name_3001", "Epic", "player_unit_description_3001", 2, 2, "Normal", "Melee", "30010 | 30011 | 30012", 750, "0.6", "37.5", 2, "FALSE", "2.1", 4, 0, "", "Fx_Hit_01", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "", "", "", "6 | 9", "6 | 9", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_3001", "icon_3001_uiprofile"
3002, "player_unit_3002", "player_unit_name_3002", "Epic", "player_unit_description_3002", 3, 3, "Normal", "Ranged", "30020 | 30021", 750, "0.6", "37.5", 2, "FALSE", 4, 4, 0, "", "Fx_projectile_3002", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "", "", "", "4 | 7 | 10 | 8 | 11", "7 | 10 | 8 | 11", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_3002", "icon_3002_uiprofile"
3003, "player_unit_3003", "player_unit_name_3003", "Epic", "player_unit_description_3003", 1, 1, "Normal", "Melee", "30030 | 30031 | 30032", 1500, "0.6", 75, 2, "FALSE", "2.1", 4, 0, "", "Fx_Hit_01", "ingame_units_shot_attack_1 | ingame_units_shot_attack_2", "ingame_units_shot_hit_1 | ingame_units_shot_hit_2", "", "", "", "1 | 0 | 3 | 6 | 9", "0 | 3 | 6 | 9", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_3003", "icon_3003_uiprofile"
3005, "player_unit_3005", "player_unit_name_3005", "Epic", "player_unit_description_3005", 4, 4, "Normal", "Ranged", "30050 | 30051 | 30052 | 30053", 1500, "0.6", 75, 2, "FALSE", 4, 4, 0, "", "Fx_Hit_01", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "", "", "", "4 | 7 | 10 | 5 | 8 | 11", "7 | 8 | 10 | 11 | 13 | 14", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_3005", "icon_3005_uiprofile"
3006, "player_unit_3006", "player_unit_name_3006", "Epic", "player_unit_description_3006", 4, 4, "Normal", "Melee", "30060 | 30061 | 30062", 1125, "0.6", "56.25", 2, "FALSE", "2.1", 4, 0, "", "Fx_Hit_01", "ingame_units_metal_attack_1 | ingame_units_metal_attack_2", "ingame_units_metal_hit_1 | ingame_units_metal_hit_2", "", "", "", "3| 6 | 9", "3| 6 | 9", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_3006", "icon_3006_uiprofile"
4003, "player_unit_4003", "player_unit_name_4003", "Legend", "player_unit_description_4003", 2, 2, "Normal", "Melee", "40030 | 40031 | 40032", 3000, "0.5", 150, 2, "FALSE", "2.1", 4, 100, "", "Fx_Hit_01", "ingame_units_metal_attack_1 | ingame_units_metal_attack_2", "ingame_units_metal_hit_1 | ingame_units_metal_hit_2", "", "", "", "6 | 9 | 12", "3 | 6 | 9", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_4003", "icon_4003_uiprofile"
4004, "player_unit_4004", "player_unit_name_4004", "Legend", "player_unit_description_4004", 4, 4, "Normal", "Melee", "40040 | 40041 | 40042 | 40043 | 40044", 6000, "0.5", 300, 2, "FALSE", "2.1", 4, 100, "", "Fx_Hit_01", "ingame_units_punch_attack_1 | ingame_units_punch_attack_2", "ingame_units_punch_hit_1 | ingame_units_punch_hit_2", "", "", "", "0 | 3 | 6 | 1", "0 | 1 | 3 | 6 | 9", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_4004", "icon_4004_uiprofile"
4005, "player_unit_4005", "player_unit_name_4005", "Legend", "player_unit_description_4005", 3, 3, "Normal", "Ranged", "40050 | 40051 | 40052", 3000, "0.5", 150, 2, "FALSE", 4, 4, 100, "projectile_4005", "Fx_Hit_01", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "", "", "", "7 | 10 | 13 | 8 | 11", "7 | 8 | 10 | 11 | 13 | 14", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_4005", "icon_4005_uiprofile"
4007, "player_unit_4007", "player_unit_name_4007", "Legend", "player_unit_description_4007", 1, 1, "Normal", "Ranged", "40070 | 40071 | 40072 | 40073", 5000, "0.5", 250, 2, "FALSE", 4, 4, 100, "", "Fx_Hit_01", "ingame_units_shot_attack_1 | ingame_units_shot_attack_2", "ingame_units_shot_hit_1 | ingame_units_shot_hit_2", "", "", "", "4 | 7 | 10 | 5 | 8 | 11", "7 | 8 | 10 | 11 | 13 | 14", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_4007", "icon_4007_uiprofile"
4008, "player_unit_4008", "player_unit_name_4008", "Legend", "player_unit_description_4008", 4, 4, "Normal", "Ranged", "40080 | 40081 | 40082", 5000, "0.5", 250, 2, "FALSE", 4, 4, 100, "projectile_4008", "Fx_Hit_01", "ingame_units_metal_attack_1 | ingame_units_metal_attack_2", "ingame_units_metal_hit_1 | ingame_units_metal_hit_2", "", "", "", "4 | 7 | 10 | 5 | 8 | 11", "7 | 8 | 10 | 11 | 13 | 14", "", "", "", "", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "illust_unit_4008", "icon_4008_uiprofile"
3004, "player_unit_3004", "player_unit_name_3004", "Mythical", "player_unit_description_3004", 2, 2, "Normal", "Ranged", "30040 | 30041 | 30042", 3024, "0.5", "151.2", 2, "FALSE", 4, 4, 0, "", "Fx_Hit_01", "ingame_units_shot_attack_1 | ingame_units_shot_attack_2", "ingame_units_shot_hit_1 | ingame_units_shot_hit_2", "", "", "", "12 | 10 | 13", "9 | 10 | 11 | 12 | 13 | 14", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_3004", "icon_3004_uiprofile"
3007, "player_unit_3007", "player_unit_name_3007", "Mythical", "player_unit_description_3007", 1, 1, "Normal", "Ranged", "30070 | 30071 | 30072", 5040, "0.5", 252, 2, "FALSE", 4, 4, 0, "projectile_3007", "Fx_Hit_01", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "ingame_myth_summon_ninja_vox", "", "", "12 | 10 | 13", "4 | 7 | 10", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_3007", "icon_3007_uiprofile"
4001, "player_unit_4001", "player_unit_name_4001", "Mythical", "player_unit_description_4001", 5, 5, "Normal", "Ranged", "40010 | 40011 | 40012", 5040, "0.5", 252, 2, "FALSE", 4, 4, 100, "", "Fx_4001_Attack", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "", "Unit_MythLevel_12", "", "12 | 10 | 13 | 11 | 14", "9 | 10 | 11 | 12 | 13 | 14", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_4001", "icon_4001_uiprofile"
4002, "player_unit_4002", "player_unit_name_4002", "Mythical", "player_unit_description_4002", 2, 1, "Normal", "Ranged", "40020 | 40021 | 40022", 7200, "0.5", 360, 2, "FALSE", 4, 4, 100, "", "Fx_Hit_01", "ingame_myth_pulse_attack", "", "", "", "", "12 | 10 | 13 | 11 | 14", "9 | 10 | 11 | 12 | 13 | 14", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_4002", "icon_4002_uiprofile"
4006, "player_unit_4006", "player_unit_name_4006", "Mythical", "player_unit_description_4006", 4, 4, "Normal", "Ranged", "40060 | 40061 | 40062", 2880, "0.5", 144, 2, "FALSE", 4, 4, 200, "projectile_4006", "Fx_Hit_01", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "", "Unit_MythLevel_6", "", "7 | 10 | 5 | 8 | 11", "4 | 5 | 7 | 8 | 10 | 11", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_4006", "icon_4006_uiprofile"
5001, "player_unit_5001", "player_unit_name_5001", "Mythical", "player_unit_description_5001", 1, 1, "Normal", "Melee", "50010 | 50011 | 50012 | 50013 | 50014 | 50015", 26640, "0.5", 1332, 2, "FALSE", "2.1", 4, 0, "", "Fx_Hit_01", "ingame_units_bamba_attack_1 | ingame_units_bamba_attack_2", "ingame_units_punch_hit_1 | ingame_units_punch_hit_2", "ingame_myth_summon_bamba_vox", "", "", "0 | 3 | 6", "0 | 3 | 6", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_5001", "icon_5001_uiprofile"
5002, "player_unit_5002", "player_unit_name_5002", "Mythical", "player_unit_description_5002", 3, 3, "Normal", "Ranged", "50020 | 50021 | 50022 | 50023 | 50024", 9300, "0.5", 465, 2, "FALSE", 4, 4, 100, "projectile_5002", "Fx_Hit_01", "ingame_units_coldy_attack_1 | ingame_units_coldy_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "ingame_myth_summon_coldy_vox", "", "", "12 | 15 | 16", "12 | 15 | 16", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_5002", "icon_5002_uiprofile"
5003, "player_unit_5003", "player_unit_name_5003", "Mythical", "player_unit_description_5003", 1, 1, "Normal", "Melee", "50030 | 50031 | 50032 | 50033 | 50034", 14040, "0.5", 702, 2, "FALSE", "2.1", 4, 100, "", "Fx_5003_Hit", "ingame_myth_lancelot_attack_1 | ingame_myth_lancelot_attack_2", "ingame_units_metal_hit_1 | ingame_units_metal_hit_2", "ingame_myth_summon_lancelot_vox", "", "", "0 | 3 | 6 | 9", "0 | 3 | 6 | 9 | 12", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_5003", "icon_5003_uiprofile"
5004, "player_unit_5004", "player_unit_name_5004", "Mythical", "player_unit_description_5004", 4, 4, "Normal", "Melee", "50040 | 50041", 8700, "0.5", 435, 2, "FALSE", "2.1", 4, 0, "", "Fx_5004_hit", "ingame_units_punch_attack_1 | ingame_units_punch_attack_2", "ingame_units_punch_hit_1 | ingame_units_punch_hit_2", "", "", "", "0 | 3 | 6 | 9", "0 | 3 | 6 | 9", 5004, 5004, 5104, "5004 | 5104", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_5004", "icon_5004_uiprofile", "popup_mythical_origin"
5104, "player_unit_5104", "player_unit_name_5104", "Mythical", "player_unit_description_5104", 4, 4, "Normal", "Ranged", "51040 | 51041 | 51042 | 51043 | 51044", 14040, "0.5", 702, "2.5", "FALSE", 4, 4, 100, "", "Fx_Hit_01", "ingame_myth_ironmeow_skill", "", "", "", "", "4 | 7 | 10", "4 | 5 | 7 | 8 | 10 | 11", 5004, 5004, 5204, "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "illust_unit_5104", "icon_5104_uiprofile", "popup_mythical_trans"
5204, "player_unit_5204", "player_unit_name_5204", "Mythical", "player_unit_description_5204", 4, 4, "Normal", "Ranged", "52040 | 52041 | 52042 | 52043 | 52044", 18720, "0.5", 936, "2.5", "FALSE", 4, 4, 100, "", "Fx_Hit_01", "ingame_myth_ironmeow_skill", "", "", "", "", "4 | 7 | 10", "4 | 5 | 7 | 8 | 10 | 11", 5004, 5004, "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "illust_unit_5204", "icon_5204_uiprofile", "popup_mythical_trans"
5005, "player_unit_5005", "player_unit_name_5005", "Mythical", "player_unit_description_5005", 5, 5, "Normal", "Melee", "50050 | 50051 | 50052 | 50053", 6840, "0.5", 342, 3, "FALSE", "2.1", 4, 100, "", "Fx_Hit_01", "ingame_units_metal_attack_1 | ingame_units_metal_attack_2", "ingame_units_metal_hit_1 | ingame_units_metal_hit_2", "", "", "", "0 | 3 | 6", "0 | 3 | 6", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_5005", "icon_5005_uiprofile"
5006, "player_unit_5006", "player_unit_name_5006", "Mythical", "player_unit_description_5006", 4, 4, "Normal", "Melee", "50060 | 50061 | 50062", 0, 0, 0, 0, "FALSE", 0, 4, 0, "", "Fx_Hit_01", "", "", "", "", "", "13 | 16 | 14 | 17", "13 | 14 | 16 | 17", 5006, 5006, "5106 | 5206", "5006 | 5106", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_5006", "icon_5006_uiprofile", "popup_mythical_origin"
5106, "player_unit_5106", "player_unit_name_5106", "Mythical", "player_unit_description_5106", 4, 4, "Normal", "Ranged", "51060 | 51061 | 51062 | 51063 | 51064", 16320, "0.5", 816, 2, "FALSE", 4, 4, 100, "projectile_5106", "Fx_Hit_01", "ingame_myth_dragon_attack", "ingame_myth_dragon_hit", "", "", "", "4 | 7 | 10 | 5 | 8 | 11", "4 | 5 | 7 | 8 | 10 | 11", 5006, 5006, "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "illust_unit_5106", "icon_5106_uiprofile", "popup_mythical_trans"
5206, "player_unit_5206", "player_unit_name_5206", "Mythical", "player_unit_description_5206", 4, 4, "Normal", "Melee", "52060 | 52061", 0, 0, 0, 0, "FALSE", 0, 4, 0, "", "Fx_Hit_01", "", "", "", "", "", "13 | 16 | 14 | 17", "13 | 14 | 16 | 17", 5006, 5006, 5306, "", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "illust_unit_5206", "icon_5206_uiprofile", "popup_mythical_trans"
5306, "player_unit_5306", "player_unit_name_5306", "Mythical", "player_unit_description_5306", 4, 4, "Normal", "Ranged", "53060 | 53061 | 53062 | 53063 | 53064 | 53065", 26928, "0.5", "1346.4", 2, "FALSE", 4, 4, 100, "projectile_5306", "Fx_Hit_01", "", "", "", "", "", "4 | 7 | 10 | 5 | 8 | 11", "4 | 5 | 7 | 8 | 10 | 11", 5006, 5006, "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "illust_unit_5306", "icon_5306_uiprofile", "popup_mythical_trans"
5007, "player_unit_5007", "player_unit_name_5007", "Mythical", "player_unit_description_5007", 5, 5, "Normal", "Melee", "50070 | 50071", 7560, "0.5", 378, 2, "FALSE", "2.1", 4, 300, "", "Fx_Hit_01", "ingame_units_metal_attack_1 | ingame_units_metal_attack_2", "ingame_units_metal_hit_1 | ingame_units_metal_hit_2", "", "", "", "0 | 3 | 1 | 2", "0 | 1 | 2 | 3", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_5007", "icon_5007_uiprofile"
5008, "player_unit_5008", "player_unit_name_5008", "Mythical", "player_unit_description_5008", 5, 5, "Normal", "Ranged", "50080 | 50081 | 50082", 8100, "0.5", 405, 2, "FALSE", 4, 4, 100, "projectile_5008", "Fx_Hit_01", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "", "Unit_MythLevel_12", "", "4 | 7 | 10 | 5 | 8 | 11", "4 | 5 | 7 | 8 | 10 | 11", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_5008", "icon_5008_uiprofile"
5108, "player_unit_5108", "player_unit_name_5108", "Common", "player_unit_description_5108", 5, 5, "Normal", "Melee", "51080 | 51081", 1000, "0.5", 50, 1, "FALSE", "2.1", 4, 0, "", "Fx_Hit_01", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "", "", "", "13 | 16 | 14 | 17", "12 | 13 | 14 | 15 | 16 | 17", 5008, "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "illust_unit_5108", "icon_5108_uiprofile"
5009, "player_unit_5009", "player_unit_name_5009", "Mythical", "player_unit_description_5009", 4, 4, "Normal", "Melee", "50090 | 50091 | 50092 | 50093", 7200, "0.5", 360, 2, "FALSE", "2.1", 4, 0, "", "Fx_Hit_01", "ingame_units_metal_attack_1 | ingame_units_metal_attack_2", "ingame_units_metal_hit_1 | ingame_units_metal_hit_2", "", "", "", "3 | 6 | 9", "0 | 3 | 6", 5009, 5009, 5109, "5009 | 5109", "TRUE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_5009", "icon_5009_uiprofile", "popup_mythical_origin"
5109, "player_unit_5109", "player_unit_name_5109", "Mythical", "player_unit_description_5109", 1, 1, "Normal", "Ranged", "51090 | 51092 | 51093 | 51094", 21600, "0.5", 1080, "1.25", "FALSE", 4, 4, 100, "", "Fx_Hit_01", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "", "", "", "4 | 7 | 10 | 5 | 8 | 11", "4 | 5 | 7 | 8 | 10 | 11", 5009, 5009, "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "illust_unit_5109", "icon_5109_uiprofile", "popup_mythical_trans"
5010, "player_unit_5010", "player_unit_name_5010", "Mythical", "player_unit_description_5010", 1, 1, "Normal", "Melee", "50101 | 50102 | 50103", 18240, "0.5", 912, 2, "FALSE", "2.1", 4, 0, "", "Fx_Hit_01", "ingame_myth_batman_attack_normal |ingame_myth_batman_attack_reinforce1 |ingame_myth_batman_attack_reinforce2", "ingame_units_metal_hit_1 | ingame_units_metal_hit_2", "ingame_myth_summon_batman", "Unit_UserLevel_9", "", "0 | 3 | 6 | 9", "0 | 3 | 6 | 9 | 12", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_5010", "icon_5010_1_uiprofile"
