int, int, int, TableReward, TableReward, TableReward, TableReward
163, 4, 13, "", "10,10,10", "103, 1, 1", "101,40,40"
164, 4, 14, "", "10,10,10", "103, 1, 1", "101,40,40"
165, 4, 15, "", "10,10,10", "103, 1, 1", "101,40,40"
166, 4, 16, "", "10,10,10", "103, 1, 1", "101,40,40"
167, 4, 17, "", "10,10,10", "103, 1, 1", "101,40,40"
168, 4, 18, "", "10,10,10", "103, 1, 1", "101,40,40"
169, 4, 19, "", "10,10,10", "103, 1, 1", "101,40,40"
170, 4, 20, "", "10,50,50", "103, 3, 3", "101,40,40"
171, 4, 21, "", "10,10,10", "103, 1, 1", "101,40,40"
172, 4, 22, "", "10,10,10", "103, 1, 1", "101,40,40"
173, 4, 23, "", "10,10,10", "103, 1, 1", "101,40,40"
174, 4, 24, "", "10,10,10", "103, 1, 1", "101,40,40"
175, 4, 25, "", "10,10,10", "103, 1, 1", "101,40,40"
176, 4, 26, "", "10,10,10", "103, 1, 1", "101,40,40"
177, 4, 27, "", "10,10,10", "103, 1, 1", "101,40,40"
178, 4, 28, "", "10,10,10", "103, 1, 1", "101,40,40"
179, 4, 29, "", "10,10,10", "103, 1, 1", "101,40,40"
180, 4, 30, "107, 1, 1", "10,50,50", "103, 3, 3", "101,40,40"
181, 4, 31, "", "10,10,10", "103, 1, 1", "101,40,40"
182, 4, 32, "", "10,10,10", "103, 1, 1", "101,40,40"
183, 4, 33, "", "10,10,10", "103, 1, 1", "101,40,40"
184, 4, 34, "", "10,10,10", "103, 1, 1", "101,40,40"
185, 4, 35, "", "10,10,10", "103, 1, 1", "101,40,40"
186, 4, 36, "", "10,10,10", "103, 1, 1", "101,40,40"
187, 4, 37, "", "10,10,10", "103, 1, 1", "101,40,40"
188, 4, 38, "", "10,10,10", "103, 1, 1", "101,40,40"
189, 4, 39, "", "10,10,10", "103, 1, 1", "101,40,40"
190, 4, 40, "", "10,50,50", "103, 3, 3", "101,40,40"
191, 4, 41, "", "10,10,10", "103, 1, 1", "101,40,40"
192, 4, 42, "", "10,10,10", "103, 1, 1", "101,40,40"
193, 4, 43, "", "10,10,10", "103, 1, 1", "101,40,40"
194, 4, 44, "", "10,10,10", "103, 1, 1", "101,40,40"
195, 4, 45, "", "10,10,10", "103, 1, 1", "101,40,40"
196, 4, 46, "", "10,10,10", "103, 1, 1", "101,40,40"
197, 4, 47, "", "10,10,10", "103, 1, 1", "101,40,40"
198, 4, 48, "", "10,10,10", "103, 1, 1", "101,40,40"
199, 4, 49, "", "10,10,10", "103, 1, 1", "101,40,40"
200, 4, 50, "107, 1, 1", "10,50,50", "103, 3, 3", "101,40,40"
201, 5, 1, "", "10,10,10", "103, 1, 1", "101,40,40"
202, 5, 2, "", "10,10,10", "103, 1, 1", "101,40,40"
203, 5, 3, "", "10,10,10", "103, 1, 1", "101,40,40"
204, 5, 4, "", "10,10,10", "103, 1, 1", "101,40,40"
205, 5, 5, "", "10,10,10", "103, 1, 1", "101,40,40"
206, 5, 6, "", "10,10,10", "103, 1, 1", "101,40,40"
207, 5, 7, "", "10,10,10", "103, 1, 1", "101,40,40"
208, 5, 8, "", "10,10,10", "103, 1, 1", "101,40,40"
209, 5, 9, "", "10,10,10", "103, 1, 1", "101,40,40"
210, 5, 10, "101, 3000, 3000", "10,50,50", "103, 3, 3", "101,40,40"
211, 5, 11, "", "10,10,10", "103, 1, 1", "101,40,40"
212, 5, 12, "", "10,10,10", "103, 1, 1", "101,40,40"
213, 5, 13, "", "10,10,10", "103, 1, 1", "101,40,40"
214, 5, 14, "", "10,10,10", "103, 1, 1", "101,40,40"
215, 5, 15, "", "10,10,10", "103, 1, 1", "101,40,40"
216, 5, 16, "", "10,10,10", "103, 1, 1", "101,40,40"
217, 5, 17, "", "10,10,10", "103, 1, 1", "101,40,40"
218, 5, 18, "", "10,10,10", "103, 1, 1", "101,40,40"
219, 5, 19, "", "10,10,10", "103, 1, 1", "101,40,40"
220, 5, 20, "101, 3000, 3000", "10,50,50", "103, 3, 3", "101,40,40"
221, 5, 21, "", "10,10,10", "103, 1, 1", "101,40,40"
222, 5, 22, "", "10,10,10", "103, 1, 1", "101,40,40"
223, 5, 23, "", "10,10,10", "103, 1, 1", "101,40,40"
224, 5, 24, "", "10,10,10", "103, 1, 1", "101,40,40"
225, 5, 25, "", "10,10,10", "103, 1, 1", "101,40,40"
226, 5, 26, "", "10,10,10", "103, 1, 1", "101,40,40"
227, 5, 27, "", "10,10,10", "103, 1, 1", "101,40,40"
228, 5, 28, "", "10,10,10", "103, 1, 1", "101,40,40"
229, 5, 29, "", "10,10,10", "103, 1, 1", "101,40,40"
230, 5, 30, "101, 3000, 3000", "10,50,50", "103, 3, 3", "101,40,40"
231, 5, 31, "", "10,10,10", "103, 1, 1", "101,40,40"
232, 5, 32, "", "10,10,10", "103, 1, 1", "101,40,40"
233, 5, 33, "", "10,10,10", "103, 1, 1", "101,40,40"
234, 5, 34, "", "10,10,10", "103, 1, 1", "101,40,40"
235, 5, 35, "", "10,10,10", "103, 1, 1", "101,40,40"
236, 5, 36, "", "10,10,10", "103, 1, 1", "101,40,40"
237, 5, 37, "", "10,10,10", "103, 1, 1", "101,40,40"
238, 5, 38, "", "10,10,10", "103, 1, 1", "101,40,40"
239, 5, 39, "", "10,10,10", "103, 1, 1", "101,40,40"
240, 5, 40, "101, 3000, 3000", "10,50,50", "103, 3, 3", "101,40,40"
241, 5, 41, "", "10,10,10", "103, 1, 1", "101,40,40"
242, 5, 42, "", "10,10,10", "103, 1, 1", "101,40,40"
243, 5, 43, "", "10,10,10", "103, 1, 1", "101,40,40"
244, 5, 44, "", "10,10,10", "103, 1, 1", "101,40,40"
245, 5, 45, "", "10,10,10", "103, 1, 1", "101,40,40"
246, 5, 46, "", "10,10,10", "103, 1, 1", "101,40,40"
247, 5, 47, "", "10,10,10", "103, 1, 1", "101,40,40"
248, 5, 48, "", "10,10,10", "103, 1, 1", "101,40,40"
249, 5, 49, "", "10,10,10", "103, 1, 1", "101,40,40"
250, 5, 50, "101, 3000, 3000", "10,50,50", "103, 3, 3", "101,40,40"
251, 6, 1, "", "10,10,10", "103, 1, 1", "101,40,40"
252, 6, 2, "", "10,10,10", "103, 1, 1", "101,40,40"
253, 6, 3, "", "10,10,10", "103, 1, 1", "101,40,40"
254, 6, 4, "", "10,10,10", "103, 1, 1", "101,40,40"
255, 6, 5, "", "10,10,10", "103, 1, 1", "101,40,40"
256, 6, 6, "", "10,10,10", "103, 1, 1", "101,40,40"
257, 6, 7, "", "10,10,10", "103, 1, 1", "101,40,40"
258, 6, 8, "", "10,10,10", "103, 1, 1", "101,40,40"
259, 6, 9, "", "10,10,10", "103, 1, 1", "101,40,40"
260, 6, 10, "115, 10, 10", "10,50,50", "103, 3, 3", "101,40,40"
261, 6, 11, "", "10,10,10", "103, 1, 1", "101,40,40"
262, 6, 12, "", "10,10,10", "103, 1, 1", "101,40,40"
263, 6, 13, "", "10,10,10", "103, 1, 1", "101,40,40"
264, 6, 14, "", "10,10,10", "103, 1, 1", "101,40,40"
265, 6, 15, "", "10,10,10", "103, 1, 1", "101,40,40"
266, 6, 16, "", "10,10,10", "103, 1, 1", "101,40,40"
267, 6, 17, "", "10,10,10", "103, 1, 1", "101,40,40"
268, 6, 18, "", "10,10,10", "103, 1, 1", "101,40,40"
269, 6, 19, "", "10,10,10", "103, 1, 1", "101,40,40"
270, 6, 20, "115, 10, 10", "10,50,50", "103, 3, 3", "101,40,40"
271, 6, 21, "", "10,10,10", "103, 1, 1", "101,40,40"
272, 6, 22, "", "10,10,10", "103, 1, 1", "101,40,40"
273, 6, 23, "", "10,10,10", "103, 1, 1", "101,40,40"
274, 6, 24, "", "10,10,10", "103, 1, 1", "101,40,40"
275, 6, 25, "", "10,10,10", "103, 1, 1", "101,40,40"
276, 6, 26, "", "10,10,10", "103, 1, 1", "101,40,40"
277, 6, 27, "", "10,10,10", "103, 1, 1", "101,40,40"
278, 6, 28, "", "10,10,10", "103, 1, 1", "101,40,40"
279, 6, 29, "", "10,10,10", "103, 1, 1", "101,40,40"
280, 6, 30, "115, 10, 10", "10,50,50", "103, 3, 3", "101,40,40"
281, 6, 31, "", "10,10,10", "103, 1, 1", "101,40,40"
282, 6, 32, "", "10,10,10", "103, 1, 1", "101,40,40"
283, 6, 33, "", "10,10,10", "103, 1, 1", "101,40,40"
284, 6, 34, "", "10,10,10", "103, 1, 1", "101,40,40"
285, 6, 35, "", "10,10,10", "103, 1, 1", "101,40,40"
286, 6, 36, "", "10,10,10", "103, 1, 1", "101,40,40"
287, 6, 37, "", "10,10,10", "103, 1, 1", "101,40,40"
288, 6, 38, "", "10,10,10", "103, 1, 1", "101,40,40"
289, 6, 39, "", "10,10,10", "103, 1, 1", "101,40,40"
290, 6, 40, "115, 10, 10", "10,50,50", "103, 3, 3", "101,40,40"
291, 6, 41, "", "10,10,10", "103, 1, 1", "101,40,40"
292, 6, 42, "", "10,10,10", "103, 1, 1", "101,40,40"
293, 6, 43, "", "10,10,10", "103, 1, 1", "101,40,40"
294, 6, 44, "", "10,10,10", "103, 1, 1", "101,40,40"
295, 6, 45, "", "10,10,10", "103, 1, 1", "101,40,40"
296, 6, 46, "", "10,10,10", "103, 1, 1", "101,40,40"
297, 6, 47, "", "10,10,10", "103, 1, 1", "101,40,40"
298, 6, 48, "", "10,10,10", "103, 1, 1", "101,40,40"
299, 6, 49, "", "10,10,10", "103, 1, 1", "101,40,40"
300, 6, 50, "115, 10, 10", "10,50,50", "103, 3, 3", "101,40,40"
301, 7, 1, "", "10,10,10", "103, 1, 1", "101,40,40"
302, 7, 2, "", "10,10,10", "103, 1, 1", "101,40,40"
303, 7, 3, "", "10,10,10", "103, 1, 1", "101,40,40"
304, 7, 4, "", "10,10,10", "103, 1, 1", "101,40,40"
305, 7, 5, "", "10,10,10", "103, 1, 1", "101,40,40"
306, 7, 6, "", "10,10,10", "103, 1, 1", "101,40,40"
307, 7, 7, "", "10,10,10", "103, 1, 1", "101,40,40"
308, 7, 8, "", "10,10,10", "103, 1, 1", "101,40,40"
309, 7, 9, "", "10,10,10", "103, 1, 1", "101,40,40"
310, 7, 10, "102, 100, 100", "10,50,50", "103, 3, 3", "101,40,40"
311, 7, 11, "", "10,10,10", "103, 1, 1", "101,40,40"
312, 7, 12, "", "10,10,10", "103, 1, 1", "101,40,40"
313, 7, 13, "", "10,10,10", "103, 1, 1", "101,40,40"
314, 7, 14, "", "10,10,10", "103, 1, 1", "101,40,40"
315, 7, 15, "", "10,10,10", "103, 1, 1", "101,40,40"
316, 7, 16, "", "10,10,10", "103, 1, 1", "101,40,40"
317, 7, 17, "", "10,10,10", "103, 1, 1", "101,40,40"
318, 7, 18, "", "10,10,10", "103, 1, 1", "101,40,40"
319, 7, 19, "", "10,10,10", "103, 1, 1", "101,40,40"
320, 7, 20, "102, 100, 100", "10,50,50", "103, 3, 3", "101,40,40"
321, 7, 21, "", "10,10,10", "103, 1, 1", "101,40,40"
322, 7, 22, "", "10,10,10", "103, 1, 1", "101,40,40"
323, 7, 23, "", "10,10,10", "103, 1, 1", "101,40,40"
324, 7, 24, "", "10,10,10", "103, 1, 1", "101,40,40"
325, 7, 25, "", "10,10,10", "103, 1, 1", "101,40,40"
326, 7, 26, "", "10,10,10", "103, 1, 1", "101,40,40"
327, 7, 27, "", "10,10,10", "103, 1, 1", "101,40,40"
328, 7, 28, "", "10,10,10", "103, 1, 1", "101,40,40"
329, 7, 29, "", "10,10,10", "103, 1, 1", "101,40,40"
330, 7, 30, "102, 100, 100", "10,50,50", "103, 3, 3", "101,40,40"
331, 7, 31, "", "10,10,10", "103, 1, 1", "101,40,40"
332, 7, 32, "", "10,10,10", "103, 1, 1", "101,40,40"
333, 7, 33, "", "10,10,10", "103, 1, 1", "101,40,40"
334, 7, 34, "", "10,10,10", "103, 1, 1", "101,40,40"
335, 7, 35, "", "10,10,10", "103, 1, 1", "101,40,40"
336, 7, 36, "", "10,10,10", "103, 1, 1", "101,40,40"
337, 7, 37, "", "10,10,10", "103, 1, 1", "101,40,40"
338, 7, 38, "", "10,10,10", "103, 1, 1", "101,40,40"
339, 7, 39, "", "10,10,10", "103, 1, 1", "101,40,40"
340, 7, 40, "102, 100, 100", "10,50,50", "103, 3, 3", "101,40,40"
341, 7, 41, "", "10,10,10", "103, 1, 1", "101,40,40"
342, 7, 42, "", "10,10,10", "103, 1, 1", "101,40,40"
343, 7, 43, "", "10,10,10", "103, 1, 1", "101,40,40"
344, 7, 44, "", "10,10,10", "103, 1, 1", "101,40,40"
345, 7, 45, "", "10,10,10", "103, 1, 1", "101,40,40"
346, 7, 46, "", "10,10,10", "103, 1, 1", "101,40,40"
347, 7, 47, "", "10,10,10", "103, 1, 1", "101,40,40"
348, 7, 48, "", "10,10,10", "103, 1, 1", "101,40,40"
349, 7, 49, "", "10,10,10", "103, 1, 1", "101,40,40"
350, 7, 50, "102, 100, 100", "10,50,50", "103, 3, 3", "101,40,40"
