16, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 1, "", 167, 17, "", 24, 701, "", "", "183|183|216|216|282|282|348|348|348|480|480|480|480|480|480|480|480|480|480|810|546|546|546|546|546|546|546|546|546|1470|586|586|586|586|586|586|586|586|586|1486", " ", 50, "7010241 | 7010242 | 7010243 | 7010244 | 7010245 | 7010246 | 7010247 | 7010248 | 7010249 | 7010250 | 7010251 | 7010252 | 7010253 | 7010254 | 7010255 | 7010256 | 7010257 | 7010258 | 7010259 | 7010260 | 7010261 | 7010262 | 7010263 | 7010264 | 7010265 | 7010266 | 7010267 | 7010268 | 7010269 | 7010270 | 7010271 | 7010272 | 7010273 | 7010274 | 7010275 | 7010276 | 7010277 | 7010278 | 7010279 | 7010280"
17, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 2, "", 172, 18, 16, 25, 701, "", "", "200|200|249|249|348|348|447|447|447|645|645|645|645|645|645|645|645|645|645|1140|744|744|744|744|744|744|744|744|744|2130|811|811|811|811|811|811|811|811|811|2161", "", 50, "7010161 | 7010162 | 7010163 | 7010164 | 7010165 | 7010166 | 7010167 | 7010168 | 7010169 | 7010170 | 7010171 | 7010172 | 7010173 | 7010174 | 7010175 | 7010176 | 7010177 | 7010178 | 7010179 | 7010180 | 7010181 | 7010182 | 7010183 | 7010184 | 7010185 | 7010186 | 7010187 | 7010188 | 7010189 | 7010190 | 7010191 | 7010192 | 7010193 | 7010194 | 7010195 | 7010196 | 7010197 | 7010198 | 7010199 | 7010200"
18, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 3, 1, 177, 20, 17, 26, 701, "", "", "216|216|282|282|414|414|546|546|546|810|810|810|810|810|810|810|810|810|810|1470|942|942|942|942|942|942|942|942|942|2790|1036|1036|1036|1036|1036|1036|1036|1036|1036|2836", "", 50, "7010161 | 7010162 | 7010163 | 7010164 | 7010165 | 7010166 | 7010167 | 7010168 | 7010169 | 7010170 | 7010171 | 7010172 | 7010173 | 7010174 | 7010175 | 7010176 | 7010177 | 7010178 | 7010179 | 7010180 | 7010181 | 7010182 | 7010183 | 7010184 | 7010185 | 7010186 | 7010187 | 7010188 | 7010189 | 7010190 | 7010191 | 7010192 | 7010193 | 7010194 | 7010195 | 7010196 | 7010197 | 7010198 | 7010199 | 7010200"
19, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "WaveClear_Hard_40", 4, "", 182, 21, 18, 27, 701, "", "", "233|233|315|315|480|480|645|645|645|975|975|975|975|975|975|975|975|975|975|1800|1140|1140|1140|1140|1140|1140|1140|1140|1140|3450|1261|1261|1261|1261|1261|1261|1261|1261|1261|3511", "", 50, "7010201 | 7010202 | 7010203 | 7010204 | 7010205 | 7010206 | 7010207 | 7010208 | 7010209 | 7010210 | 7010211 | 7010212 | 7010213 | 7010214 | 7010215 | 7010216 | 7010217 | 7010218 | 7010219 | 7010220 | 7010221 | 7010222 | 7010223 | 7010224 | 7010225 | 7010226 | 7010227 | 7010228 | 7010229 | 7010230 | 7010231 | 7010232 | 7010233 | 7010234 | 7010235 | 7010236 | 7010237 | 7010238 | 7010239 | 7010240"
20, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 5, "", 186, 23, 19, 28, 701, "", "", "249|249|348|348|546|546|744|744|744|1140|1140|1140|1140|1140|1140|1140|1140|1140|1140|2130|1338|1338|1338|1338|1338|1338|1338|1338|1338|4110|1486|1486|1486|1486|1486|1486|1486|1486|1486|4186", "", 50, "7010201 | 7010202 | 7010203 | 7010204 | 7010205 | 7010206 | 7010207 | 7010208 | 7010209 | 7010210 | 7010211 | 7010212 | 7010213 | 7010214 | 7010215 | 7010216 | 7010217 | 7010218 | 7010219 | 7010220 | 7010221 | 7010222 | 7010223 | 7010224 | 7010225 | 7010226 | 7010227 | 7010228 | 7010229 | 7010230 | 7010231 | 7010232 | 7010233 | 7010234 | 7010235 | 7010236 | 7010237 | 7010238 | 7010239 | 7010240"
21, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 6, "", 191, 24, 20, 29, 701, "", "", "266|266|381|381|612|612|843|843|843|1305|1305|1305|1305|1305|1305|1305|1305|1305|1305|2460|1536|1536|1536|1536|1536|1536|1536|1536|1536|4770|1711|1711|1711|1711|1711|1711|1711|1711|1711|4861", "", 50, "7010161 | 7010162 | 7010163 | 7010164 | 7010165 | 7010166 | 7010167 | 7010168 | 7010169 | 7010170 | 7010171 | 7010172 | 7010173 | 7010174 | 7010175 | 7010176 | 7010177 | 7010178 | 7010179 | 7010180 | 7010181 | 7010182 | 7010183 | 7010184 | 7010185 | 7010186 | 7010187 | 7010188 | 7010189 | 7010190 | 7010191 | 7010192 | 7010193 | 7010194 | 7010195 | 7010196 | 7010197 | 7010198 | 7010199 | 7010200"
22, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 7, 2, 196, 25, 21, 30, 701, "", "", "282|282|414|414|678|678|942|942|942|1470|1470|1470|1470|1470|1470|1470|1470|1470|1470|2790|1734|1734|1734|1734|1734|1734|1734|1734|1734|5430|1936|1936|1936|1936|1936|1936|1936|1936|1936|5536", "", 50, "7010161 | 7010162 | 7010163 | 7010164 | 7010165 | 7010166 | 7010167 | 7010168 | 7010169 | 7010170 | 7010171 | 7010172 | 7010173 | 7010174 | 7010175 | 7010176 | 7010177 | 7010178 | 7010179 | 7010180 | 7010181 | 7010182 | 7010183 | 7010184 | 7010185 | 7010186 | 7010187 | 7010188 | 7010189 | 7010190 | 7010191 | 7010192 | 7010193 | 7010194 | 7010195 | 7010196 | 7010197 | 7010198 | 7010199 | 7010200"
23, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 8, "", 201, 26, 22, 31, 701, "", "", "299|299|447|447|744|744|1041|1041|1041|1635|1635|1635|1635|1635|1635|1635|1635|1635|1635|3120|1932|1932|1932|1932|1932|1932|1932|1932|1932|6090|2161|2161|2161|2161|2161|2161|2161|2161|2161|6211", "", 50, "7010161 | 7010162 | 7010163 | 7010164 | 7010165 | 7010166 | 7010167 | 7010168 | 7010169 | 7010170 | 7010171 | 7010172 | 7010173 | 7010174 | 7010175 | 7010176 | 7010177 | 7010178 | 7010179 | 7010180 | 7010181 | 7010182 | 7010183 | 7010184 | 7010185 | 7010186 | 7010187 | 7010188 | 7010189 | 7010190 | 7010191 | 7010192 | 7010193 | 7010194 | 7010195 | 7010196 | 7010197 | 7010198 | 7010199 | 7010200"
24, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 9, "", 205, 28, 23, 32, 701, "", "", "315|315|480|480|810|810|1140|1140|1140|1800|1800|1800|1800|1800|1800|1800|1800|1800|1800|3450|2130|2130|2130|2130|2130|2130|2130|2130|2130|6750|2386|2386|2386|2386|2386|2386|2386|2386|2386|6886", "", 50, "7010161 | 7010162 | 7010163 | 7010164 | 7010165 | 7010166 | 7010167 | 7010168 | 7010169 | 7010170 | 7010171 | 7010172 | 7010173 | 7010174 | 7010175 | 7010176 | 7010177 | 7010178 | 7010179 | 7010180 | 7010181 | 7010182 | 7010183 | 7010184 | 7010185 | 7010186 | 7010187 | 7010188 | 7010189 | 7010190 | 7010191 | 7010192 | 7010193 | 7010194 | 7010195 | 7010196 | 7010197 | 7010198 | 7010199 | 7010200"
25, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 10, "", 210, 29, 24, 33, 701, "", "", "332|332|513|513|876|876|1239|1239|1239|1965|1965|1965|1965|1965|1965|1965|1965|1965|1965|3780|2328|2328|2328|2328|2328|2328|2328|2328|2328|7410|2611|2611|2611|2611|2611|2611|2611|2611|2611|7561", "", 50, "7010161 | 7010162 | 7010163 | 7010164 | 7010165 | 7010166 | 7010167 | 7010168 | 7010169 | 7010170 | 7010171 | 7010172 | 7010173 | 7010174 | 7010175 | 7010176 | 7010177 | 7010178 | 7010179 | 7010180 | 7010181 | 7010182 | 7010183 | 7010184 | 7010185 | 7010186 | 7010187 | 7010188 | 7010189 | 7010190 | 7010191 | 7010192 | 7010193 | 7010194 | 7010195 | 7010196 | 7010197 | 7010198 | 7010199 | 7010200"
26, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "ModeClear_Hard_1", 11, 3, 215, 30, 25, 34, 701, "", "", "365|365|579|579|1008|1008|1437|1437|1437|2295|2295|2295|2295|2295|2295|2295|2295|2295|2295|4440|2724|2724|2724|2724|2724|2724|2724|2724|2724|8730|3061|3061|3061|3061|3061|3061|3061|3061|3061|8911", "", 50, "7010201 | 7010202 | 7010203 | 7010204 | 7010205 | 7010206 | 7010207 | 7010208 | 7010209 | 7010210 | 7010211 | 7010212 | 7010213 | 7010214 | 7010215 | 7010216 | 7010217 | 7010218 | 7010219 | 7010220 | 7010221 | 7010222 | 7010223 | 7010224 | 7010225 | 7010226 | 7010227 | 7010228 | 7010229 | 7010230 | 7010231 | 7010232 | 7010233 | 7010234 | 7010235 | 7010236 | 7010237 | 7010238 | 7010239 | 7010240"
27, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 12, "", 215, 32, 26, 35, 701, "", "", "381|381|612|612|1074|1074|1536|1536|1536|2460|2460|2460|2460|2460|2460|2460|2460|2460|2460|4770|2922|2922|2922|2922|2922|2922|2922|2922|2922|9390|3286|3286|3286|3286|3286|3286|3286|3286|3286|9586", "", 50, "7010281 | 7010282 | 7010283 | 7010284 | 7010285 | 7010286 | 7010287 | 7010288 | 7010289 | 7010290 | 7010291 | 7010292 | 7010293 | 7010294 | 7010295 | 7010296 | 7010297 | 7010298 | 7010299 | 7010300 | 7010301 | 7010302 | 7010303 | 7010304 | 7010305 | 7010306 | 7010307 | 7010308 | 7010309 | 7010310 | 7010311 | 7010312 | 7010313 | 7010314 | 7010315 | 7010316 | 7010317 | 7010318 | 7010319 | 7010320"
28, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 13, "", 217, 33, 27, 36, 701, "", "", "398|398|645|645|1140|1140|1635|1635|1635|2625|2625|2625|2625|2625|2625|2625|2625|2625|2625|5100|3120|3120|3120|3120|3120|3120|3120|3120|3120|10050|3511|3511|3511|3511|3511|3511|3511|3511|3511|10261", "", 50, "7010161 | 7010162 | 7010163 | 7010164 | 7010165 | 7010166 | 7010167 | 7010168 | 7010169 | 7010170 | 7010171 | 7010172 | 7010173 | 7010174 | 7010175 | 7010176 | 7010177 | 7010178 | 7010179 | 7010180 | 7010181 | 7010182 | 7010183 | 7010184 | 7010185 | 7010186 | 7010187 | 7010188 | 7010189 | 7010190 | 7010191 | 7010192 | 7010193 | 7010194 | 7010195 | 7010196 | 7010197 | 7010198 | 7010199 | 7010200"
29, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 14, "", 220, 34, 28, 37, 701, "", "", "414|414|678|678|1206|1206|1734|1734|1734|2790|2790|2790|2790|2790|2790|2790|2790|2790|2790|5430|3318|3318|3318|3318|3318|3318|3318|3318|3318|10710|3736|3736|3736|3736|3736|3736|3736|3736|3736|10936", "", 50, "7010161 | 7010162 | 7010163 | 7010164 | 7010165 | 7010166 | 7010167 | 7010168 | 7010169 | 7010170 | 7010171 | 7010172 | 7010173 | 7010174 | 7010175 | 7010176 | 7010177 | 7010178 | 7010179 | 7010180 | 7010181 | 7010182 | 7010183 | 7010184 | 7010185 | 7010186 | 7010187 | 7010188 | 7010189 | 7010190 | 7010191 | 7010192 | 7010193 | 7010194 | 7010195 | 7010196 | 7010197 | 7010198 | 7010199 | 7010200"
30, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 15, 4, 222, 35, 29, 38, 701, "", "", "431|431|711|711|1272|1272|1833|1833|1833|2955|2955|2955|2955|2955|2955|2955|2955|2955|2955|5760|3516|3516|3516|3516|3516|3516|3516|3516|3516|11370|3961|3961|3961|3961|3961|3961|3961|3961|3961|11611", "", 50, "7010281 | 7010282 | 7010283 | 7010284 | 7010285 | 7010286 | 7010287 | 7010288 | 7010289 | 7010290 | 7010291 | 7010292 | 7010293 | 7010294 | 7010295 | 7010296 | 7010297 | 7010298 | 7010299 | 7010300 | 7010301 | 7010302 | 7010303 | 7010304 | 7010305 | 7010306 | 7010307 | 7010308 | 7010309 | 7010310 | 7010311 | 7010312 | 7010313 | 7010314 | 7010315 | 7010316 | 7010317 | 7010318 | 7010319 | 7010320"
31, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "WaveClear_Hell_20", 16, "", 224, 37, 30, 39, 701, "", "", "447|447|744|744|1338|1338|1932|1932|1932|3120|3120|3120|3120|3120|3120|3120|3120|3120|3120|6090|3714|3714|3714|3714|3714|3714|3714|3714|3714|12030|4186|4186|4186|4186|4186|4186|4186|4186|4186|12286", "", 50, "7010201 | 7010202 | 7010203 | 7010204 | 7010205 | 7010206 | 7010207 | 7010208 | 7010209 | 7010210 | 7010211 | 7010212 | 7010213 | 7010214 | 7010215 | 7010216 | 7010217 | 7010218 | 7010219 | 7010220 | 7010221 | 7010222 | 7010223 | 7010224 | 7010225 | 7010226 | 7010227 | 7010228 | 7010229 | 7010230 | 7010231 | 7010232 | 7010233 | 7010234 | 7010235 | 7010236 | 7010237 | 7010238 | 7010239 | 7010240"
32, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 17, "", 227, 38, 31, 40, 701, "", "", "464|464|777|777|1404|1404|2031|2031|2031|3285|3285|3285|3285|3285|3285|3285|3285|3285|3285|6420|3912|3912|3912|3912|3912|3912|3912|3912|3912|12690|4411|4411|4411|4411|4411|4411|4411|4411|4411|12961", "", 50, "7010161 | 7010162 | 7010163 | 7010164 | 7010165 | 7010166 | 7010167 | 7010168 | 7010169 | 7010170 | 7010171 | 7010172 | 7010173 | 7010174 | 7010175 | 7010176 | 7010177 | 7010178 | 7010179 | 7010180 | 7010181 | 7010182 | 7010183 | 7010184 | 7010185 | 7010186 | 7010187 | 7010188 | 7010189 | 7010190 | 7010191 | 7010192 | 7010193 | 7010194 | 7010195 | 7010196 | 7010197 | 7010198 | 7010199 | 7010200"
33, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 18, "", 229, 39, 32, 41, 701, "", "", "480|480|810|810|1470|1470|2130|2130|2130|3450|3450|3450|3450|3450|3450|3450|3450|3450|3450|6750|4110|4110|4110|4110|4110|4110|4110|4110|4110|13350|4636|4636|4636|4636|4636|4636|4636|4636|4636|13636", "", 50, "7010161 | 7010162 | 7010163 | 7010164 | 7010165 | 7010166 | 7010167 | 7010168 | 7010169 | 7010170 | 7010171 | 7010172 | 7010173 | 7010174 | 7010175 | 7010176 | 7010177 | 7010178 | 7010179 | 7010180 | 7010181 | 7010182 | 7010183 | 7010184 | 7010185 | 7010186 | 7010187 | 7010188 | 7010189 | 7010190 | 7010191 | 7010192 | 7010193 | 7010194 | 7010195 | 7010196 | 7010197 | 7010198 | 7010199 | 7010200"
