int, string, TableReward, ELuckBuffType, FP[], string
49, "dailyluck_des_49", "103, 10, 10", "", "", ""
50, "dailyluck_des_50", "", "StartPoint", 30, "dailyluck_startpoint"
51, "dailyluck_des_51", "1, 5, 5", "", "", ""
52, "dailyluck_des_52", "", "StartSpecialPoint", 1, "dailyluck_startspecialpoint"
53, "dailyluck_des_53", "101, 500, 500", "", "", ""
54, "dailyluck_des_54", "103, 10, 10", "", "", ""
55, "dailyluck_des_55", "103, 10, 10", "", "", ""
56, "dailyluck_des_56", "102, 30, 30", "", "", ""
57, "dailyluck_des_57", "102, 30, 30", "", "", ""
58, "dailyluck_des_58", "102, 30, 30", "", "", ""
59, "dailyluck_des_59", "1, 5, 5", "", "", ""
60, "dailyluck_des_60", "", "StartSpecialPoint", 1, "dailyluck_startspecialpoint"
61, "dailyluck_des_61", "101, 500, 500", "", "", ""
62, "dailyluck_des_62", "", "SpecialSpawn", "2 | 0.3", "dailyluck_specialspawn"
63, "dailyluck_des_63", "102, 30, 30", "", "", ""
64, "dailyluck_des_64", "", "StartSpecialPoint", 1, "dailyluck_startspecialpoint"
65, "dailyluck_des_65", "103, 10, 10", "", "", ""
66, "dailyluck_des_66", "", "SpecialSpawn", "3 | 0.3", "dailyluck_specialspawn"
67, "dailyluck_des_67", "", "StartSpecialPoint", 1, "dailyluck_startspecialpoint"
68, "dailyluck_des_68", "101, 500, 500", "", "", ""
69, "dailyluck_des_69", "101, 500, 500", "", "", ""
70, "dailyluck_des_70", "", "StartPoint", 30, "dailyluck_startpoint"
71, "dailyluck_des_71", "", "StartSpecialPoint", 1, "dailyluck_startspecialpoint"
72, "dailyluck_des_72", "102, 30, 30", "", "", ""
73, "dailyluck_des_73", "103, 10, 10", "", "", ""
74, "dailyluck_des_74", "102, 30, 30", "", "", ""
75, "dailyluck_des_75", "", "SpecialSpawn", "2 | 0.5", "dailyluck_specialspawn"
76, "dailyluck_des_76", "1, 5, 5", "", "", ""
77, "dailyluck_des_77", "", "StartSpecialPoint", 1, "dailyluck_startspecialpoint"
78, "dailyluck_des_78", "102, 30, 30", "", "", ""
79, "dailyluck_des_79", "102, 30, 30", "", "", ""
80, "dailyluck_des_80", "102, 50, 50", "", "", ""
81, "dailyluck_des_81", "102, 30, 30", "", "", ""
82, "dailyluck_des_82", "103, 10, 10", "", "", ""
83, "dailyluck_des_83", "102, 30, 30", "", "", ""
84, "dailyluck_des_84", "102, 30, 30", "", "", ""
85, "dailyluck_des_85", "102, 30, 30", "", "", ""
86, "dailyluck_des_86", "102, 30, 30", "", "", ""
87, "dailyluck_des_87", "102, 30, 30", "", "", ""
88, "dailyluck_des_88", "", "SpecialSpawn", "3 | 0.2", "dailyluck_specialspawn"
89, "dailyluck_des_89", "", "SpecialSpawn", "2 | 0.3", "dailyluck_specialspawn"
90, "dailyluck_des_90", "", "SpecialSpawn", "1 | 0.5", "dailyluck_specialspawn"
91, "dailyluck_des_91", "101, 500, 500", "", "", ""
92, "dailyluck_des_92", "102, 30, 30", "", "", ""
93, "dailyluck_des_93", "", "AttackDamage", "0 | 5", "dailyluck_attackdamage"
94, "dailyluck_des_94", "101, 1000, 1000", "", "", ""
95, "dailyluck_des_95", "102, 50, 50", "", "", ""
96, "dailyluck_des_96", "102, 30, 30", "", "", ""
97, "dailyluck_des_97", "102, 30, 30", "", "", ""
98, "dailyluck_des_98", "101, 1000, 1000", "", "", ""
99, "dailyluck_des_99", "102, 50, 50", "", "", ""
100, "dailyluck_des_100", "102, 30, 30", "", "", ""
101, "dailyluck_des_101", "102, 30, 30", "", "", ""
102, "dailyluck_des_102", "102, 30, 30", "", "", ""
103, "dailyluck_des_103", "", "AttackDamage", "0 | 5", "dailyluck_attackdamage"
104, "dailyluck_des_104", "102, 30, 30", "", "", ""
105, "dailyluck_des_105", "102, 30, 30", "", "", ""
106, "dailyluck_des_106", "103, 10, 10", "", "", ""
107, "dailyluck_des_107", "102, 30, 30", "", "", ""
108, "dailyluck_des_108", "", "StartSpecialPoint", 1, "dailyluck_startspecialpoint"
109, "dailyluck_des_109", "1, 5, 5", "", "", ""
110, "dailyluck_des_110", "1, 5, 5", "", "", ""
111, "dailyluck_des_111", "102, 30, 30", "", "", ""
112, "dailyluck_des_112", "102, 30, 30", "", "", ""
113, "dailyluck_des_113", "102, 30, 30", "", "", ""
114, "dailyluck_des_114", "102, 30, 30", "", "", ""
115, "dailyluck_des_115", "", "AttackDamage", "0 | 5", "dailyluck_attackdamage"
116, "dailyluck_des_116", "103, 10, 10", "", "", ""
117, "dailyluck_des_117", "102, 30, 30", "", "", ""
118, "dailyluck_des_118", "102, 30, 30", "", "", ""
119, "dailyluck_des_119", "102, 30, 30", "", "", ""
120, "dailyluck_des_120", "102, 30, 30", "", "", ""
121, "dailyluck_des_121", "101, 500, 500", "", "", ""
122, "dailyluck_des_122", "103, 10, 10", "", "", ""
123, "dailyluck_des_123", "", "AttackSpeed", "0 | 3", "dailyluck_attackspeed"
124, "dailyluck_des_124", "", "AttackDamage", "0 | 5", "dailyluck_attackdamage"
125, "dailyluck_des_125", "102, 30, 30", "", "", ""
126, "dailyluck_des_126", "101, 500, 500", "", "", ""
127, "dailyluck_des_127", "102, 30, 30", "", "", ""
128, "dailyluck_des_128", "102, 30, 30", "", "", ""
129, "dailyluck_des_129", "102, 30, 30", "", "", ""
130, "dailyluck_des_130", "102, 30, 30", "", "", ""
131, "dailyluck_des_131", "101, 500, 500", "", "", ""
132, "dailyluck_des_132", "", "AttackSpeed", "0 | 3", "dailyluck_attackspeed"
133, "dailyluck_des_133", "102, 30, 30", "", "", ""
134, "dailyluck_des_134", "102, 30, 30", "", "", ""
135, "dailyluck_des_135", "102, 30, 30", "", "", ""
136, "dailyluck_des_136", "102, 30, 30", "", "", ""
137, "dailyluck_des_137", "102, 30, 30", "", "", ""
138, "dailyluck_des_138", "101, 500, 500", "", "", ""
139, "dailyluck_des_139", "102, 30, 30", "", "", ""
140, "dailyluck_des_140", "", "AttackDamage", "0 | 5", "dailyluck_attackdamage"
141, "dailyluck_des_141", "102, 30, 30", "", "", ""
142, "dailyluck_des_142", "101, 1500, 1500", "", "", ""
143, "dailyluck_des_143", "102, 30, 30", "", "", ""
144, "dailyluck_des_144", "102, 30, 30", "", "", ""
145, "dailyluck_des_145", "102, 30, 30", "", "", ""
146, "dailyluck_des_146", "102, 30, 30", "", "", ""
147, "dailyluck_des_147", "", "AttackDamage", "0 | 5", "dailyluck_attackdamage"
148, "dailyluck_des_148", "102, 30, 30", "", "", ""
149, "dailyluck_des_149", "101, 500, 500", "", "", ""
150, "dailyluck_des_150", "101, 1000, 1000", "", "", ""
151, "dailyluck_des_151", "102, 30, 30", "", "", ""
152, "dailyluck_des_152", "102, 30, 30", "", "", ""
153, "dailyluck_des_153", "102, 30, 30", "", "", ""
154, "dailyluck_des_154", "102, 30, 30", "", "", ""
155, "dailyluck_des_155", "", "SpecialSpawn", "3 | 0.5", "dailyluck_specialspawn"
156, "dailyluck_des_156", "", "SpecialSpawn", "2 | 0.5", "dailyluck_specialspawn"
157, "dailyluck_des_157", "", "SpecialSpawn", "1 | 1", "dailyluck_specialspawn"
158, "dailyluck_des_158", "103, 10, 10", "", "", ""
159, "dailyluck_des_159", "102, 111, 111", "", "", ""
160, "dailyluck_des_160", "102, 30, 30", "", "", ""
161, "dailyluck_des_161", "103, 10, 10", "", "", ""
162, "dailyluck_des_162", "103, 10, 10", "", "", ""
163, "dailyluck_des_163", "", "AttackSpeed", "0 | 3", "dailyluck_attackspeed"
164, "dailyluck_des_164", "102, 50, 50", "", "", ""
165, "dailyluck_des_165", "201, 1, 1", "", "", ""
166, "dailyluck_des_166", "102, 30, 30", "", "", ""
167, "dailyluck_des_167", "102, 30, 30", "", "", ""
168, "dailyluck_des_168", "102, 30, 30", "", "", ""
169, "dailyluck_des_169", "102, 30, 30", "", "", ""
170, "dailyluck_des_170", "102, 30, 30", "", "", ""
171, "dailyluck_des_171", "102, 30, 30", "", "", ""
172, "dailyluck_des_172", "", "AttackDamage", "0 | 5", "dailyluck_attackdamage"
173, "dailyluck_des_173", "102, 50, 50", "", "", ""
174, "dailyluck_des_174", "102, 30, 30", "", "", ""
175, "dailyluck_des_175", "", "StartSpecialPoint", 1, "dailyluck_startspecialpoint"
176, "dailyluck_des_176", "102, 30, 30", "", "", ""
177, "dailyluck_des_177", "102, 30, 30", "", "", ""
178, "dailyluck_des_178", "", "AttackDamage", "5006 | 10", "dailyluck_attackdamage"
179, "dailyluck_des_179", "", "AttackDamage", "5010 | 10", "dailyluck_attackdamage"
180, "dailyluck_des_180", "", "AttackDamage", "5011 | 10", "dailyluck_attackdamage"
181, "dailyluck_des_181", "", "AttackSpeed", "4006 | 5", "dailyluck_attackspeed"
182, "dailyluck_des_182", "", "AttackSpeed", "5007 | 5", "dailyluck_attackspeed"
183, "dailyluck_des_183", "", "AttackDamage", "4002 | 10", "dailyluck_attackdamage"
184, "dailyluck_des_184", "", "AttackDamage", "5009 | 10", "dailyluck_attackdamage"
185, "dailyluck_des_185", "", "AttackDamage", "5001 | 10", "dailyluck_attackdamage"
186, "dailyluck_des_186", "", "AttackDamage", "5005 | 10", "dailyluck_attackdamage"
187, "dailyluck_des_187", "", "AttackDamage", "5002 | 10", "dailyluck_attackdamage"
188, "dailyluck_des_188", "", "AttackDamage", "5004 | 10", "dailyluck_attackdamage"
189, "dailyluck_des_189", "", "AttackSpeed", "3007 | 5", "dailyluck_attackspeed"
190, "dailyluck_des_190", "102, 30, 30", "", "", ""
191, "dailyluck_des_191", "102, 30, 30", "", "", ""
192, "dailyluck_des_192", "102, 30, 30", "", "", ""
193, "dailyluck_des_193", "102, 30, 30", "", "", ""
194, "dailyluck_des_194", "102, 50, 50", "", "", ""
195, "dailyluck_des_195", "102, 30, 30", "", "", ""
