string, ERegion
"인생은등가교환", "KR"
"一顧傾人城", "TW"
"一心欲醉", "TW"
"쟤닉네임왜저럼", "KR"
"赤月", "JP"
"전격개편", "KR"
"전부노래잘함", "KR"
"점멸추적자", "KR"
"제온제오프", "KR"
"주사위안뽑음", "KR"
"枝上綿蠻", "TW"
"징버거", "KR"
"짜장면시켰는데", "KR"
"천둥벌거숭이", "KR"
"天使ちゃん", "JP"
"천하무적구티", "KR"
"草wwww", "TW"
"痴木狂崩", "JP"
"치킨타올", "KR"
"칙칙폭폭광광폭폭", "KR"
"카드언로쿠", "KR"
"컨은쩌는데기복이", "KR"
"콰지", "KR"
"콰직", "KR"
"클레오파트너", "KR"
"探險家", "TW"
"태양은없다", "KR"
"태풍안", "KR"
"통치꽁조림", "KR"
"파마산치즈", "KR"
"푸베이드", "KR"
"彼岸星光", "TW"
"피카츄라이츄", "KR"
"必살도발", "KR"
"必살브룩", "KR"
"必살암살", "KR"
"避けて見ろ", "JP"
"하늘아덤벼라", "KR"
"하룻강아지", "KR"
"할부로애틋하게", "KR"
"해결자들", "KR"
"핵쓰다걸린사람", "KR"
"핸드폰깨짐", "KR"
"헌터꾼", "KR"
"헌터키링", "KR"
"호롤롤로롤로", "KR"
"화성갈끄니까", "KR"
"환타준위", "KR"
"흙수저샷", "KR"
"个恶名赌徒97", "TW"
"堕天使", "JP"
"寿司祭り", "JP"
"楽しませて", "JP"
"胜者的从容", "TW"
"胜者啊胜者", "TW"
"隠れん坊", "JP"
"雑魚相手", "JP"
"青花易碎", "TW"
"黒猫", "JP"
"Ace샷", "KR"
"Ace이터널", "KR"
"AIちゃん", "JP"
"Ba11ons", "US"
"baileys", "US"
"bawlling", "US"
"Bilivi", "US"
"boH", "US"
"bRandoN", "US"
"CHEEZE", "US"
"chokku", "JP"
"CJ제일제당", "KR"
"CJENM", "US"
"ComoQue", "US"
"Con트롤", "KR"
"Dayneo", "US"
"FANXY", "US"
"Flaker", "US"
"Forget", "US"
"FRESH", "US"
"Funv1ta", "US"
"gamblerLV99", "US"
"gg2020", "US"
"Gh0st", "US"
"Gimotti", "US"
"Grrrrrr", "US"
"HateYou", "TW"
"Hero광인", "KR"
"Hero아카", "KR"
"i111i갓갓갓", "KR"
"i111i나그네", "KR"
"i111i라면", "KR"
"i독식i스파이크", "KR"
"i랜다i검은안경", "KR"
"i랜다i뿌링클", "KR"
"i살생i귀신", "KR"
"i시크릿i매직", "KR"
"i시크릿i사나", "KR"
"i시크릿i설아", "KR"
"i정예i노을", "KR"
"i커피i검사", "KR"
"i커피i루다", "KR"
"i커피i빠이", "KR"
"i커피i흑두더지", "KR"
"i패왕i도지", "KR"
"i패왕i매스터", "KR"
"i패왕i제로코크", "KR"
"III퍼센트", "KR"
"iRagei사자후", "KR"
"iRagei파워", "KR"
"johanna", "US"
"johnsnow", "US"
"KNight", "US"
"Loui", "US"
"Louis", "US"
"Lv987654", "US"
"Mallow", "US"
"Marill", "US"
"Master", "US"
"MeGusta", "US"
"MrJo4939", "US"
"MrWhite", "US"
"MuyBien", "US"
"Noooooop", "US"
"Now", "US"
"oleole", "US"
"One", "US"
"PaKer", "US"
"pannel", "US"
"Primal", "US"
"Pro파일", "KR"
"q평e평우리집3", "KR"
"R파카", "KR"
"raretam", "US"
"Skul1", "US"
"snowball", "US"
"STepegg", "US"
"Supppper", "US"
"SW2017", "US"
"Tagg", "US"
"Teleswee", "US"
"Ticket", "US"
"toner", "US"
"Trap", "US"
"Usin", "US"
"Vi1per", "US"
"VIP몽키", "KR"
"VIP흑도", "KR"
"VivaLa", "US"
"vY勝負師Yv", "TW"
"アーサー王", "JP"
"アイちゃ", "JP"
"アニメ好き", "JP"
"あられに切る", "JP"
"アリアリ", "JP"
"イケメン", "JP"
"イヤホン片方どこ", "JP"
"いらっしゃいませ", "JP"
"おりゃおりゃおりゃ", "JP"
"ガチャは悪い文明", "JP"
"キラキラ", "JP"
"クロネコ", "JP"
"コーラ", "JP"
"コラボしよう", "JP"
"サーバント", "JP"
"しおん", "JP"
"スライム王", "JP"
"ゼロ", "JP"
"ソロキャンプ", "JP"
"ダイスき", "JP"
"ちくパ", "JP"
"デヘッ", "JP"
"テンション上がる", "JP"
"ドM", "JP"
"トマト", "JP"
"なんすんの", "JP"
"にっこにっこにー", "JP"
"ネコミミ", "JP"
"ハマっちゃう", "JP"
"ひな", "JP"
"ヒロー", "JP"
"ふむふむ", "JP"
"ふわふわ", "JP"
"へぇぇぇ", "JP"
"ペコちゃん", "JP"
"ミカン", "JP"
"メガミ", "JP"
"モチベー上がる", "JP"
"やったか", "JP"
"よっこいしょ", "JP"
"ラーメン好き", "JP"
"レンガ", "JP"
"ワンチャン", "JP"
"불타는건포도", "KR"
"불타는구르기", "KR"
"불타는학생", "KR"
"불타는VIP", "KR"
"불타는우유", "KR"
"불타는커피", "KR"
"불타는공격", "KR"
"불타는두루미", "KR"
"불타는고양이", "KR"
"불타는집사", "KR"
"불타는어르신", "KR"
"불타는낮", "KR"
"불타는아침", "KR"
"불타는몬스터", "KR"
"불타는개미", "KR"
"불타는상승장", "KR"
"불타는댄스", "KR"
"그리운건포도", "KR"
"그리운육면체", "KR"
"그리운구르기", "KR"
"그리운선생님", "KR"
"그리운VIP", "KR"
"그리운댄스", "KR"
"달콤한선생님", "KR"
"뜨거운하락장", "KR"
"뜨거운댄스", "KR"
"얼어붙은두루미", "KR"
"얼어붙은고양이", "KR"
"얼어붙은이야기", "KR"
"신난메뚜기", "KR"
"신난개구리", "KR"
"슬픈커피", "KR"
"슬픈공격", "KR"
"슬픈수비", "KR"
"슬픈두루미", "KR"
"슬픈고양이", "KR"
"슬픈오리", "KR"
"슬픈개구리", "KR"
"슬픈댄스", "KR"
"행운의상승장", "KR"
"무작위주사위", "KR"
"무작위점프", "KR"
"무작위우유", "KR"
"무작위사탕", "KR"
"무작위어르신", "KR"
"무작위밤", "KR"
"무작위낮", "KR"
"무작위아침", "KR"
"무작위새벽", "KR"
"무작위이야기", "KR"
"성장한주사위", "KR"
"성장한개구리", "KR"
"승리의다이서", "KR"
"승리의구르기", "KR"
"승리의고양이", "KR"
"승리의오리", "KR"
"승리의집사", "KR"
"승리의부수기", "KR"
"승리의손장난", "KR"
"승리의댄스", "KR"
"불굴의오리", "KR"
"불굴의집사", "KR"
"불굴의부수기", "KR"
"침착한학생", "KR"
"침착한고객님", "KR"
"침착한VIP", "KR"
"침착한몬스터", "KR"
"거친VIP", "KR"
"거친승부사", "KR"
"깨끗한학생", "KR"
"깨끗한고객님", "KR"
"깨끗한우유", "KR"
"깨끗한사탕", "KR"
"깨끗한커피", "KR"
"깨끗한아침", "KR"
"깨끗한새벽", "KR"
"나쁜공격", "KR"
"나쁜젊은이", "KR"
"날카로운점프", "KR"
"날카로운몬스터", "KR"
"너그러운승부사", "KR"
"너그러운말투", "KR"
"뛰어난선생님", "KR"
"뛰어난학생", "KR"
"뛰어난고객님", "KR"
"뛰어난어르신", "KR"
"뛰어난말투", "KR"
"매운사탕", "KR"
"매운공격", "KR"
"매운하락장", "KR"
"매운상승장", "KR"
"보람찬승부사", "KR"
"보람찬달리기", "KR"
"보람찬점프", "KR"
"보람찬밤", "KR"
"보람찬낮", "KR"
"보람찬아침", "KR"
"수줍은개구리", "KR"
"수줍은몬스터", "KR"
"수줍은개미", "KR"
"쏜살같은구르기", "KR"
"쏜살같은달리기", "KR"
"쏜살같은두루미", "KR"
"쏜살같은고양이", "KR"
"쏜살같은오리", "KR"
"아름다운학생", "KR"
"아름다운고객님", "KR"
"어두운육면체", "KR"
"어두운어르신", "KR"
"어두운밤", "KR"
"예쁜선생님", "KR"
"예쁜학생", "KR"
"예쁜말투", "KR"
"예쁜개미", "KR"
"예쁜하락장", "KR"
"예쁜상승장", "KR"
"예쁜젊은이", "KR"
"예쁜댄스", "KR"
"안타까운주사위", "KR"
"안타까운여행", "KR"
"지나친개미", "KR"
"지나친젊은이", "KR"
"조그만주사위", "KR"
"조그만건포도", "KR"
"케케묵은젊은이", "KR"
"힘찬점프", "KR"
"힘찬메뚜기", "KR"
"깐족깐족공격", "KR"
"깐족깐족말투", "KR"
"구질구질집사", "KR"
"구질구질여행", "KR"
"그래도두루미", "KR"
"그래도고양이", "KR"
"그래도하락장", "KR"
"그래도상승장", "KR"
"깝죽깝죽학생", "KR"
"깝죽깝죽개미", "KR"
"갑자기점프", "KR"
"갑자기부수기", "KR"
"갑자기새벽", "KR"
"능청스런고객님", "KR"
"다짜고짜부수기", "KR"
"대놓고VIP", "KR"
"대놓고댄스", "KR"
"짜릿한주사위", "KR"
"짜릿한손장난", "KR"
"짜릿한밤", "KR"
"AngryDude", "US"
"AngryAdam", "US"
"AngrySalt", "US"
"AngryLad", "US"
"AngryMoon", "US"
"AngryRain", "US"
"AngryUser", "US"
"AngryDawn", "US"
"AngryNews", "US"
"AngryLime", "US"
"AngryGod", "US"
"AngryMan", "US"
"BadCash", "US"
"BadVIP", "US"
"BadGum", "US"
"BadRack", "US"
"BadJoke", "US"
"BadLad", "US"
"BadMoon", "US"
"BadRain", "US"
"BadUser", "US"
"TiredCash", "US"
"TiredVIP", "US"
"TiredHana", "US"
"TiredMilk", "US"
"TiredSalt", "US"
"TiredDark", "US"
"TiredIdea", "US"
"TiredAnt", "US"
"TiredLime", "US"
"BlueBird", "US"
"BlueKing", "US"
"BlueDog", "US"
"BlueDean", "US"
"BlueRack", "US"
"BlueJoke", "US"
"BlueLad", "US"
"BoredDude", "US"
"BoredAdam", "US"
"BoredBaby", "US"
"BoredCash", "US"
"BoredVIP", "US"
"BoredGum", "US"
"BraveDicer", "US"
"BraveKing", "US"
"BraveDog", "US"
"BraveDean", "US"
"BraveRack", "US"
"BraveJoke", "US"
"BraveLad", "US"
"BraveMoon", "US"
"BraveRain", "US"
"BraveUser", "US"
"BraveDawn", "US"
"BraveNews", "US"
"BraveBook", "US"
"BraveBug", "US"
"BraveFrog", "US"
"BusyExpert", "US"
"BusyDude", "US"
"BusyMilk", "US"
"BusySalt", "US"
"BusyBean", "US"
"BusyPin", "US"
"BusyTank", "US"
"BusyBird", "US"
"BusyKing", "US"
"BusyDog", "US"
"BusyDean", "US"
"BusyRack", "US"
"BusyBook", "US"
"BusyBug", "US"
"BusyFrog", "US"
"BusyLily", "US"
"BusyDark", "US"
"BusyIdea", "US"
"BusyAnt", "US"
"BusyLime", "US"
"BusyGod", "US"
"BusyMan", "US"
"CleanGum", "US"
"CleanHana", "US"
"CleanTree", "US"
"CleanMilk", "US"
"CleanSalt", "US"
"CleanBean", "US"
"CleanPin", "US"
"CleanTank", "US"
"CleanBird", "US"
"CleanKing", "US"
"CleanDog", "US"
"CleanDean", "US"
"CleanLily", "US"
"CleanDark", "US"
"CleanIdea", "US"
"CleanAnt", "US"
"CleanLime", "US"
"CleanGod", "US"
"CrazyNews", "US"
"CrazyBook", "US"
"CrazyBug", "US"
"CrazyFrog", "US"
"CruelLily", "US"
"CruelDark", "US"
"CruelIdea", "US"
"CruelAnt", "US"
"CuteBaby", "US"
"CuteCash", "US"
"CuteVIP", "US"
"CuteGum", "US"
"CuteHana", "US"
"CuteTree", "US"
"CuteMilk", "US"
"CuteSalt", "US"
"CuteBean", "US"
"CutePin", "US"
"CuteLily", "US"
"CuteDark", "US"
"CuteIdea", "US"
"CuteAnt", "US"
"CuteLime", "US"
"RareMoon", "US"
"RareRain", "US"
"RareUser", "US"
"RareDawn", "US"
"RareNews", "US"
"RareBook", "US"
"RareBug", "US"
"RareGirl", "US"
"DullDice", "US"
"DullDicer", "US"
"DullAnt", "US"
"DullLime", "US"
"DullGod", "US"
"DullMan", "US"
"DullGirl", "US"
"EasyDice", "US"
"EasyDicer", "US"
"EasyDobby", "US"
"EasyExpert", "US"
"EasyDude", "US"
"EasyDog", "US"
"EasyDean", "US"
"EasyRack", "US"
"EasyJoke", "US"
"EasyLad", "US"
"EasyMoon", "US"
"EasyRain", "US"
"EasyGod", "US"
"EasyMan", "US"
"EasyGirl", "US"
"EvilDice", "US"
"EvilDicer", "US"
"EvilDobby", "US"
"EvilExpert", "US"
"EvilDude", "US"
"EvilAdam", "US"
"EvilBaby", "US"
"EvilCash", "US"
"EvilVIP", "US"
"EvilGod", "US"
"EvilMan", "US"
"EvilGirl", "US"
"FineDice", "US"
"FineDicer", "US"
"FineDobby", "US"
"FineExpert", "US"
"FineDude", "US"
"FineAdam", "US"
"FineIdea", "US"
"FineAnt", "US"
"FineLime", "US"
"FineGod", "US"
"BigKing", "US"
"BigDog", "US"
"BigDean", "US"
"BigRack", "US"
"BigJoke", "US"
"BigLad", "US"
"BigMoon", "US"
"BigRain", "US"
"BigUser", "US"
"BigDawn", "US"
"BigDark", "US"
"BigIdea", "US"
"BigAnt", "US"
"BigLime", "US"
"BigGod", "US"
"BigMan", "US"
"JollyHana", "US"
"JollyTree", "US"
"JollyMilk", "US"
"JollySalt", "US"
"JollyBean", "US"
"JollyPin", "US"
"JollyTank", "US"
"JollyBird", "US"
"JollyKing", "US"
"JollyDog", "US"
"JollyAnt", "US"
"JollyLime", "US"
"JollyGod", "US"
"JollyMan", "US"
"JollyGirl", "US"
"KindDice", "US"
"KindDicer", "US"
"KindDobby", "US"
"KindExpert", "US"
"KindDude", "US"
"KindLad", "US"
"KindMoon", "US"
"KindRain", "US"
"KindUser", "US"
"KindDawn", "US"
"KindNews", "US"
"KindBook", "US"
"KindBug", "US"
"KindFrog", "US"
"KindLily", "US"
"KindDark", "US"
"LazyTree", "US"
"LazyMilk", "US"
"LazySalt", "US"
"LazyBean", "US"
"LazyPin", "US"
"LazyTank", "US"
"LazyBird", "US"
"LazyKing", "US"
"LazyDog", "US"
"LazyDean", "US"
"LazyNews", "US"
"LazyBook", "US"
"LazyBug", "US"
"LazyFrog", "US"
"LazyLily", "US"
"LazyDark", "US"
"LazyIdea", "US"
"LazyAnt", "US"
"LuckyDude", "US"
"LuckyAdam", "US"
"LuckyBaby", "US"
"LuckyCash", "US"
"LuckyTank", "US"
"LuckyBird", "US"
"LuckyKing", "US"
"LuckyDog", "US"
"LuckyDean", "US"
"LuckyRack", "US"
"LuckyJoke", "US"
"LuckyFrog", "US"
"LuckyLily", "US"
"LuckyDark", "US"
"LuckyIdea", "US"
"LuckyAnt", "US"
"NiceTree", "US"
"NiceMilk", "US"
"NiceSalt", "US"
"NiceBean", "US"
"NicePin", "US"
"NiceTank", "US"
"NiceBird", "US"
"NiceKing", "US"
"NiceDog", "US"
"NiceDean", "US"
"NiceRack", "US"
"NiceMan", "US"
"NiceGirl", "US"
"OddDice", "US"
"OddDicer", "US"
"OddDobby", "US"
"OddExpert", "US"
"OddDude", "US"
"OddAdam", "US"
"OddBaby", "US"
"OddCash", "US"
"OddJoke", "US"
"OddLad", "US"
"OddMoon", "US"
"OddRain", "US"
"OddUser", "US"
"OddDawn", "US"
"OddNews", "US"
"OddBook", "US"
"OddBug", "US"
"OddFrog", "US"
"OddLily", "US"
"OddDark", "US"
"HolyDice", "US"
"HolyDicer", "US"
"HolyDobby", "US"
"HolyExpert", "US"
"HolyDude", "US"
"HolySalt", "US"
"HolyBean", "US"
"HolyPin", "US"
"HolyTank", "US"
"HolyBird", "US"
"HolyKing", "US"
"HolyBook", "US"
"HolyBug", "US"
"HolyFrog", "US"
"HolyLily", "US"
"HolyDark", "US"
"RealSalt", "US"
"RealBean", "US"
"RealPin", "US"
"RealTank", "US"
"RealBird", "US"
"RealKing", "US"
"RealDog", "US"
"RealDean", "US"
"RealRack", "US"
"RealJoke", "US"
"RealLad", "US"
"RealAnt", "US"
"RealLime", "US"
"RealGod", "US"
"RealMan", "US"
"RealGirl", "US"
"RichDice", "US"
"RichDicer", "US"
"RichDobby", "US"
"RichSalt", "US"
"RichBean", "US"
"RichPin", "US"
"RichTank", "US"
"RichBird", "US"
"RichKing", "US"
"RichDog", "US"
"RichDean", "US"
"RichRack", "US"
"RichJoke", "US"
"RichLad", "US"
"RichMoon", "US"
"RichRain", "US"
"RichMan", "US"
"RichGirl", "US"
"ShyDice", "US"
"ShyDicer", "US"
"ShyDobby", "US"
"ShyExpert", "US"
"ShyDude", "US"
"ShyAdam", "US"
"ShyBaby", "US"
"ShyCash", "US"
"ShyVIP", "US"
"ShyMoon", "US"
"ShyRain", "US"
"ShyUser", "US"
"ShyDawn", "US"
"ShyNews", "US"
"ShyBook", "US"
"ShyBug", "US"
"ShyFrog", "US"
"ShyLily", "US"
"SuperVIP", "US"
"SuperGum", "US"
"SuperHana", "US"
"SuperTree", "US"
"SuperMilk", "US"
"SuperSalt", "US"
"SuperBean", "US"
"SuperPin", "US"
"SuperTank", "US"
"SuperBird", "US"
"SuperFrog", "US"
"SuperLily", "US"
"SuperDark", "US"
"SuperIdea", "US"
"SuperAnt", "US"
"SuperLime", "US"
"SuperGod", "US"
"SuperMan", "US"
"FoxyPin", "US"
"FoxyTank", "US"
"FoxyBird", "US"
"FoxyKing", "US"
"FoxyDog", "US"
"FoxyDean", "US"
"FoxyRack", "US"
"FoxyJoke", "US"
"FoxyLad", "US"
"FoxyMoon", "US"
"FoxyRain", "US"
"FoxyUser", "US"
"FoxyDawn", "US"
"FoxyNews", "US"
"FoxyBook", "US"
"WildCash", "US"
"WildVIP", "US"
"WildGum", "US"
"WildHana", "US"
"WildTree", "US"
"WildMilk", "US"
"WildSalt", "US"
"WildBean", "US"
"WildPin", "US"
"WildTank", "US"
"WildBird", "US"
"WildKing", "US"
"WildDog", "US"
"WildDean", "US"
"WildRack", "US"
"TheDicer", "US"
"TheDobby", "US"
"TheExpert", "US"
"TheDude", "US"
"TheAdam", "US"
"TheBaby", "US"
"TheCash", "US"
"TheVIP", "US"
"TheGum", "US"
"TheTree", "US"
"TheMilk", "US"
"FunRack", "US"
"FunJoke", "US"
"FunLad", "US"
"FunMoon", "US"
"FunRain", "US"
"FunUser", "US"
"FunDawn", "US"
"FunNews", "US"
"FunBook", "US"
"FunBug", "US"
"FunFrog", "US"
"CoolGum", "US"
"CoolHana", "US"
"CoolTree", "US"
"CoolMilk", "US"
"CoolSalt", "US"
"CoolBean", "US"
"CoolPin", "US"
"CoolTank", "US"
"CoolBird", "US"
"CoolKing", "US"
"CoolDog", "US"
"CoolLime", "US"
"CoolGod", "US"
"CoolMan", "US"
"CoolGirl", "US"
"SadDice", "US"
"SadDicer", "US"
"SadDog", "US"
"SadDean", "US"
"SadRack", "US"
"SadJoke", "US"
"SadLad", "US"
"SadMoon", "US"
"SadRain", "US"
"SadUser", "US"
"SadDawn", "US"
"SadNews", "US"
"DearHana", "US"
"DearTree", "US"
"DearMilk", "US"
"DearSalt", "US"
"DearBean", "US"
"DearPin", "US"
"DearTank", "US"
"DearBird", "US"
"DearKing", "US"
"DearGod", "US"
"DearMan", "US"
"DearGirl", "US"
"RedDice", "US"
"RedDicer", "US"
"RedDobby", "US"
"RedExpert", "US"
"RedDude", "US"
"RedAdam", "US"
"RedBaby", "US"
"RedCash", "US"
"RedVIP", "US"
"RedGum", "US"
"RedHana", "US"
"FastAdam", "US"
"FastBaby", "US"
"FastCash", "US"
"FastVIP", "US"
"FastGum", "US"
"FastHana", "US"
"FastTree", "US"
"FastMilk", "US"
"FastSalt", "US"
"FastBean", "US"
"FastPin", "US"
"FastTank", "US"
"FastBird", "US"
"FastKing", "US"
"FastFrog", "US"
"OldKing", "US"
"OldDog", "US"
"OldDean", "US"
"OldRack", "US"
"OldJoke", "US"
"OldLad", "US"
"OldMoon", "US"
"OldRain", "US"
"OldUser", "US"
"OldDawn", "US"
"OldNews", "US"
"OldBook", "US"
"OldBug", "US"
"OldFrog", "US"
"NeatKing", "US"
"NeatDog", "US"
"NeatDean", "US"
"NeatRack", "US"
"NeatJoke", "US"
"NeatLad", "US"
"NeatMoon", "US"
"NeatRain", "US"
"NeatUser", "US"
"NeatDawn", "US"
"NeatNews", "US"
"RudeBaby", "US"
"RudeCash", "US"
"RudeVIP", "US"
"RudeGum", "US"
"RudeHana", "US"
"RudeTree", "US"
"RudeMilk", "US"
"RudeSalt", "US"
"RudeBean", "US"
"RudePin", "US"
"RudeTank", "US"
"RudeDark", "US"
"RudeIdea", "US"
"RudeAnt", "US"
"RudeLime", "US"
"RudeGod", "US"
"RudeMan", "US"
"RudeGirl", "US"
"最強なダイス", "JP"
"最強なデイジー", "JP"
"最強なダイサー", "JP"
"最強なドラゴン", "JP"
"幸福の月", "JP"
"幸福のムーン", "JP"
"幸福の巨人", "JP"
"黄金の英雄", "JP"
"黄金のゴールド", "JP"
"黄金のダイヤ", "JP"
"黄金の守護者", "JP"
"黄金のジョーカー", "JP"
"黄金の星", "JP"
"天下魔法瓶", "JP"
"天下マスター", "JP"
"天下ソラ", "JP"
"天下ナイス", "JP"
"天下ウィナー", "JP"
"天下勝者", "TW"
"天下社長", "JP"
"天下英雄", "TW"
"天下ゴールド", "JP"
"天下ダイヤ", "JP"
"天下天使", "TW"
"天下ヒーロー", "JP"
"天下ミニミ", "JP"
"天下キャリー", "JP"
"天下守護神", "TW"
"天下神", "TW"
"天下実力者", "JP"
"天下惑星", "JP"
"天下月", "TW"
"輝く社長", "JP"
"輝く英雄", "JP"
"輝くゴールド", "JP"
"輝くダイヤ", "JP"
"輝く守護者", "JP"
"輝くジョーカー", "JP"
"輝く星", "JP"
"輝くスター", "JP"
"輝くキャリー", "JP"
"輝く守護神", "JP"
"輝く神", "JP"
"輝く実力者", "JP"
"輝く惑星", "JP"
"輝く月", "JP"
"輝く地ならし", "JP"
"輝くスイッチ", "JP"
"宇宙ダイス", "JP"
"宇宙デイジー", "JP"
"宇宙ダイサー", "JP"
"宇宙ダイヤ", "JP"
"宇宙守護者", "TW"
"宇宙ジョーカー", "JP"
"宇宙星", "JP"
"宇宙スター", "JP"
"宇宙太陽", "JP"
"宇宙サン", "JP"
"宇宙天使", "TW"
"宇宙ヒーロー", "JP"
"宇宙ミニミ", "JP"
"宇宙キャリー", "JP"
"宇宙守護神", "JP"
"伝説のデイジー", "JP"
"伝説のダイサー", "JP"
"伝説のドラゴン", "JP"
"伝説のVIP", "JP"
"伝説のソーマ", "JP"
"伝説のモンスター", "JP"
"伝説の魔法瓶", "JP"
"伝説のマスター", "JP"
"伝説のソラ", "JP"
"伝説のナイス", "JP"
"伝説のウィナー", "JP"
"伝説の勝者", "JP"
"伝説のダイヤ", "JP"
"伝説の守護者", "JP"
"伝説のジョーカー", "JP"
"伝説の星", "JP"
"伝説のスター", "JP"
"伝説の太陽", "JP"
"伝説のサン", "JP"
"伝説の天使", "JP"
"伝説の惑星", "JP"
"伝説の月", "JP"
"伝説のムーン", "JP"
"伝説の巨人", "JP"
"伝説のサポーター", "JP"
"伝説の初心者", "JP"
"伝説の嵐", "JP"
"伝説の雷雲", "JP"
"伝説の地ならし", "JP"
"伝説のスイッチ", "JP"
"クールなダイス", "JP"
"クールなデイジー", "JP"
"クールなゴールド", "JP"
"クールなダイヤ", "JP"
"クールな守護者", "JP"
"クールなジョーカー", "JP"
"クールな星", "JP"
"クールなスター", "JP"
"クールな太陽", "JP"
"クールなサン", "JP"
"クールな天使", "JP"
"クールなヒーロー", "JP"
"クールなミニミ", "JP"
"クールなキャリー", "JP"
"クールな守護神", "JP"
"クールな神", "JP"
"クールな実力者", "JP"
"クールな惑星", "JP"
"火炎のソーマ", "JP"
"火炎のモンスター", "JP"
"火炎の魔法瓶", "JP"
"火炎のマスター", "JP"
"火炎のソラ", "JP"
"火炎のナイス", "JP"
"火炎のウィナー", "JP"
"火炎の勝者", "JP"
"火炎の社長", "JP"
"火炎の英雄", "JP"
"火炎のゴールド", "JP"
"火炎のダイヤ", "JP"
"火炎の守護者", "JP"
"火炎のジョーカー", "JP"
"火炎の初心者", "JP"
"火炎の嵐", "JP"
"火炎の雷雲", "JP"
"火炎の地ならし", "JP"
