int, int, int, int, int, int[], int, int, int[], int, int, int, int, int, int, int, int, int, int, int, int, int, int, int
13, 9, 90, 1, 1, "0|0", 0, 1, 3007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14, 10, 90, 1, 1, "0|0", 0, 1, 3007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, 3, 2, 11, 8, "-2 | 3", -1, 15, " 5009 | 5010 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 5, 5, 1, 3, -1, 2, 1, 2, 0, 0, 0, 0, 0
101, 3, 2, 12, 9, "-2 | 3", -1, 16, " 5009 | 5010 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 6, 7, 3, 4, -1, 3, 1, 2, 0, 20, 3, 0, 0
102, 3, 2, 13, 10, "-2 | 3", -1, 17, " 5009 | 5010 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 6, 7, 3, 5, -1, 4, 1, 2, 0, 30, 6, 0, 0
103, 3, 2, 14, 11, "-2 | 3", -1, 18, " 5009 | 5010 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 6, 7, 4, 6, -1, 5, 1, 3, 0, 40, 7, 0, 0
104, 3, 2, 15, 12, "-2 | 3", -1, 18, " 5009 | 5010 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 6, 7, 4, 7, -1, 6, 2, 3, 0, 50, 9, 0, 0
105, 3, 2, 15, 12, "-2 | 3", -1, 19, " 5009 | 5010 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 6, 7, 4, 9, -1, 7, 2, 3, 0, 70, 10, 0, 0
200, 4, 3, 16, 11, "-1 | 2", -1, 19, "4006 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 7, 9, 5, 9, -1, 6, 2, 3, 0, 0, 0, 0, 0
201, 4, 3, 16, 12, "-1 | 2", -1, 20, "4006 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 7, 9, 5, 9, -1, 7, 2, 3, 0, 20, 3, 0, 0
202, 4, 3, 17, 13, "-1 | 2", -1, 20, "4006 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 8, 10, 5, 10, -1, 8, 2, 3, 0, 30, 8, 0, 0
203, 4, 3, 17, 14, "-1 | 2", -1, 21, "4006 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 9, 10, 6, 10, -1, 8, 3, 4, 0, 40, 10, 0, 0
204, 4, 3, 18, 14, "-1 | 2", -1, 21, "4006 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 9, 10, 6, 10, -1, 9, 3, 4, 0, 50, 10, 0, 0
205, 4, 3, 18, 14, "-1 | 2", -1, 22, "4006 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 9, 10, 6, 10, -1, 9, 3, 4, 0, 70, 11, 0, 0
300, 5, 4, 19, 15, "-1 | 0", -1, -1, "4006 | 5001 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", 2, 6, 10, -1, 10, 9, -1, 12, 3, 4, 0, 0, 0, 0, 0
301, 5, 4, 19, 15, "-1 | 0", -1, -1, "4006 | 5001 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", 3, 6, 10, -1, 11, 10, -1, 13, 3, 4, 0, 20, 3, 0, 0
302, 5, 4, 19, 15, "-1 | 0", -1, -1, "4006 | 5001 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", 3, 6, 10, -1, 12, 11, -1, 14, 3, 4, 0, 30, 8, 0, 0
303, 5, 4, 20, 15, "-1 | 0", -1, -1, "4006 | 5001 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", -1, 9, 10, -1, 13, 11, -1, 15, 3, 4, 0, 40, 10, 0, 0
304, 5, 4, 20, 15, "-1 | 0", -1, -1, "4006 | 5001 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", -1, 9, 10, -1, 14, 11, -1, 16, 3, 4, 0, 50, 10, 0, 0
305, 5, 4, 20, 15, "-1 | 0", -1, -1, "4006 | 5001 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", -1, 12, 11, -1, 15, 11, -1, 17, 3, 5, 0, 70, 11, 0, 0
400, 6, 5, 21, 15, "0 | 0", -1, -1, "4006 | 5001 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", -1, 12, 10, -1, 16, 9, -1, 18, 3, 4, 0, 0, 0, 0, 0
401, 6, 5, 21, 15, "0 | 0", -1, -1, "4006 | 5001 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", -1, 12, 10, -1, 17, 10, -1, 19, 3, 4, 0, 20, 3, 0, 0
402, 6, 5, 21, 15, "0 | 0", -1, -1, "4006 | 5001 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", -1, 12, 10, -1, 18, 11, -1, 20, 3, 5, 0, 30, 8, 0, 0
403, 6, 5, 22, 15, "0 | 0", -1, -1, "4006 | 5001 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", -1, 15, 10, -1, -1, 11, -1, 20, 3, 5, 0, 40, 10, 0, 0
404, 6, 5, 22, 15, "0 | 0", -1, -1, "4006 | 5001 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", -1, 15, 10, -1, -1, 11, -1, 21, 3, 5, 0, 50, 10, 0, 0
405, 6, 5, 22, 15, "0 | 0", -1, -1, "4006 | 5001 |  5009 | 5013 | 5015 | 5016 | 5018 | 5019 | 5021", -1, 15, 11, -1, -1, 11, -1, 21, 3, 5, 0, 70, 11, 0, 0
704001, 3, 704, 11, 2, "-2 | 3", -1, -1, " 5009 | 5010 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0
704002, 3, 704, 11, 3, "-2 | 4", -1, -1, " 5010 | 5010 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0
704003, 3, 704, 11, 6, "-2 | 5", -1, -1, " 5011 | 5010 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 0, 0, 0, 2, -1, 0, 0, 0, 0, 0, 0, 0, 0
704004, 3, 704, 11, 10, "-2 | 6", -1, -1, " 5012 | 5010 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 0, 0, 0, 2, -1, 0, 0, 0, 0, 0, 0, 0, 0
704005, 3, 704, 11, 12, "-2 | 7", -1, -1, " 5013 | 5010 | 5015 | 5016 | 5018 | 5019 | 5021", 0, 0, 0, 0, 0, 3, -1, 0, 0, 0, 0, 0, 0, 0, 0
