int, int, int, int, TableReward, float
61, 1002, 2, -1, "[101, 500, 500]", "12.5"
62, 1002, 2, -1, "[101, 1000, 1000]", "12.5"
63, 1002, 2, -1, "[103, 15, 15]", "12.5"
64, 1002, 2, -1, "[103, 30, 30]", "12.5"
65, 1002, 3, 1, "[2001,300591, 1, 1]", "12.5"
66, 1002, 3, 1, "[104, 10, 10]", "12.5"
67, 1002, 3, 2, "[201, 1, 1]", "12.5"
68, 1002, 3, 2, "[102, 500, 500]", "12.5"
69, 1002, 3, -1, "[101, 500, 500]", "12.5"
70, 1002, 3, -1, "[101, 1000, 1000]", "12.5"
71, 1002, 3, -1, "[103, 15, 15]", "12.5"
72, 1002, 3, -1, "[103, 30, 30]", "12.5"
73, 1002, 4, 1, "[2001,300191, 1, 1]", "12.5"
74, 1002, 4, 1, "[104, 10, 10]", "12.5"
75, 1002, 4, 2, "[201, 1, 1]", "12.5"
76, 1002, 4, 2, "[102, 500, 500]", "12.5"
77, 1002, 4, -1, "[101, 500, 500]", "12.5"
78, 1002, 4, -1, "[101, 1000, 1000]", "12.5"
79, 1002, 4, -1, "[103, 15, 15]", "12.5"
80, 1002, 4, -1, "[103, 30, 30]", "12.5"
81, 1005, 0, 1, "[113,10, 10]", "12.5"
82, 1005, 0, 1, "[115, 50, 50]", "12.5"
83, 1005, 0, 2, "[201, 1, 1]", "12.5"
84, 1005, 0, 2, "[102, 500, 500]", "12.5"
85, 1005, 0, -1, "[101, 500, 500]", "12.5"
86, 1005, 0, -1, "[101, 1000, 1000]", "12.5"
87, 1005, 0, -1, "[103, 15, 15]", "12.5"
88, 1005, 0, -1, "[103, 30, 30]", "12.5"
89, 1005, 1, 1, "[113,10, 10]", "12.5"
90, 1005, 1, 1, "[115, 50, 50]", "12.5"
91, 1005, 1, 2, "[201, 1, 1]", "12.5"
92, 1005, 1, 2, "[102, 500, 500]", "12.5"
93, 1005, 1, -1, "[101, 500, 500]", "12.5"
94, 1005, 1, -1, "[101, 1000, 1000]", "12.5"
95, 1005, 1, -1, "[103, 15, 15]", "12.5"
96, 1005, 1, -1, "[103, 30, 30]", "12.5"
97, 1005, 2, 1, "[113,10, 10]", "12.5"
98, 1005, 2, 1, "[115, 50, 50]", "12.5"
99, 1005, 2, 2, "[201, 1, 1]", "12.5"
100, 1005, 2, 2, "[102, 500, 500]", "12.5"
101, 1005, 2, -1, "[101, 500, 500]", "12.5"
102, 1005, 2, -1, "[101, 1000, 1000]", "12.5"
103, 1005, 2, -1, "[103, 15, 15]", "12.5"
104, 1005, 2, -1, "[103, 30, 30]", "12.5"
105, 1005, 3, 1, "[113,10, 10]", "12.5"
106, 1005, 3, 1, "[115, 50, 50]", "12.5"
107, 1005, 3, 2, "[201, 1, 1]", "12.5"
108, 1005, 3, 2, "[102, 500, 500]", "12.5"
109, 1005, 3, -1, "[101, 500, 500]", "12.5"
110, 1005, 3, -1, "[101, 1000, 1000]", "12.5"
111, 1005, 3, -1, "[103, 15, 15]", "12.5"
112, 1005, 3, -1, "[103, 30, 30]", "12.5"
113, 1005, 4, 1, "[113,10, 10]", "12.5"
114, 1005, 4, 1, "[115, 50, 50]", "12.5"
115, 1005, 4, 2, "[201, 1, 1]", "12.5"
116, 1005, 4, 2, "[102, 500, 500]", "12.5"
117, 1005, 4, -1, "[101, 500, 500]", "12.5"
118, 1005, 4, -1, "[101, 1000, 1000]", "12.5"
119, 1005, 4, -1, "[103, 15, 15]", "12.5"
120, 1005, 4, -1, "[103, 30, 30]", "12.5"
121, 1008, 0, 1, "[113,10, 10]", "12.5"
122, 1008, 0, 1, "[115, 50, 50]", "12.5"
123, 1008, 0, 2, "[107, 2, 2]", "12.5"
124, 1008, 0, 2, "[102, 500, 500]", "12.5"
125, 1008, 0, -1, "[101, 500, 500]", "12.5"
126, 1008, 0, -1, "[101, 1000, 1000]", "12.5"
127, 1008, 0, -1, "[103, 15, 15]", "12.5"
128, 1008, 0, -1, "[103, 30, 30]", "12.5"
129, 1008, 1, 1, "[113,10, 10]", "12.5"
130, 1008, 1, 1, "[115, 50, 50]", "12.5"
131, 1008, 1, 2, "[107, 2, 2]", "12.5"
132, 1008, 1, 2, "[102, 500, 500]", "12.5"
133, 1008, 1, -1, "[101, 500, 500]", "12.5"
134, 1008, 1, -1, "[101, 1000, 1000]", "12.5"
135, 1008, 1, -1, "[103, 15, 15]", "12.5"
136, 1008, 1, -1, "[103, 30, 30]", "12.5"
137, 1008, 2, 1, "[113,10, 10]", "12.5"
138, 1008, 2, 1, "[115, 50, 50]", "12.5"
139, 1008, 2, 2, "[107, 2, 2]", "12.5"
140, 1008, 2, 2, "[102, 500, 500]", "12.5"
141, 1008, 2, -1, "[101, 500, 500]", "12.5"
142, 1008, 2, -1, "[101, 1000, 1000]", "12.5"
143, 1008, 2, -1, "[103, 15, 15]", "12.5"
144, 1008, 2, -1, "[103, 30, 30]", "12.5"
145, 1008, 3, 1, "[113,10, 10]", "12.5"
146, 1008, 3, 1, "[115, 50, 50]", "12.5"
147, 1008, 3, 2, "[107, 2, 2]", "12.5"
148, 1008, 3, 2, "[102, 500, 500]", "12.5"
149, 1008, 3, -1, "[101, 500, 500]", "12.5"
150, 1008, 3, -1, "[101, 1000, 1000]", "12.5"
151, 1008, 3, -1, "[103, 15, 15]", "12.5"
152, 1008, 3, -1, "[103, 30, 30]", "12.5"
153, 1008, 4, 1, "[113,10, 10]", "12.5"
154, 1008, 4, 1, "[115, 50, 50]", "12.5"
155, 1008, 4, 2, "[107, 2, 2]", "12.5"
156, 1008, 4, 2, "[102, 500, 500]", "12.5"
157, 1008, 4, -1, "[101, 500, 500]", "12.5"
158, 1008, 4, -1, "[101, 1000, 1000]", "12.5"
159, 1008, 4, -1, "[103, 15, 15]", "12.5"
160, 1008, 4, -1, "[103, 30, 30]", "12.5"
161, 1010, 0, 1, "[2001,100192, 1, 1]", "12.5"
162, 1010, 0, 1, "[104, 20, 20]", "12.5"
163, 1010, 0, 2, "[201, 1, 1]", "12.5"
164, 1010, 0, 2, "[102, 500, 500]", "12.5"
165, 1010, 0, -1, "[101, 500, 500]", "12.5"
166, 1010, 0, -1, "[101, 1000, 1000]", "12.5"
167, 1010, 0, -1, "[103, 15, 15]", "12.5"
168, 1010, 0, -1, "[103, 30, 30]", "12.5"
169, 1010, 1, 1, "[2001,100292, 1, 1]", "12.5"
170, 1010, 1, 1, "[104, 20, 20]", "12.5"
171, 1010, 1, 2, "[201, 1, 1]", "12.5"
172, 1010, 1, 2, "[102, 500, 500]", "12.5"
173, 1010, 1, -1, "[101, 500, 500]", "12.5"
174, 1010, 1, -1, "[101, 1000, 1000]", "12.5"
175, 1010, 1, -1, "[103, 15, 15]", "12.5"
176, 1010, 1, -1, "[103, 30, 30]", "12.5"
177, 1010, 2, 1, "[2001,100392, 1, 1]", "12.5"
178, 1010, 2, 1, "[104, 20, 20]", "12.5"
179, 1010, 2, 2, "[201, 1, 1]", "12.5"
180, 1010, 2, 2, "[102, 500, 500]", "12.5"
181, 1010, 2, -1, "[101, 500, 500]", "12.5"
182, 1010, 2, -1, "[101, 1000, 1000]", "12.5"
183, 1010, 2, -1, "[103, 15, 15]", "12.5"
184, 1010, 2, -1, "[103, 30, 30]", "12.5"
185, 1010, 3, 1, "[2001,100492, 1, 1]", "12.5"
186, 1010, 3, 1, "[104, 20, 20]", "12.5"
187, 1010, 3, 2, "[201, 1, 1]", "12.5"
188, 1010, 3, 2, "[102, 500, 500]", "12.5"
189, 1010, 3, -1, "[101, 500, 500]", "12.5"
190, 1010, 3, -1, "[101, 1000, 1000]", "12.5"
191, 1010, 3, -1, "[103, 15, 15]", "12.5"
192, 1010, 3, -1, "[103, 30, 30]", "12.5"
193, 1010, 4, 1, "[2001,100592, 1, 1]", "12.5"
194, 1010, 4, 1, "[104, 20, 20]", "12.5"
195, 1010, 4, 2, "[201, 1, 1]", "12.5"
196, 1010, 4, 2, "[102, 500, 500]", "12.5"
197, 1010, 4, -1, "[101, 500, 500]", "12.5"
198, 1010, 4, -1, "[101, 1000, 1000]", "12.5"
199, 1010, 4, -1, "[103, 15, 15]", "12.5"
200, 1010, 4, -1, "[103, 30, 30]", "12.5"
201, 1014, 0, 1, "[141,100, 100]", "12.5"
202, 1014, 0, 1, "[8000, 1, 30, 30]", "12.5"
203, 1014, 0, 2, "[8000, 2, 5, 5]", "12.5"
204, 1014, 0, 2, "[102, 1000, 1000]", "12.5"
205, 1014, 0, -1, "[101, 500, 500]", "12.5"
206, 1014, 0, -1, "[141, 5, 5]", "12.5"
207, 1014, 0, -1, "[103, 15, 15]", "12.5"
208, 1014, 0, -1, "[141, 10, 10]", "12.5"
209, 1014, 1, 1, "[141,100, 100]", "12.5"
210, 1014, 1, 1, "[8000, 1, 30, 30]", "12.5"
211, 1014, 1, 2, "[8000, 2, 5, 5]", "12.5"
212, 1014, 1, 2, "[102, 1000, 1000]", "12.5"
213, 1014, 1, -1, "[101, 500, 500]", "12.5"
214, 1014, 1, -1, "[141, 5, 5]", "12.5"
215, 1014, 1, -1, "[103, 15, 15]", "12.5"
216, 1014, 1, -1, "[141, 10, 10]", "12.5"
217, 1014, 2, 1, "[141,100, 100]", "12.5"
218, 1014, 2, 1, "[8000, 1, 30, 30]", "12.5"
219, 1014, 2, 2, "[8000, 2, 5, 5]", "12.5"
220, 1014, 2, 2, "[102, 1000, 1000]", "12.5"
221, 1014, 2, -1, "[101, 500, 500]", "12.5"
222, 1014, 2, -1, "[141, 5, 5]", "12.5"
223, 1014, 2, -1, "[103, 15, 15]", "12.5"
224, 1014, 2, -1, "[141, 10, 10]", "12.5"
225, 1014, 3, 1, "[141,100, 100]", "12.5"
226, 1014, 3, 1, "[8000, 1, 30, 30]", "12.5"
227, 1014, 3, 2, "[8000, 2, 5, 5]", "12.5"
228, 1014, 3, 2, "[102, 1000, 1000]", "12.5"
229, 1014, 3, -1, "[101, 500, 500]", "12.5"
230, 1014, 3, -1, "[141, 5, 5]", "12.5"
231, 1014, 3, -1, "[103, 15, 15]", "12.5"
232, 1014, 3, -1, "[141, 10, 10]", "12.5"
233, 1014, 4, 1, "[141,100, 100]", "12.5"
234, 1014, 4, 1, "[8000, 1, 30, 30]", "12.5"
235, 1014, 4, 2, "[8000, 2, 5, 5]", "12.5"
236, 1014, 4, 2, "[102, 1000, 1000]", "12.5"
237, 1014, 4, -1, "[101, 500, 500]", "12.5"
238, 1014, 4, -1, "[141, 5, 5]", "12.5"
239, 1014, 4, -1, "[103, 15, 15]", "12.5"
240, 1014, 4, -1, "[141, 10, 10]", "12.5"
