int, EGradeType, string, string, float, float, float, TableReward, string
82, "Epic", "fish_name_82", "fish_desc_82", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_22"
83, "Epic", "fish_name_83", "fish_desc_83", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_23"
84, "Epic", "fish_name_84", "fish_desc_84", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_24"
85, "Epic", "fish_name_85", "fish_desc_85", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_25"
86, "Legend", "fish_name_86", "fish_desc_86", 1, 9, 50, "125, 250, 250", "XmasFish_legend_01"
87, "Legend", "fish_name_87", "fish_desc_87", 1, 9, 50, "125, 250, 250", "XmasFish_legend_02"
88, "Legend", "fish_name_88", "fish_desc_88", 1, 9, 50, "125, 250, 250", "XmasFish_legend_03"
89, "Legend", "fish_name_89", "fish_desc_89", 1, 9, 50, "125, 250, 250", "XmasFish_legend_04"
90, "Legend", "fish_name_90", "fish_desc_90", 1, 9, 50, "125, 250, 250", "XmasFish_legend_05"
91, "Legend", "fish_name_91", "fish_desc_91", 1, 9, 50, "125, 250, 250", "XmasFish_legend_06"
92, "Legend", "fish_name_92", "fish_desc_92", 1, 9, 50, "125, 250, 250", "XmasFish_legend_07"
93, "Legend", "fish_name_93", "fish_desc_93", 1, 9, 50, "125, 250, 250", "XmasFish_legend_08"
94, "Legend", "fish_name_94", "fish_desc_94", 1, 9, 50, "125, 250, 250", "XmasFish_legend_09"
95, "Legend", "fish_name_95", "fish_desc_95", 1, 9, 50, "125, 250, 250", "XmasFish_legend_10"
96, "Legend", "fish_name_96", "fish_desc_96", 1, 9, 50, "125, 250, 250", "XmasFish_legend_11"
97, "Legend", "fish_name_97", "fish_desc_97", 1, 9, 50, "125, 250, 250", "XmasFish_legend_12"
98, "Mythical", "fish_name_98", "fish_desc_98", 1, 25, 100, "125, 500, 500", "XmasFish_myth_01"
99, "Mythical", "fish_name_99", "fish_desc_99", 1, 25, 100, "125, 500, 500", "XmasFish_myth_02"
100, "Mythical", "fish_name_100", "fish_desc_100", 1, 25, 100, "125, 500, 500", "XmasFish_myth_03"
