int, int, bool, bool, bool, System.DateTime, System.DateTime, System.DateTime, System.DateTime, int, int, int[]
33, 32, "FALSE", "TRUE", "TRUE", "2026-05-26 0:00:00", "2026-06-08 0:00:00", "2026-06-09 0:00:00", "2026-06-09 0:00:00", 3, 33, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
34, 33, "FALSE", "TRUE", "TRUE", "2026-06-09 0:00:00", "2026-06-22 0:00:00", "2026-06-23 0:00:00", "2026-06-23 0:00:00", 3, 34, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
35, 34, "FALSE", "TRUE", "TRUE", "2026-06-23 0:00:00", "2026-07-06 0:00:00", "2026-07-07 0:00:00", "2026-07-07 0:00:00", 3, 35, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
36, 35, "FALSE", "TRUE", "TRUE", "2026-07-07 0:00:00", "2026-07-20 0:00:00", "2026-07-21 0:00:00", "2026-07-21 0:00:00", 3, 36, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
37, 36, "FALSE", "TRUE", "TRUE", "2026-07-21 0:00:00", "2026-08-03 0:00:00", "2026-08-04 0:00:00", "2026-08-04 0:00:00", 3, 37, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
38, 37, "FALSE", "TRUE", "TRUE", "2026-08-04 0:00:00", "2026-08-17 0:00:00", "2026-08-18 0:00:00", "2026-08-18 0:00:00", 3, 38, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
39, 38, "FALSE", "TRUE", "TRUE", "2026-08-18 0:00:00", "2026-08-31 0:00:00", "2026-09-01 0:00:00", "2026-09-01 0:00:00", 3, 39, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
40, 39, "FALSE", "TRUE", "TRUE", "2026-09-01 0:00:00", "2026-09-14 0:00:00", "2026-09-15 0:00:00", "2026-09-15 0:00:00", 3, 40, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
41, 40, "FALSE", "TRUE", "TRUE", "2026-09-15 0:00:00", "2026-09-28 0:00:00", "2026-09-29 0:00:00", "2026-09-29 0:00:00", 3, 41, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
42, 41, "FALSE", "TRUE", "TRUE", "2026-09-29 0:00:00", "2026-10-12 0:00:00", "2026-10-13 0:00:00", "2026-10-13 0:00:00", 3, 42, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
43, 42, "FALSE", "TRUE", "TRUE", "2026-10-13 0:00:00", "2026-10-26 0:00:00", "2026-10-27 0:00:00", "2026-10-27 0:00:00", 3, 43, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
44, 43, "FALSE", "TRUE", "TRUE", "2026-10-27 0:00:00", "2026-11-09 0:00:00", "2026-11-10 0:00:00", "2026-11-10 0:00:00", 3, 44, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
45, 44, "FALSE", "TRUE", "TRUE", "2026-11-10 0:00:00", "2026-11-23 0:00:00", "2026-11-24 0:00:00", "2026-11-24 0:00:00", 3, 45, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
46, 45, "FALSE", "TRUE", "TRUE", "2026-11-24 0:00:00", "2026-12-07 0:00:00", "2026-12-08 0:00:00", "2026-12-08 0:00:00", 3, 46, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
47, 46, "FALSE", "TRUE", "TRUE", "2026-12-08 0:00:00", "2026-12-21 0:00:00", "2026-12-22 0:00:00", "2026-12-22 0:00:00", 3, 47, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
48, 47, "FALSE", "TRUE", "TRUE", "2026-12-22 0:00:00", "2027-01-04 0:00:00", "2027-01-05 0:00:00", "2027-01-05 0:00:00", 3, 48, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
49, 48, "FALSE", "TRUE", "TRUE", "2027-01-05 0:00:00", "2027-01-18 0:00:00", "2027-01-19 0:00:00", "2027-01-19 0:00:00", 3, 49, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
50, 49, "FALSE", "TRUE", "TRUE", "2027-01-19 0:00:00", "2027-02-01 0:00:00", "2027-02-02 0:00:00", "2027-02-02 0:00:00", 3, 50, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
51, 50, "FALSE", "TRUE", "TRUE", "2027-02-02 0:00:00", "2027-02-15 0:00:00", "2027-02-16 0:00:00", "2027-02-16 0:00:00", 3, 51, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
52, 51, "FALSE", "TRUE", "TRUE", "2027-02-16 0:00:00", "2027-03-01 0:00:00", "2027-03-02 0:00:00", "2027-03-02 0:00:00", 3, 52, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
53, 52, "FALSE", "TRUE", "TRUE", "2027-03-02 0:00:00", "2027-03-15 0:00:00", "2027-03-16 0:00:00", "2027-03-16 0:00:00", 3, 53, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
54, 53, "FALSE", "TRUE", "TRUE", "2027-03-16 0:00:00", "2027-03-29 0:00:00", "2027-03-30 0:00:00", "2027-03-30 0:00:00", 3, 54, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
55, 54, "FALSE", "TRUE", "TRUE", "2027-03-30 0:00:00", "2027-04-12 0:00:00", "2027-04-13 0:00:00", "2027-04-13 0:00:00", 3, 55, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
56, 55, "FALSE", "TRUE", "TRUE", "2027-04-13 0:00:00", "2027-04-26 0:00:00", "2027-04-27 0:00:00", "2027-04-27 0:00:00", 3, 56, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
57, 56, "FALSE", "TRUE", "TRUE", "2027-04-27 0:00:00", "2027-05-10 0:00:00", "2027-05-11 0:00:00", "2027-05-11 0:00:00", 3, 57, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
58, 57, "FALSE", "TRUE", "TRUE", "2027-05-11 0:00:00", "2027-05-24 0:00:00", "2027-05-25 0:00:00", "2027-05-25 0:00:00", 3, 58, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
59, 58, "FALSE", "TRUE", "TRUE", "2027-05-25 0:00:00", "2027-06-07 0:00:00", "2027-06-08 0:00:00", "2027-06-08 0:00:00", 3, 59, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
60, 59, "FALSE", "TRUE", "TRUE", "2027-06-08 0:00:00", "2027-06-21 0:00:00", "2027-06-22 0:00:00", "2027-06-22 0:00:00", 3, 60, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
61, 60, "FALSE", "TRUE", "TRUE", "2027-06-22 0:00:00", "2027-07-05 0:00:00", "2027-07-06 0:00:00", "2027-07-06 0:00:00", 3, 61, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
62, 61, "FALSE", "TRUE", "TRUE", "2027-07-06 0:00:00", "2027-07-19 0:00:00", "2027-07-20 0:00:00", "2027-07-20 0:00:00", 3, 62, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
63, 62, "FALSE", "TRUE", "TRUE", "2027-07-20 0:00:00", "2027-08-02 0:00:00", "2027-08-03 0:00:00", "2027-08-03 0:00:00", 3, 63, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
64, 63, "FALSE", "TRUE", "TRUE", "2027-08-03 0:00:00", "2027-08-16 0:00:00", "2027-08-17 0:00:00", "2027-08-17 0:00:00", 3, 64, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
65, 64, "FALSE", "TRUE", "TRUE", "2027-08-17 0:00:00", "2027-08-30 0:00:00", "2027-08-31 0:00:00", "2027-08-31 0:00:00", 3, 65, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
66, 65, "FALSE", "TRUE", "TRUE", "2027-08-31 0:00:00", "2027-09-13 0:00:00", "2027-09-14 0:00:00", "2027-09-14 0:00:00", 3, 66, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
67, 66, "FALSE", "TRUE", "TRUE", "2027-09-14 0:00:00", "2027-09-27 0:00:00", "2027-09-28 0:00:00", "2027-09-28 0:00:00", 3, 67, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
68, 67, "FALSE", "TRUE", "TRUE", "2027-09-28 0:00:00", "2027-10-11 0:00:00", "2027-10-12 0:00:00", "2027-10-12 0:00:00", 3, 68, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
69, 68, "FALSE", "TRUE", "TRUE", "2027-10-12 0:00:00", "2027-10-25 0:00:00", "2027-10-26 0:00:00", "2027-10-26 0:00:00", 3, 69, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
70, 69, "FALSE", "TRUE", "TRUE", "2027-10-26 0:00:00", "2027-11-08 0:00:00", "2027-11-09 0:00:00", "2027-11-09 0:00:00", 3, 70, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
71, 70, "FALSE", "TRUE", "TRUE", "2027-11-09 0:00:00", "2027-11-22 0:00:00", "2027-11-23 0:00:00", "2027-11-23 0:00:00", 3, 71, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
72, 71, "FALSE", "TRUE", "TRUE", "2027-11-23 0:00:00", "2027-12-06 0:00:00", "2027-12-07 0:00:00", "2027-12-07 0:00:00", 3, 72, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
73, 72, "FALSE", "TRUE", "TRUE", "2027-12-07 0:00:00", "2027-12-20 0:00:00", "2027-12-21 0:00:00", "2027-12-21 0:00:00", 3, 73, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
74, 73, "FALSE", "TRUE", "TRUE", "2027-12-21 0:00:00", "2028-01-03 0:00:00", "2028-01-04 0:00:00", "2028-01-04 0:00:00", 3, 74, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
75, 74, "FALSE", "TRUE", "TRUE", "2028-01-04 0:00:00", "2028-01-17 0:00:00", "2028-01-18 0:00:00", "2028-01-18 0:00:00", 3, 75, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
76, 75, "FALSE", "TRUE", "TRUE", "2028-01-18 0:00:00", "2028-01-31 0:00:00", "2028-02-01 0:00:00", "2028-02-01 0:00:00", 3, 76, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
77, 76, "FALSE", "TRUE", "TRUE", "2028-02-01 0:00:00", "2028-02-14 0:00:00", "2028-02-15 0:00:00", "2028-02-15 0:00:00", 3, 77, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
78, 77, "FALSE", "TRUE", "TRUE", "2028-02-15 0:00:00", "2028-02-28 0:00:00", "2028-02-29 0:00:00", "2028-02-29 0:00:00", 3, 78, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
79, 78, "FALSE", "TRUE", "TRUE", "2028-02-29 0:00:00", "2028-03-13 0:00:00", "2028-03-14 0:00:00", "2028-03-14 0:00:00", 3, 79, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
80, 79, "FALSE", "TRUE", "TRUE", "2028-03-14 0:00:00", "2028-03-27 0:00:00", "2028-03-28 0:00:00", "2028-03-28 0:00:00", 3, 80, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
81, 80, "FALSE", "TRUE", "TRUE", "2028-03-28 0:00:00", "2028-04-10 0:00:00", "2028-04-11 0:00:00", "2028-04-11 0:00:00", 3, 81, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
82, 81, "FALSE", "TRUE", "TRUE", "2028-04-11 0:00:00", "2028-04-24 0:00:00", "2028-04-25 0:00:00", "2028-04-25 0:00:00", 3, 82, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
83, 82, "FALSE", "TRUE", "TRUE", "2028-04-25 0:00:00", "2028-05-08 0:00:00", "2028-05-09 0:00:00", "2028-05-09 0:00:00", 3, 83, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
84, 83, "FALSE", "TRUE", "TRUE", "2028-05-09 0:00:00", "2028-05-22 0:00:00", "2028-05-23 0:00:00", "2028-05-23 0:00:00", 3, 84, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
85, 84, "FALSE", "TRUE", "TRUE", "2028-05-23 0:00:00", "2028-06-05 0:00:00", "2028-06-06 0:00:00", "2028-06-06 0:00:00", 3, 85, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
86, 85, "FALSE", "TRUE", "TRUE", "2028-06-06 0:00:00", "2028-06-19 0:00:00", "2028-06-20 0:00:00", "2028-06-20 0:00:00", 3, 86, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
87, 86, "FALSE", "TRUE", "TRUE", "2028-06-20 0:00:00", "2028-07-03 0:00:00", "2028-07-04 0:00:00", "2028-07-04 0:00:00", 3, 87, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
88, 87, "FALSE", "TRUE", "TRUE", "2028-07-04 0:00:00", "2028-07-17 0:00:00", "2028-07-18 0:00:00", "2028-07-18 0:00:00", 3, 88, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
89, 88, "FALSE", "TRUE", "TRUE", "2028-07-18 0:00:00", "2028-07-31 0:00:00", "2028-08-01 0:00:00", "2028-08-01 0:00:00", 3, 89, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
90, 89, "FALSE", "TRUE", "TRUE", "2028-08-01 0:00:00", "2028-08-14 0:00:00", "2028-08-15 0:00:00", "2028-08-15 0:00:00", 3, 90, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
91, 90, "FALSE", "TRUE", "TRUE", "2028-08-15 0:00:00", "2028-08-28 0:00:00", "2028-08-29 0:00:00", "2028-08-29 0:00:00", 3, 91, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
92, 91, "FALSE", "TRUE", "TRUE", "2028-08-29 0:00:00", "2028-09-11 0:00:00", "2028-09-12 0:00:00", "2028-09-12 0:00:00", 3, 92, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
93, 92, "FALSE", "TRUE", "TRUE", "2028-09-12 0:00:00", "2028-09-25 0:00:00", "2028-09-26 0:00:00", "2028-09-26 0:00:00", 3, 93, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
94, 93, "FALSE", "TRUE", "TRUE", "2028-09-26 0:00:00", "2028-10-09 0:00:00", "2028-10-10 0:00:00", "2028-10-10 0:00:00", 3, 94, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
95, 94, "FALSE", "TRUE", "TRUE", "2028-10-10 0:00:00", "2028-10-23 0:00:00", "2028-10-24 0:00:00", "2028-10-24 0:00:00", 3, 95, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
96, 95, "FALSE", "TRUE", "TRUE", "2028-10-24 0:00:00", "2028-11-06 0:00:00", "2028-11-07 0:00:00", "2028-11-07 0:00:00", 3, 96, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
97, 96, "FALSE", "TRUE", "TRUE", "2028-11-07 0:00:00", "2028-11-20 0:00:00", "2028-11-21 0:00:00", "2028-11-21 0:00:00", 3, 97, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
98, 97, "FALSE", "TRUE", "TRUE", "2028-11-21 0:00:00", "2028-12-04 0:00:00", "2028-12-05 0:00:00", "2028-12-05 0:00:00", 3, 98, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
99, 98, "FALSE", "TRUE", "TRUE", "2028-12-05 0:00:00", "2028-12-18 0:00:00", "2028-12-19 0:00:00", "2028-12-19 0:00:00", 3, 99, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
100, 99, "FALSE", "TRUE", "TRUE", "2028-12-19 0:00:00", "2029-01-01 0:00:00", "2029-01-02 0:00:00", "2029-01-02 0:00:00", 3, 100, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
