int, int, int, int[], long, FP, int, int, int, int
3060157, 306, 156, 3060006, 1460000, 0, 1000, 2, 0, 0
3060158, 306, 157, 3060006, 1470000, 0, 1000, 2, 0, 0
3060159, 306, 158, 3060006, 1480000, 0, 1000, 2, 0, 0
3060160, 306, 159, 3060006, 1490000, 0, 1000, 2, 0, 0
3060161, 306, 160, 3060006, 1500000, 0, 1000, 2, 0, 0
3060162, 306, 161, 3060006, 1510000, 0, 1000, 2, 0, 0
3060163, 306, 162, 3060006, 1520000, 0, 1000, 2, 0, 0
3060164, 306, 163, 3060006, 1530000, 0, 1000, 2, 0, 0
3060165, 306, 164, 3060006, 1540000, 0, 1000, 2, 0, 0
3060166, 306, 165, 3060006, 1550000, 0, 1000, 2, 0, 0
3060167, 306, 166, 3060006, 1560000, 0, 1000, 2, 0, 0
3060168, 306, 167, 3060006, 1570000, 0, 1000, 2, 0, 0
3060169, 306, 168, 3060006, 1580000, 0, 1000, 2, 0, 0
3060170, 306, 169, 3060006, 1590000, 0, 1000, 2, 0, 0
3060171, 306, 170, 3060006, 1600000, 0, 1000, 2, 0, 0
3060172, 306, 171, 3060006, 1610000, 0, 1000, 2, 0, 0
3060173, 306, 172, 3060006, 1620000, 0, 1000, 2, 0, 0
3060174, 306, 173, 3060006, 1630000, 0, 1000, 2, 0, 0
3060175, 306, 174, 3060006, 1640000, 0, 1000, 2, 0, 0
3060176, 306, 175, 3060006, 1650000, 0, 1000, 2, 0, 0
3060177, 306, 176, 3060006, 1660000, 0, 1000, 2, 0, 0
3060178, 306, 177, 3060006, 1670000, 0, 1000, 2, 0, 0
3060179, 306, 178, 3060006, 1680000, 0, 1000, 2, 0, 0
3060180, 306, 179, 3060006, 1690000, 0, 1000, 2, 0, 0
3060181, 306, 180, 3060006, 1700000, 0, 1000, 2, 0, 0
3060182, 306, 181, 3060006, 1710000, 0, 1000, 2, 0, 0
3060183, 306, 182, 3060006, 1720000, 0, 1000, 2, 0, 0
3060184, 306, 183, 3060006, 1730000, 0, 1000, 2, 0, 0
3060185, 306, 184, 3060006, 1740000, 0, 1000, 2, 0, 0
3060186, 306, 185, 3060006, 1750000, 0, 1000, 2, 0, 0
3060187, 306, 186, 3060006, 1760000, 0, 1000, 2, 0, 0
3060188, 306, 187, 3060006, 1770000, 0, 1000, 2, 0, 0
3060189, 306, 188, 3060006, 1780000, 0, 1000, 2, 0, 0
3060190, 306, 189, 3060006, 1790000, 0, 1000, 2, 0, 0
3060191, 306, 190, 3060006, 1800000, 0, 1000, 2, 0, 0
3060192, 306, 191, 3060006, 1810000, 0, 1000, 2, 0, 0
3060193, 306, 192, 3060006, 1820000, 0, 1000, 2, 0, 0
3060194, 306, 193, 3060006, 1830000, 0, 1000, 2, 0, 0
3060195, 306, 194, 3060006, 1840000, 0, 1000, 2, 0, 0
3060196, 306, 195, 3060006, 1850000, 0, 1000, 2, 0, 0
3060197, 306, 196, 3060006, 1860000, 0, 1000, 2, 0, 0
3060198, 306, 197, 3060006, 1870000, 0, 1000, 2, 0, 0
3060199, 306, 198, 3060006, 1880000, 0, 1000, 2, 0, 0
3060200, 306, 199, 3060006, 1890000, 0, 1000, 2, 0, 0
3060201, 306, 200, 3060006, 1900000, 0, 1000, 2, 0, 0
3060202, 306, 201, 3060006, 1910000, 0, 1000, 2, 0, 0
3060203, 306, 202, 3060006, 1920000, 0, 1000, 2, 0, 0
3060204, 306, 203, 3060006, 1930000, 0, 1000, 2, 0, 0
3060205, 306, 204, 3060006, 1940000, 0, 1000, 2, 0, 0
3060206, 306, 205, 3060006, 1950000, 0, 1000, 2, 0, 0
3060207, 306, 206, 3060006, 1960000, 0, 1000, 2, 0, 0
3060208, 306, 207, 3060006, 1970000, 0, 1000, 2, 0, 0
3060209, 306, 208, 3060006, 1980000, 0, 1000, 2, 0, 0
3060210, 306, 209, 3060006, 1990000, 0, 1000, 2, 0, 0
3060211, 306, 210, 3060006, 2000000, 0, 1000, 2, 0, 0
3060212, 306, 211, 3060006, 2010000, 0, 1000, 2, 0, 0
3060213, 306, 212, 3060006, 2020000, 0, 1000, 2, 0, 0
3060214, 306, 213, 3060006, 2030000, 0, 1000, 2, 0, 0
3060215, 306, 214, 3060006, 2040000, 0, 1000, 2, 0, 0
3060216, 306, 215, 3060006, 2050000, 0, 1000, 2, 0, 0
3060217, 306, 216, 3060006, 2060000, 0, 1000, 2, 0, 0
3060218, 306, 217, 3060006, 2070000, 0, 1000, 2, 0, 0
3060219, 306, 218, 3060006, 2080000, 0, 1000, 2, 0, 0
3060220, 306, 219, 3060006, 2090000, 0, 1000, 2, 0, 0
3060221, 306, 220, 3060006, 2100000, 0, 1000, 2, 0, 0
3060222, 306, 221, 3060006, 2110000, 0, 1000, 2, 0, 0
3060223, 306, 222, 3060006, 2120000, 0, 1000, 2, 0, 0
3060224, 306, 223, 3060006, 2130000, 0, 1000, 2, 0, 0
3060225, 306, 224, 3060006, 2140000, 0, 1000, 2, 0, 0
3060226, 306, 225, 3060006, 2150000, 0, 1000, 2, 0, 0
3060227, 306, 226, 3060006, 2160000, 0, 1000, 2, 0, 0
3060228, 306, 227, 3060006, 2170000, 0, 1000, 2, 0, 0
3060229, 306, 228, 3060006, 2180000, 0, 1000, 2, 0, 0
3060230, 306, 229, 3060006, 2190000, 0, 1000, 2, 0, 0
3060231, 306, 230, 3060006, 2200000, 0, 1000, 2, 0, 0
3060232, 306, 231, 3060006, 2210000, 0, 1000, 2, 0, 0
3060233, 306, 232, 3060006, 2220000, 0, 1000, 2, 0, 0
3060234, 306, 233, 3060006, 2230000, 0, 1000, 2, 0, 0
3060235, 306, 234, 3060006, 2240000, 0, 1000, 2, 0, 0
3060236, 306, 235, 3060006, 2250000, 0, 1000, 2, 0, 0
3060237, 306, 236, 3060006, 2260000, 0, 1000, 2, 0, 0
3060238, 306, 237, 3060006, 2270000, 0, 1000, 2, 0, 0
3060239, 306, 238, 3060006, 2280000, 0, 1000, 2, 0, 0
3060240, 306, 239, 3060006, 2290000, 0, 1000, 2, 0, 0
3060241, 306, 240, 3060006, 2300000, 0, 1000, 2, 0, 0
3060242, 306, 241, 3060006, 2310000, 0, 1000, 2, 0, 0
3060243, 306, 242, 3060006, 2320000, 0, 1000, 2, 0, 0
3060244, 306, 243, 3060006, 2330000, 0, 1000, 2, 0, 0
3060245, 306, 244, 3060006, 2340000, 0, 1000, 2, 0, 0
3060246, 306, 245, 3060006, 2350000, 0, 1000, 2, 0, 0
3060247, 306, 246, 3060006, 2360000, 0, 1000, 2, 0, 0
3060248, 306, 247, 3060006, 2370000, 0, 1000, 2, 0, 0
3060249, 306, 248, 3060006, 2380000, 0, 1000, 2, 0, 0
3060250, 306, 249, 3060006, 2390000, 0, 1000, 2, 0, 0
3060251, 306, 250, 3060006, 2400000, 0, 1000, 2, 0, 0
3060252, 306, 251, 3060006, 2410000, 0, 1000, 2, 0, 0
3060253, 306, 252, 3060006, 2420000, 0, 1000, 2, 0, 0
3060254, 306, 253, 3060006, 2430000, 0, 1000, 2, 0, 0
3060255, 306, 254, 3060006, 2440000, 0, 1000, 2, 0, 0
3060256, 306, 255, 3060006, 2450000, 0, 1000, 2, 0, 0
3060257, 306, 256, 3060006, 2460000, 0, 1000, 2, 0, 0
3060258, 306, 257, 3060006, 2470000, 0, 1000, 2, 0, 0
3060259, 306, 258, 3060006, 2480000, 0, 1000, 2, 0, 0
3060260, 306, 259, 3060006, 2490000, 0, 1000, 2, 0, 0
3060261, 306, 260, 3060006, 2500000, 0, 1000, 2, 0, 0
3060262, 306, 261, 3060006, 2510000, 0, 1000, 2, 0, 0
3060263, 306, 262, 3060006, 2520000, 0, 1000, 2, 0, 0
3060264, 306, 263, 3060006, 2530000, 0, 1000, 2, 0, 0
3060265, 306, 264, 3060006, 2540000, 0, 1000, 2, 0, 0
3060266, 306, 265, 3060006, 2550000, 0, 1000, 2, 0, 0
3060267, 306, 266, 3060006, 2560000, 0, 1000, 2, 0, 0
3060268, 306, 267, 3060006, 2570000, 0, 1000, 2, 0, 0
3060269, 306, 268, 3060006, 2580000, 0, 1000, 2, 0, 0
3060270, 306, 269, 3060006, 2590000, 0, 1000, 2, 0, 0
3060271, 306, 270, 3060006, 2600000, 0, 1000, 2, 0, 0
3060272, 306, 271, 3060006, 2610000, 0, 1000, 2, 0, 0
3060273, 306, 272, 3060006, 2620000, 0, 1000, 2, 0, 0
3060274, 306, 273, 3060006, 2630000, 0, 1000, 2, 0, 0
3060275, 306, 274, 3060006, 2640000, 0, 1000, 2, 0, 0
3060276, 306, 275, 3060006, 2650000, 0, 1000, 2, 0, 0
3060277, 306, 276, 3060006, 2660000, 0, 1000, 2, 0, 0
3060278, 306, 277, 3060006, 2670000, 0, 1000, 2, 0, 0
3060279, 306, 278, 3060006, 2680000, 0, 1000, 2, 0, 0
3060280, 306, 279, 3060006, 2690000, 0, 1000, 2, 0, 0
3060281, 306, 280, 3060006, 2700000, 0, 1000, 2, 0, 0
3060282, 306, 281, 3060006, 2710000, 0, 1000, 2, 0, 0
3060283, 306, 282, 3060006, 2720000, 0, 1000, 2, 0, 0
3060284, 306, 283, 3060006, 2730000, 0, 1000, 2, 0, 0
3060285, 306, 284, 3060006, 2740000, 0, 1000, 2, 0, 0
3060286, 306, 285, 3060006, 2750000, 0, 1000, 2, 0, 0
3060287, 306, 286, 3060006, 2760000, 0, 1000, 2, 0, 0
3060288, 306, 287, 3060006, 2770000, 0, 1000, 2, 0, 0
3060289, 306, 288, 3060006, 2780000, 0, 1000, 2, 0, 0
3060290, 306, 289, 3060006, 2790000, 0, 1000, 2, 0, 0
3060291, 306, 290, 3060006, 2800000, 0, 1000, 2, 0, 0
3060292, 306, 291, 3060006, 2810000, 0, 1000, 2, 0, 0
3060293, 306, 292, 3060006, 2820000, 0, 1000, 2, 0, 0
3060294, 306, 293, 3060006, 2830000, 0, 1000, 2, 0, 0
3060295, 306, 294, 3060006, 2840000, 0, 1000, 2, 0, 0
3060296, 306, 295, 3060006, 2850000, 0, 1000, 2, 0, 0
3060297, 306, 296, 3060006, 2860000, 0, 1000, 2, 0, 0
3060298, 306, 297, 3060006, 2870000, 0, 1000, 2, 0, 0
3060299, 306, 298, 3060006, 2880000, 0, 1000, 2, 0, 0
3060300, 306, 299, 3060006, 2890000, 0, 1000, 2, 0, 0
3060301, 306, 300, 3060006, 2900000, 0, 1000, 2, 0, 0
3060302, 306, 301, 3060006, 2910000, 0, 1000, 2, 0, 0
3060303, 306, 302, 3060006, 2920000, 0, 1000, 2, 0, 0
3060304, 306, 303, 3060006, 2930000, 0, 1000, 2, 0, 0
3060305, 306, 304, 3060006, 2940000, 0, 1000, 2, 0, 0
3060306, 306, 305, 3060006, 2950000, 0, 1000, 2, 0, 0
3060307, 306, 306, 3060006, 2960000, 0, 1000, 2, 0, 0
3060308, 306, 307, 3060006, 2970000, 0, 1000, 2, 0, 0
3060309, 306, 308, 3060006, 2980000, 0, 1000, 2, 0, 0
3060310, 306, 309, 3060006, 2990000, 0, 1000, 2, 0, 0
3060311, 306, 310, 3060006, 3000000, 0, 1000, 2, 0, 0
3060312, 306, 311, 3060006, 3010000, 0, 1000, 2, 0, 0
3060313, 306, 312, 3060006, 3020000, 0, 1000, 2, 0, 0
3060314, 306, 313, 3060006, 3030000, 0, 1000, 2, 0, 0
3060315, 306, 314, 3060006, 3040000, 0, 1000, 2, 0, 0
3060316, 306, 315, 3060006, 3050000, 0, 1000, 2, 0, 0
3060317, 306, 316, 3060006, 3060000, 0, 1000, 2, 0, 0
3060318, 306, 317, 3060006, 3070000, 0, 1000, 2, 0, 0
3060319, 306, 318, 3060006, 3080000, 0, 1000, 2, 0, 0
3060320, 306, 319, 3060006, 3090000, 0, 1000, 2, 0, 0
3060321, 306, 320, 3060006, 3100000, 0, 1000, 2, 0, 0
3060322, 306, 321, 3060006, 3110000, 0, 1000, 2, 0, 0
3060323, 306, 322, 3060006, 3120000, 0, 1000, 2, 0, 0
3060324, 306, 323, 3060006, 3130000, 0, 1000, 2, 0, 0
3060325, 306, 324, 3060006, 3140000, 0, 1000, 2, 0, 0
3060326, 306, 325, 3060006, 3150000, 0, 1000, 2, 0, 0
3060327, 306, 326, 3060006, 3160000, 0, 1000, 2, 0, 0
3060328, 306, 327, 3060006, 3170000, 0, 1000, 2, 0, 0
3060329, 306, 328, 3060006, 3180000, 0, 1000, 2, 0, 0
3060330, 306, 329, 3060006, 3190000, 0, 1000, 2, 0, 0
3060331, 306, 330, 3060006, 3200000, 0, 1000, 2, 0, 0
3060332, 306, 331, 3060006, 3210000, 0, 1000, 2, 0, 0
3060333, 306, 332, 3060006, 3220000, 0, 1000, 2, 0, 0
3060334, 306, 333, 3060006, 3230000, 0, 1000, 2, 0, 0
3060335, 306, 334, 3060006, 3240000, 0, 1000, 2, 0, 0
3060336, 306, 335, 3060006, 3250000, 0, 1000, 2, 0, 0
3060337, 306, 336, 3060006, 3260000, 0, 1000, 2, 0, 0
3060338, 306, 337, 3060006, 3270000, 0, 1000, 2, 0, 0
3060339, 306, 338, 3060006, 3280000, 0, 1000, 2, 0, 0
3060340, 306, 339, 3060006, 3290000, 0, 1000, 2, 0, 0
3060341, 306, 340, 3060006, 3300000, 0, 1000, 2, 0, 0
3060342, 306, 341, 3060006, 3310000, 0, 1000, 2, 0, 0
3060343, 306, 342, 3060006, 3320000, 0, 1000, 2, 0, 0
3060344, 306, 343, 3060006, 3330000, 0, 1000, 2, 0, 0
3060345, 306, 344, 3060006, 3340000, 0, 1000, 2, 0, 0
3060346, 306, 345, 3060006, 3350000, 0, 1000, 2, 0, 0
3060347, 306, 346, 3060006, 3360000, 0, 1000, 2, 0, 0
3060348, 306, 347, 3060006, 3370000, 0, 1000, 2, 0, 0
3060349, 306, 348, 3060006, 3380000, 0, 1000, 2, 0, 0
3060350, 306, 349, 3060006, 3390000, 0, 1000, 2, 0, 0
3060351, 306, 350, 3060006, 3400000, 0, 1000, 2, 0, 0
3060352, 306, 351, 3060006, 3410000, 0, 1000, 2, 0, 0
3060353, 306, 352, 3060006, 3420000, 0, 1000, 2, 0, 0
3060354, 306, 353, 3060006, 3430000, 0, 1000, 2, 0, 0
3060355, 306, 354, 3060006, 3440000, 0, 1000, 2, 0, 0
3060356, 306, 355, 3060006, 3450000, 0, 1000, 2, 0, 0
3060357, 306, 356, 3060006, 3460000, 0, 1000, 2, 0, 0
3060358, 306, 357, 3060006, 3470000, 0, 1000, 2, 0, 0
3060359, 306, 358, 3060006, 3480000, 0, 1000, 2, 0, 0
3060360, 306, 359, 3060006, 3490000, 0, 1000, 2, 0, 0
3060361, 306, 360, 3060006, 3500000, 0, 1000, 2, 0, 0
3060362, 306, 361, 3060006, 3510000, 0, 1000, 2, 0, 0
3060363, 306, 362, 3060006, 3520000, 0, 1000, 2, 0, 0
3060364, 306, 363, 3060006, 3530000, 0, 1000, 2, 0, 0
3060365, 306, 364, 3060006, 3540000, 0, 1000, 2, 0, 0
3060366, 306, 365, 3060006, 3550000, 0, 1000, 2, 0, 0
3060367, 306, 366, 3060006, 3560000, 0, 1000, 2, 0, 0
3060368, 306, 367, 3060006, 3570000, 0, 1000, 2, 0, 0
3060369, 306, 368, 3060006, 3580000, 0, 1000, 2, 0, 0
3060370, 306, 369, 3060006, 3590000, 0, 1000, 2, 0, 0
3060371, 306, 370, 3060006, 3600000, 0, 1000, 2, 0, 0
3060372, 306, 371, 3060006, 3610000, 0, 1000, 2, 0, 0
3060373, 306, 372, 3060006, 3620000, 0, 1000, 2, 0, 0
3060374, 306, 373, 3060006, 3630000, 0, 1000, 2, 0, 0
3060375, 306, 374, 3060006, 3640000, 0, 1000, 2, 0, 0
3060376, 306, 375, 3060006, 3650000, 0, 1000, 2, 0, 0
3060377, 306, 376, 3060006, 3660000, 0, 1000, 2, 0, 0
3060378, 306, 377, 3060006, 3670000, 0, 1000, 2, 0, 0
3060379, 306, 378, 3060006, 3680000, 0, 1000, 2, 0, 0
3060380, 306, 379, 3060006, 3690000, 0, 1000, 2, 0, 0
3060381, 306, 380, 3060006, 3700000, 0, 1000, 2, 0, 0
3060382, 306, 381, 3060006, 3710000, 0, 1000, 2, 0, 0
3060383, 306, 382, 3060006, 3720000, 0, 1000, 2, 0, 0
3060384, 306, 383, 3060006, 3730000, 0, 1000, 2, 0, 0
3060385, 306, 384, 3060006, 3740000, 0, 1000, 2, 0, 0
3060386, 306, 385, 3060006, 3750000, 0, 1000, 2, 0, 0
3060387, 306, 386, 3060006, 3760000, 0, 1000, 2, 0, 0
3060388, 306, 387, 3060006, 3770000, 0, 1000, 2, 0, 0
