int, int, int, float, bool, int[], int[], int, EGradeType, EBuffCardType, EBuffCardActivateType, string, string, int, int, FP[], string
14, 14, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_14", "desc_buffcard_14", "", "", 5, "InGame/icon_buffcard_multishot_bow"
15, 99999, 1, 10, "FALSE", "", "", "", "Legend", "IndividualStat", "Always", "title_buffcard_15", "desc_buffcard_15", "", 19, "0.5", "InGame/icon_buffcard_scope"
16, 16, 1, 10, "FALSE", "", "", "", "Common", "Special", "WaveStart", "title_buffcard_16", "desc_buffcard_16", "", "", "2 | 50", "InGame/icon_buffcard_remains"
17, 17, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_17", "desc_buffcard_17", "", "", 30, "InGame/icon_buffcard_lonelines"
18, 18, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_18", "desc_buffcard_18", "", "", "", "InGame/icon_buffcard_copy_pet"
19, 19, 1, 10, "FALSE", "", "", "", "Common", "Special", "Limited", "title_buffcard_19", "desc_buffcard_19", "", "", "5 | 20", "InGame/icon_buffcard_flashback_2"
20, 20, 1, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_20", "desc_buffcard_20", "", "", 50, "InGame/icon_buffcard_random_upgrade"
21, 21, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_21", "desc_buffcard_21", "", "", "1 |  25 | 25 | 100", "InGame/icon_buffcard_super_hero"
22, 22, 1, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_22", "desc_buffcard_22", "", "", "20 | 10", "InGame/icon_buffcard_newbie_slayer"
23, 23, 1, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_23", "desc_buffcard_23", "", "", "20 | 10", "InGame/icon_buffcard_boss_killer"
24, 24, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_24", "desc_buffcard_24", "", "", 5, "InGame/icon_buffcard_ancient_horn"
25, 25, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_25", "desc_buffcard_25", "", "", "", "InGame/icon_buffcard_oblivion_scroll"
26, 26, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_26", "desc_buffcard_26", "", "", 10, "InGame/icon_buffcard_shiny_scroll"
27, 27, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_27", "desc_buffcard_27", "", "", 10, "InGame/icon_buffcard_data_duplicator"
28, 28, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_28", "desc_buffcard_28", "", "", 30, "InGame/icon_buffcard_golden_ring"
29, 29, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_29", "desc_buffcard_29", "", "", 50, "InGame/icon_buffcard_lucky_coin"
30, 30, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_30", "desc_buffcard_30", "", "", 50, "InGame/icon_buffcard_payback"
31, 31, 1, 10, "FALSE", "", "", "", "Legend", "GlobalStat", "Always", "title_buffcard_31", "desc_buffcard_31", "", 21, 5, "InGame/icon_buffcard_combat_machine"
32, 32, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_32", "desc_buffcard_32", "", "", 3, "InGame/icon_buffcard_mythical_capsule"
33, 33, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_33", "desc_buffcard_33", "", "", 1, "InGame/icon_buffcard_attendance_reward"
34, 34, 1, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_34", "desc_buffcard_34", "", "", 30, "InGame/icon_buffcard_duplicate_golem"
35, 35, 1, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_35", "desc_buffcard_35", "", "", 30, "InGame/icon_buffcard_lucky_fragment"
36, 36, 1, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_36", "desc_buffcard_36", "", "", "", "InGame/icon_buffcard_mythical_garden"
37, 37, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_37", "desc_buffcard_37", "", "", 2, "InGame/icon_buffcard_high performance copier"
38, 38, 1, 10, "FALSE", "", "", "", "Common", "GivePoint", "Instantly", "title_buffcard_38", "desc_buffcard_38", "", "", 3, "InGame/icon_buffcard_refresh"
39, 99999, 1, 10, "FALSE", "", "", "", "Epic", "IndividualStat", "Always", "title_buffcard_39", "desc_buffcard_39", "", 32, 10, "InGame/icon_buffcard_safe_box_2"
40, 40, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_40", "desc_buffcard_40", "", "", 1, "InGame/icon_buffcard_golden_relic"
42, 42, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_42", "desc_buffcard_42", "", "", 1, "InGame/icon_buffcard_call_from_god"
43, 43, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_43", "desc_buffcard_43", "", "", "30 | 30", "InGame/icon_buffcard_rapid_dagger"
44, 44, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_44", "desc_buffcard_44", "", "", 2, "InGame/icon_buffcard_digging_grave"
45, 45, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_45", "desc_buffcard_45", "", "", 30, "InGame/icon_buffcard_i_am_legend"
46, 46, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_46", "desc_buffcard_46", "", "", "", "InGame/icon_buffcard_card_shuffle"
47, 47, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_47", "desc_buffcard_47", "", "", 30, "InGame/icon_buffcard_proficient_fusion"
48, 48, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_48", "desc_buffcard_48", "", "", 5, "InGame/icon_buffcard_best_forge"
50, 50, 99, 10, "FALSE", "", "", "", "Epic", "GivePoint", "Instantly", "title_buffcard_50", "desc_buffcard_50", "", 0, 3000, "InGame/icon_buffcard_coin_supply"
51, 51, 99, 10, "FALSE", "", "", "", "Epic", "GivePoint", "Instantly", "title_buffcard_51", "desc_buffcard_51", "", 1, 10, "InGame/icon_buffcard_luckystone_supply"
69, 69, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_69", "desc_buffcard_69", "", "", "50 | 200 | 100 | 1", "InGame/icon_buffcard_stick_to_basic"
70, 70, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_70", "desc_buffcard_70", "", "", "10 | 60", "InGame/icon_buffcard_big_dice"
71, 71, 1, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_71", "desc_buffcard_71", "", "", 1, "InGame/icon_buffcard_gold_box"
72, 72, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_72", "desc_buffcard_72", "", "", 2, "InGame/icon_buffcard_mystery_box"
73, 73, 1, 10, "FALSE", "", "", "", "Epic", "Special", "SpawnDespawnMyUnit", "title_buffcard_73", "desc_buffcard_73", "", "", 200, "InGame/icon_buffcard_purism"
74, 74, 1, 10, "FALSE", "", "", "", "Epic", "Special", "SpawnDespawnMyUnit", "title_buffcard_74", "desc_buffcard_74", "", "", 50, "InGame/icon_buffcard_immortal_sword"
75, 75, 1, 10, "FALSE", "", "", "", "Epic", "Special", "WaveStart", "title_buffcard_75", "desc_buffcard_75", "", "", "30000 | 5 | 30", "InGame/icon_buffcard_loan"
76, 76, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_76", "desc_buffcard_76", "", "", 10, "InGame/icon_buffcard_blob_cell"
77, 77, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_77", "desc_buffcard_77", "", "", "", "InGame/icon_buffcard_polaroid"
78, 78, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_78", "desc_buffcard_78", "", "", "0 | 100", "InGame/icon_buffcard_talent_defense"
1001, 1001, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_unit_1001", "desc_buffcard_unit_1001", 3007, "", "", "InGame/icon_buffcard_cloning_skill"
1002, 1002, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1002", "desc_buffcard_unit_1002", 3007, "", 50, "InGame/icon_buffcard_ninja_squad"
1003, 1003, 1, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Instantly", "title_buffcard_unit_1003", "desc_buffcard_unit_1003", 5005, "", "", "InGame/icon_buffcard_community"
1004, 1004, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_unit_1004", "desc_buffcard_unit_1004", 5005, "", "", "InGame/icon_buffcard_replication"
1005, 1005, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_unit_1005", "desc_buffcard_unit_1005", 5005, "", "", "InGame/icon_buffcard_amalgamation"
1006, 1006, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_unit_1006", "desc_buffcard_unit_1006", 5108, "", "5 | 20", "InGame/icon_buffcard_incantation"
1007, 1007, 99, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_unit_1007", "desc_buffcard_unit_1007", 5108, "", "", "InGame/icon_buffcard_imp_land"
1008, 1008, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1008", "desc_buffcard_unit_1008", 5011, "", "", "InGame/icon_buffcard_auto hunting"
1009, 1009, 1, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1009", "desc_buffcard_unit_1009", 5011, "", "30 | 1", "InGame/icon_buffcard_explosive_arrow"
1010, 1010, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_unit_1010", "desc_buffcard_unit_1010", 5013, "", 30, "InGame/icon_buffcard_charge"
1011, 1011, 1, 5, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_unit_1011", "desc_buffcard_unit_1011", 5013, "", 200, "InGame/icon_buffcard_infinite_power"
1012, 1012, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_unit_1012", "desc_buffcard_unit_1012", "", "", "20 | 1 | 1.1", "InGame/icon_buffcard_infertile_egg"
1013, 1013, 1, 10, "FALSE", "", "", "", "Common", "Special", "WaveStart", "title_buffcard_unit_1013", "desc_buffcard_unit_1013", "", "", 1, "InGame/icon_buffcard_nest_of_dragons"
1014, 1014, 1, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Always", "title_buffcard_unit_1014", "desc_buffcard_unit_1014", 5007, "", "50 | 3", "InGame/icon_buffcard_gambler"
1016, 1016, 1, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1016", "desc_buffcard_unit_1016", 5017, "", 30, "InGame/icon_buffcard_acceleration"
1017, 1017, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_unit_1017", "desc_buffcard_unit_1017", 5018, "", "-10 | 30", "InGame/icon_buffcard_good_anger_controller"
1018, 1018, 1, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_unit_1018", "desc_buffcard_unit_1018", "", "", "", "InGame/icon_buffcard_go_big_or_go_home"
1019, 1019, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_unit_1019", "desc_buffcard_unit_1019", "", "", 30, "InGame/icon_buffcard_picky_eating"
1020, 1020, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_unit_1020", "desc_buffcard_unit_1020", "", "", 3, "InGame/icon_buffcard_predation"
1021, 1021, 1, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Always", "title_buffcard_unit_1021", "desc_buffcard_unit_1021", 5016, "", "", "InGame/icon_buffcard_inducing_wind"
1022, 1022, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1022", "desc_buffcard_unit_1022", 5016, "", 2, "InGame/icon_buffcard_storm_spirit"
1023, 1023, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1023", "desc_buffcard_unit_1023", 5019, "", 50, "InGame/icon_buffcard_im_treeee"
1024, 1024, 1, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1024", "desc_buffcard_unit_1024", 5019, "", 3, "InGame/icon_buffcard_treeee_squad"
1025, 1025, 1, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Always", "title_buffcard_unit_1025", "desc_buffcard_unit_1025", 5015, "", 500, "InGame/icon_buffcard_big_bang"
1026, 1026, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1026", "desc_buffcard_unit_1026", 5015, "", 3, "InGame/icon_buffcard_collecting_debris"
1027, 1027, 1, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Always", "title_buffcard_unit_1027", "desc_buffcard_unit_1027", 4006, "", "", "InGame/icon_buffcard_all_in"
1028, 1028, 1, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1028", "desc_buffcard_unit_1028", 5004, "", "", "InGame/icon_buffcard_triple_beam"
1029, 1029, 1, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Always", "title_buffcard_unit_1029", "desc_buffcard_unit_1029", 5004, "", 50, "InGame/icon_buffcard_reflected_beam"
1030, 1030, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1030", "desc_buffcard_unit_1030", 5010, "", 10, "InGame/icon_buffcard_clean_up_man"
1031, 1031, 1, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1031", "desc_buffcard_unit_1031", 5010, "", "15 | 200 | 2", "InGame/icon_buffcard_home_run"
1032, 1032, 1, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Always", "title_buffcard_unit_1032", "desc_buffcard_unit_1032", 5012, "", 308, "InGame/icon_buffcard_historic_site"
1033, 1033, 1, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Instantly", "title_buffcard_unit_1033", "desc_buffcard_unit_1033", 5012, "", "", "InGame/icon_buffcard_immortal indie"
1034, 1034, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "WaveStart", "title_buffcard_unit_1034", "desc_buffcard_unit_1034", 5012, "", 250, "InGame/icon_buffcard_transaction"
1035, 1035, 1, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1035", "desc_buffcard_unit_1035", 5009, "", "1 | 10", "InGame/icon_buffcard_super_hero_landing"
1036, 1036, 1, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_unit_1036", "desc_buffcard_unit_1036", "", "", "", "InGame/icon_buffcard_frog_garden"
1037, 1037, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1037", "desc_buffcard_unit_1037", 5009, "", "3 | 100", "InGame/icon_buffcard_giant_snake"
1038, 1038, 99, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Instantly", "title_buffcard_unit_1038", "desc_buffcard_unit_1038", 5009, "", "", "InGame/icon_buffcard_deification"
1039, 1039, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1039", "desc_buffcard_unit_1039", 5003, "", 2, "InGame/icon_buffcard_good_blacksmith"
1040, 1040, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1040", "desc_buffcard_unit_1040", 5003, "", "30 | 1", "InGame/icon_buffcard_unquenchable_fire"
1041, 1041, 1, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1041", "desc_buffcard_unit_1041", 5008, "", "", "InGame/icon_buffcard_god_of_death_mama"
1042, 1042, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1042", "desc_buffcard_unit_1042", 3003, "", 1, "InGame/icon_buffcard_shooting_training"
1044, 1044, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1044", "desc_buffcard_unit_1044", 3006, "", 2, "InGame/icon_buffcard_crowd_activity"
1045, 1045, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1045", "desc_buffcard_unit_1045", 5005, "", "0.1", "InGame/icon_buffcard_gourmet_blob"
1046, 1046, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1046", "desc_buffcard_unit_1046", 5001, "", "", "InGame/icon_buffcard_endless_fear"
1047, 1047, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1047", "desc_buffcard_unit_1047", 5022, "", 25, "InGame/icon_buffcard_time_magic"
1048, 1048, 1, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1048", "desc_buffcard_unit_1048", 5023, "", 99, "InGame/icon_buffcard_extended_magazine"
99991, 99999, 0, 1, "TRUE", "", "", "", "Common", "IndividualStat", "Always", "title_buffcard_99991", "desc_buffcard_99991", "", 2, 10, "InGame/icon_buffcard_99991"
99992, 99999, -1, 0, "FALSE", "", "", "", "Rare", "IndividualStat", "Always", "title_buffcard_99992", "desc_buffcard_99992", "", 2, 15, "InGame/icon_buffcard_99992"
99993, 99999, 0, 1, "TRUE", "", "", "", "Epic", "IndividualStat", "Always", "title_buffcard_99993", "desc_buffcard_99993", "", 2, 20, "InGame/icon_buffcard_99993"
99994, 99999, 0, 1, "TRUE", "", "", "", "Legend", "IndividualStat", "Always", "title_buffcard_99994", "desc_buffcard_99994", "", 2, 30, "InGame/icon_buffcard_99994"
100001, 1, 2, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_1", "desc_buffcard_1", "", "", "", "InGame/icon_buffcard_promotion"
100002, 2, 2, 10, "FALSE", "", "", "", "Legend", "Special", "WaveStart", "title_buffcard_2", "desc_buffcard_2", "", "", 10, "InGame/icon_buffcard_fortune_box"
100003, 3, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_3", "desc_buffcard_3", "", "", 20, "InGame/icon_buffcard_fortune_gun"
100004, 4, 2, 5, "FALSE", "", "", "", "Common", "Special", "WaveStart", "title_buffcard_4", "desc_buffcard_4", "", "", "-10 | 20", "InGame/icon_buffcard_bit_coin"
100005, 5, 2, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_5", "desc_buffcard_5", "", "", "0 | 30", "InGame/icon_buffcard_master_of_investment"
100006, 6, 2, 5, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_6", "desc_buffcard_6", "", "", 25, "InGame/icon_buffcard_shoes_of_hermes"
100007, 7, 2, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_7", "desc_buffcard_7", "", "", 6, "InGame/icon_buffcard_mythical_market"
100008, 8, 2, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_8", "desc_buffcard_8", "", 0, "5 | 100011", "InGame/icon_buffcard_old_fairy_bow"
100009, 9, 2, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_9", "desc_buffcard_9", "", 1, "10 | 100011", "InGame/icon_buffcard_old_big_sword"
100010, 10, 2, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_10", "desc_buffcard_10", "", 3, "10 | 100011", "InGame/icon_buffcard_old_staff"
100011, 11, 2, 0, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_11", "desc_buffcard_11", "", "", "30 | 30 | 5 | 1000", "InGame/icon_buffcard_weaponmaster"
100012, 12, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_12", "desc_buffcard_12", "", "", 1, "InGame/icon_buffcard_magical_shield"
100013, 99999, 2, 10, "FALSE", "", "", "", "Common", "IndividualStat", "Always", "title_buffcard_13", "desc_buffcard_13", "", 11, 100, "InGame/icon_buffcard_super_gloves"
100014, 14, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_14", "desc_buffcard_14", "", "", 5, "InGame/icon_buffcard_multishot_bow"
100015, 99999, 2, 10, "FALSE", "", "", "", "Legend", "IndividualStat", "Always", "title_buffcard_15", "desc_buffcard_15", "", 19, "0.5", "InGame/icon_buffcard_scope"
100016, 16, 2, 10, "FALSE", "", "", "", "Common", "Special", "WaveStart", "title_buffcard_16", "desc_buffcard_16", "", "", "2 | 50", "InGame/icon_buffcard_remains"
100017, 17, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_17", "desc_buffcard_17", "", "", 20, "InGame/icon_buffcard_lonelines"
100018, 18, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_18", "desc_buffcard_18", "", "", "", "InGame/icon_buffcard_copy_pet"
100019, 19, 2, 10, "FALSE", "", "", "", "Common", "Special", "Limited", "title_buffcard_19", "desc_buffcard_19", "", "", "5 | 20", "InGame/icon_buffcard_flashback_2"
100020, 20, 2, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_20", "desc_buffcard_20", "", "", 50, "InGame/icon_buffcard_random_upgrade"
100021, 21, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_21", "desc_buffcard_21", "", "", "1 |  25 | 25 | 100", "InGame/icon_buffcard_super_hero"
100022, 22, 2, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_22", "desc_buffcard_22", "", "", "20 | 10", "InGame/icon_buffcard_newbie_slayer"
100023, 23, 2, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_23", "desc_buffcard_23", "", "", "20 | 10", "InGame/icon_buffcard_boss_killer"
100024, 24, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_24", "desc_buffcard_24", "", "", 5, "InGame/icon_buffcard_ancient_horn"
100025, 25, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_25", "desc_buffcard_25", "", "", "", "InGame/icon_buffcard_oblivion_scroll"
100026, 26, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_26", "desc_buffcard_26", "", "", 10, "InGame/icon_buffcard_shiny_scroll"
100027, 27, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_27", "desc_buffcard_27", "", "", 10, "InGame/icon_buffcard_data_duplicator"
100028, 28, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_28", "desc_buffcard_28", "", "", 30, "InGame/icon_buffcard_golden_ring"
100029, 29, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_29", "desc_buffcard_29", "", "", 50, "InGame/icon_buffcard_lucky_coin"
100030, 30, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_30", "desc_buffcard_30", "", "", 50, "InGame/icon_buffcard_payback"
100031, 31, 2, 10, "FALSE", "", "", "", "Legend", "GlobalStat", "Always", "title_buffcard_31", "desc_buffcard_31", "", 21, 5, "InGame/icon_buffcard_combat_machine"
100032, 32, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_32", "desc_buffcard_32", "", "", 3, "InGame/icon_buffcard_mythical_capsule"
100033, 33, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_33", "desc_buffcard_33", "", "", 2, "InGame/icon_buffcard_attendance_reward"
100034, 34, 2, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_34", "desc_buffcard_34", "", "", 30, "InGame/icon_buffcard_duplicate_golem"
100035, 35, 2, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_35", "desc_buffcard_35", "", "", 30, "InGame/icon_buffcard_lucky_fragment"
100036, 36, 2, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_36", "desc_buffcard_36", "", "", "", "InGame/icon_buffcard_mythical_garden"
100037, 37, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_37", "desc_buffcard_37", "", "", 1, "InGame/icon_buffcard_high performance copier"
100038, 38, 2, 10, "FALSE", "", "", "", "Common", "GivePoint", "Instantly", "title_buffcard_38", "desc_buffcard_38", "", "", 3, "InGame/icon_buffcard_refresh"
100039, 99999, 2, 10, "FALSE", "", "", "", "Epic", "IndividualStat", "Always", "title_buffcard_39", "desc_buffcard_39", "", 32, 10, "InGame/icon_buffcard_safe_box_2"
100040, 40, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_40", "desc_buffcard_40", "", "", 1, "InGame/icon_buffcard_golden_relic"
100041, 50, 2, 10, "FALSE", "", "", "", "Epic", "GivePoint", "Instantly", "title_buffcard_50", "desc_buffcard_50", "", 0, 3000, "InGame/icon_buffcard_coin_supply"
