int, string, EModeType, bool, int, bool, bool, bool, bool, System.DateTime, System.DateTime, int, EUnlockPresetType, EItemType, int, int, FP, FP, FP, FP, FP, FP, FP, FP, FP, FP, bool, bool, bool, bool, bool, bool, bool, bool, bool, bool, bool, int, FP, FP, int, int, string, string, int, bool, float, float, int, bool, bool, bool, bool, bool, bool, bool, bool, bool, ETargetingType, ENoticeShowType, ENoticeShowType, bool, float, FP, int, FP, string
103, "gamemode_103_title", "Arcade", "FALSE", 5, "TRUE", "FALSE", "FALSE", "FALSE", "2025-06-09 0:00:00", "2025-06-16 0:00:00", 604800, "ModeClear_Normal_1", "Stamina", 5, 0, 0, "", 0, 0, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", 50, 0, 0, 0, 0, "MapObject_103", "", "", "FALSE", 9, "-1.2", 30, "TRUE", "TRUE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "Me", "All", "FALSE", "", "", 1, "1.75", "bgm_luckydefense_ingame_event"
104, "gamemode_104_title", "Arcade", "FALSE", 6, "TRUE", "FALSE", "FALSE", "FALSE", "2024-11-06 0:00:00", "2024-11-16 0:00:00", 864000, "ModeClear_Normal_1", "Stamina", 5, 0, 50, "", 50, 70, 0, 0, 300, 50, 10, "0.85", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", 50, 0, 0, 0, 0, "MapObject_104", "", "", "FALSE", 10, "-3.1", 30, "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "Me", "None", "FALSE", "", "", 1, "1.5", "bgm_luckydefense_ingame_auction"
201, "gamemode_201_title", "Guild", "FALSE", "", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "ModeClear_Normal_1", "Stamina", 0, 0, 50, "", 50, 70, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", 100, 0, 0, 0, 0, "MapObject_201", "", "", "FALSE", 9, "-1.2", 30, "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "Nearest", "Me", "None", "FALSE", "", "", 1, "1.5", "bgm_luckydefense_ingame_guild"
202, "gamemode_202_title", "Guild", "FALSE", "", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "ModeClear_Normal_1", "Stamina", 0, 0, 50, "", 50, 70, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", 100, 0, 0, 0, 0, "MapObject_202", "", "", "FALSE", 9, "-1.2", 10, "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "Me", "None", "FALSE", "", "", 1, "1.5", "bgm_luckydefense_ingame_guild"
251, "gamemode_251_title", "Guild", "FALSE", "", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "ModeClear_Normal_1", "Stamina", 0, 0, 50, "", 50, 70, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", 100, 0, 0, 0, 0, "MapObject_202", "", "", "FALSE", 9, "-1.2", 30, "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "Nearest", "Me", "Me", "FALSE", "", "", 1, "1.5", "bgm_luckydefense_ingame_guild"
301, "gamemode_301_title", "Challenge", "FALSE", 7, "TRUE", "FALSE", "FALSE", "FALSE", "2025-08-04 0:00:00", "2025-08-25 0:00:00", 1814400, "WaveClear_Hard_40", "Stamina", 0, 0, 50, "", 50, 80, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", 100, 0, 0, 0, 0, "MapObject_301", "", "", "TRUE", 10, "-0.5", 30, "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "All", "None", "TRUE", -260, "", 1, "1.5", "bgm_luckydefense_ingame_challenge"
302, "gamemode_302_title", "Challenge", "TRUE", "", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "AfterUpdate", "", "", "", "", "", "", "", "", "", 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "", "", "", "", "", "FALSE", 9, "-1.2", 30, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "All", "None", "FALSE", "", "", 1, "1.5"
303, "gamemode_303_title", "Challenge", "TRUE", "", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "AfterUpdate", "", "", "", "", "", "", "", "", "", 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "", "", "", "", "", "FALSE", 9, "-1.2", 30, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "All", "None", "FALSE", "", "", 1, "1.5"
304, "gamemode_304_title", "Challenge", "FALSE", 8, "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "WaveClear_Hard_10", "Stamina", 3, 3, 50, "", 50, 70, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", 100, 0, 0, 0, 0, "MapObject_304", "", "", "FALSE", 9, "-1.2", 30, "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "Nearest", "Me", "Me", "FALSE", "", 900, 1, "1.5", "bgm_luckydefense_ingame_cave"
305, "gamemode_305_title", "Challenge", "FALSE", "", "FALSE", "FALSE", "FALSE", "TRUE", "", "", "", "UserLevel_10", "Stamina", 0, 0, 50, "", 50, 70, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", 100, 0, 0, 0, 0, "MapObject_201", "", "", "FALSE", 9, "-1.2", 10, "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "Nearest", "Me", "None", "FALSE", "", "", 1, "1.5", "bgm_luckydefense_ingame_guild"
306, "gamemode_306_title", "Challenge", "FALSE", "", "FALSE", "FALSE", "FALSE", "TRUE", "", "", "", "UserLevel_10", "Stamina", 5, 5, 50, "", 50, 100, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", 100, 0, 0, 0, 0, "MapObject_201", "", "", "FALSE", "10.5", "-0.7", 10, "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "Nearest", "Me", "None", "FALSE", "", "", 1, "1.5", "bgm_luckydefense_ingame_infinity"
501, "gamemode_501_title", "Combat", "FALSE", "", "FALSE", "FALSE", "TRUE", "FALSE", "", "", "", "WaveClear_Hard_60", "CombatTicket", 1, 1, 30, "", 30, 70, 0, 0, 100, 20, 2, "0.9", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", 100, 0, 0, 0, 0, "MapObject_501", "", "", "FALSE", 9, "-1.2", 30, "TRUE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "Ally", "None", "FALSE", "", "", 1, "1.75", "bgm_luckydefense_ingame_battle"
502, "gamemode_502_title", "Combat", "FALSE", "", "FALSE", "FALSE", "TRUE", "FALSE", "", "", "", "WaveClear_Hard_60", "CombatTicket", 1, 0, 30, "", 30, 80, 0, 0, 100, 20, 2, "0.9", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", 100, 0, 0, 0, 0, "MapObject_502", "", "", "FALSE", 9, "-1.2", 30, "TRUE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "Ally", "None", "FALSE", "", "", 1, "1.75", "bgm_luckydefense_ingame_battle"
601, "gamemode_601_title", "Trial", "FALSE", "", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "WaveClear_Normal_49", "Stamina", 0, 0, 0, "", 0, 0, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", 100, 0, 0, 0, 0, "MapObject_601", "", "", "FALSE", 9, "-1.2", 30, "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "Me", "Me", "FALSE", "", "", 1, "1.5", "bgm_luckydefense_ingame_default"
602, "gamemode_602_title", "TriggerEvent", "FALSE", "", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "", "Stamina", 0, 0, 20, "", 10, 80, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", 100, 0, 0, 0, 0, "MapObject_602", "", "", "FALSE", 9, "-1.2", 30, "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "Nearest", "Me", "Me", "FALSE", "", "", 1, "1.5", "bgm_luckydefense_ingame_guild"
701, "gamemode_701_title", "SingleMode", "FALSE", "", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "", "Stamina", 5, 5, 20, "", 10, 80, 0, 0, 100, 20, 2, 1, "TRUE", "FALSE", "TRUE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", 70, 0, 0, 0, 0, "", "", "", "FALSE", 11, "-0.5", 30, "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "TRUE", "PathAmount", "None", "None", "TRUE", -260, "", 1, "1.75", "bgm_luckydefense_ingame_guild"
702, "gamemode_702_title", "SingleMode", "FALSE", "", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "", "Stamina", 3, 3, 20, "", 10, 80, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", 70, 0, 0, 0, 0, "", "", "", "FALSE", 11, "-0.5", 30, "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "PathAmount", "None", "None", "TRUE", -260, "", 1, "1.75", "bgm_luckydefense_ingame_guild"
703, "gamemode_703_title", "SingleMode", "FALSE", "", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "", "Stamina", 3, 3, 20, "", 10, 80, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", 70, 0, 0, 0, 0, "", "", "", "FALSE", 11, "-1.2", 30, "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "PathAmount", "None", "None", "TRUE", -260, "", 1, "1.75", "bgm_luckydefense_ingame_guild"
704, "gamemode_704_title", "SingleMode", "FALSE", "", "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "", "Stamina", 3, 3, 20, "", 10, 80, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", 70, 0, 0, 0, 0, "", "", "", "FALSE", 11, "-1.2", 30, "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "TRUE", "Nearest", "None", "None", "TRUE", -260, "", 1, "1.75", "bgm_luckydefense_ingame_guild"
