int, System.DateTime, System.DateTime, int, int, int[]
30, "2025-11-10 0:00:00", "2025-11-17 0:00:00", 604800, 30, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
31, "2025-11-17 0:00:00", "2025-11-24 0:00:00", 604800, 31, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
32, "2025-11-24 0:00:00", "2025-12-01 0:00:00", 604800, 32, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
33, "2025-12-01 0:00:00", "2025-12-08 0:00:00", 604800, 33, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
34, "2025-12-08 0:00:00", "2025-12-15 0:00:00", 604800, 34, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
35, "2025-12-15 0:00:00", "2025-12-22 0:00:00", 604800, 35, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
36, "2025-12-22 0:00:00", "2025-12-29 0:00:00", 604800, 36, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
37, "2025-12-29 0:00:00", "2026-01-05 0:00:00", 604800, 37, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
38, "2026-01-05 0:00:00", "2026-01-12 0:00:00", 604800, 38, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
39, "2026-01-12 0:00:00", "2026-01-19 0:00:00", 604800, 39, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
40, "2026-01-19 0:00:00", "2026-01-26 0:00:00", 604800, 40, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
41, "2026-01-26 0:00:00", "2026-02-02 0:00:00", 604800, 41, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
42, "2026-02-02 0:00:00", "2026-02-09 0:00:00", 604800, 42, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
43, "2026-02-09 0:00:00", "2026-02-16 0:00:00", 604800, 43, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
44, "2026-02-16 0:00:00", "2026-02-23 0:00:00", 604800, 44, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
45, "2026-02-23 0:00:00", "2026-03-02 0:00:00", 604800, 45, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
46, "2026-03-02 0:00:00", "2026-03-09 0:00:00", 604800, 46, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
47, "2026-03-09 0:00:00", "2026-03-16 0:00:00", 604800, 47, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
48, "2026-03-16 0:00:00", "2026-03-23 0:00:00", 604800, 48, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
49, "2026-03-23 0:00:00", "2026-03-30 0:00:00", 604800, 49, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
50, "2026-03-30 0:00:00", "2026-04-06 0:00:00", 604800, 50, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
51, "2026-04-06 0:00:00", "2026-04-13 0:00:00", 604800, 51, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
52, "2026-04-13 0:00:00", "2026-04-20 0:00:00", 604800, 52, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
53, "2026-04-20 0:00:00", "2026-04-27 0:00:00", 604800, 53, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
54, "2026-04-27 0:00:00", "2026-05-04 0:00:00", 604800, 54, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
55, "2026-05-04 0:00:00", "2026-05-11 0:00:00", 604800, 55, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
56, "2026-05-11 0:00:00", "2026-05-18 0:00:00", 604800, 56, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
57, "2026-05-18 0:00:00", "2026-05-25 0:00:00", 604800, 57, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
58, "2026-05-25 0:00:00", "2026-06-01 0:00:00", 604800, 58, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
59, "2026-06-01 0:00:00", "2026-06-08 0:00:00", 604800, 59, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
60, "2026-06-08 0:00:00", "2026-06-15 0:00:00", 604800, 60, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
