int, EStatType, string, FP[], FP[], FP[], FP[]
Id, StatType, Description, Params, UpgradeParams_1, UpgradeParams_2, UpgradeParams_3
304002, "ExclusiveSkill_4002_1", "text_statbuff_ExclusiveSkill_4002_1", 0, "10 | 15 | 20 | 25 | 30 | 40 | 50 | 60 | 70 | 80 | 100"
314002, "SkillDamage", "text_statbuff_SkillDamage", 0, "1 | 2 | 3 | 5 | 7 | 9 | 11 | 13 | 15 | 17 | 20"
304006, "ExclusiveSkill_4006_1", "text_statbuff_ExclusiveSkill_4006_1", 0, "1 | 2 | 3 | 5 | 6 | 7 | 8 | 9 | 11 | 13 | 15", "3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3"
314006, "SkillChancePercentage", "text_statbuff_SkillChancePercentage", 0, "0.1 | 0.3 | 0.5 | 1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4 | 5"
305001, "ExclusiveSkill_5001_1", "text_statbuff_ExclusiveSkill_5001_1", 0, "0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0", "0.5 | 0.6 | 0.7 | 0.8 | 0.9 | 1 | 1.2 | 1.4 | 1.6 | 1.8 | 2"
315001, "PhysicalDamage", "text_statbuff_PhysicalDamage", 0, "1 | 2 | 3 | 5 | 7 | 9 | 11 | 13 | 15 | 17 | 20"
305002, "ExclusiveSkill_5002_1", "text_statbuff_ExclusiveSkill_5002_1", 0, "1 | 1 | 2 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 10"
315002, "SpRegen", "text_statbuff_SpRegen", 0, "1 | 2 | 3 | 5 | 7 | 10 | 13 | 16 | 20 | 25 | 30"
305003, "ExclusiveSkill_5003_1", "text_statbuff_ExclusiveSkill_5003_1", 0, "1 | 2 | 2 | 3 | 3 | 5 | 5 | 6 | 7 | 8 | 10"
315003, "SpRegen", "text_statbuff_SpRegen", 0, "1 | 2 | 3 | 5 | 7 | 10 | 13 | 16 | 20 | 25 | 30"
305004, "ExclusiveSkill_5204_1", "text_statbuff_ExclusiveSkill_5204_1", 0, "5 | 7 | 10 | 15 | 20 | 25 | 30 | 35 | 40 | 45 | 50", "1 | 2 | 3 | 5 | 7 | 10 | 13 | 16 | 19 | 22 | 25"
315004, "CriticalPercentage", "text_statbuff_CriticalPercentage", 0, "1 | 1.5 | 2 | 2.5 | 3 | 4 | 5 | 6 | 7 | 8 | 10"
305005, "ExclusiveSkill_5005_1", "text_statbuff_ExclusiveSkill_5005_1", 0, "10 | 15 | 20 | 25 | 30 | 40 | 50 | 60 | 70 | 80 | 100"
315005, "AttackDamage", "text_statbuff_AttackDamage", 0, "1 | 2 | 3 | 5 | 7 | 9 | 11 | 13 | 15 | 17 | 20"
305006, "ExclusiveSkill_5006_1", "text_statbuff_ExclusiveSkill_5006_1", 0, "0.1 | 0.2 | 0.3 | 0.4 | 0.5 | 0.7 | 1 | 1.5 | 2 | 2.5 | 3", "10 | 15 | 20 | 25 | 30 | 40 | 50 | 60 | 70 | 80 | 100"
315006, "SkillDamage", "text_statbuff_SkillDamage", 0, "1 | 2 | 3 | 5 | 7 | 9 | 11 | 13 | 15 | 17 | 20"
305007, "ExclusiveSkill_5007_1", "text_statbuff_ExclusiveSkill_5007_1", 0, "0.1 | 0.3 | 0.5 | 1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4 | 5"
315007, "WaveStartManaRegen", "text_statbuff_WaveStartManaRegen", 0, "1 | 2 | 3 | 5 | 7 | 9 | 11 | 13 | 15 | 17 | 20"
305008, "ExclusiveSkill_5008_1", "text_statbuff_ExclusiveSkill_5008_1", 0, "1 | 2 | 3 | 5 | 7 | 10 | 13 | 16 | 20 | 25 | 30"
315008, "SkillDamage", "text_statbuff_SkillDamage", 0, "1 | 2 | 3 | 5 | 7 | 9 | 11 | 13 | 15 | 17 | 20"
305009, "ExclusiveSkill_5009_1", "text_statbuff_ExclusiveSkill_5009_1", 0, "5 | 7 | 10 | 15 | 20 | 25 | 30 | 40 | 50 | 60 | 70"
315009, "UltimateDamage", "text_statbuff_UltimateDamage", 0, "1 | 2 | 3 | 5 | 7 | 9 | 12 | 15 | 18 | 21 | 25"
305010, "ExclusiveSkill_5010_1", "text_statbuff_ExclusiveSkill_5010_1", 0, "10 | 14 | 18 | 22 | 26 | 30 | 32 | 34 | 36 | 38 | 40"
315010, "CriticalPercentage", "text_statbuff_CriticalPercentage", 0, "1 | 1.5 | 2 | 2.5 | 3 | 4 | 5 | 6 | 7 | 8 | 10"
305011, "ExclusiveSkill_5011_1", "text_statbuff_ExclusiveSkill_5011_1", 0, "10 | 20 | 40 | 60 | 80 | 100 | 130 | 160 | 190 | 220 | 250"
315011, "AfterMoveDamageBuff", "text_statbuff_AfterMoveDamageBuff", 0, "1 | 2 | 3 | 5 | 7 | 9 | 12 | 15 | 18 | 21 | 25", "3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3"
305012, "ExclusiveSkill_5012_1", "text_statbuff_ExclusiveSkill_5012_1", 0, "1 | 2 | 3 | 5 | 7 | 10 | 13 | 16 | 20 | 25 | 30"
315012, "MovementSpeed", "text_statbuff_MovementSpeed", 0, "5 | 7 | 9 | 11 | 15 | 20 | 30 | 40 | 50 | 70 | 80"
305013, "ExclusiveSkill_5013_1", "text_statbuff_ExclusiveSkill_5013_1", 0, "5 | 7 | 10 | 15 | 20 | 25 | 30 | 35 | 40 | 45 | 50"
315013, "AttackSpeed", "text_statbuff_AttackSpeed", 0, "1 | 1.5 | 2 | 2.5 | 3 | 4 | 5 | 6 | 7 | 8 | 10"
305014, "ExclusiveSkill_5014_1", "text_statbuff_ExclusiveSkill_5014_1", 0, "1 | 2 | 3 | 5 | 7 | 10 | 13 | 16 | 20 | 25 | 30"
315014, "SkillChancePercentage", "text_statbuff_SkillChancePercentage", 0, "0.1 | 0.3 | 0.5 | 1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4 | 5"
305015, "ExclusiveSkill_5015_1", "text_statbuff_ExclusiveSkill_5015_1", 0, "1 | 2 | 3 | 5 | 7 | 10 | 13 | 16 | 20 | 25 | 30"
315015, "AttackCountDecrease", "text_statbuff_AttackCountDecrease", 0, "1 | 2 | 3 | 5 | 7 | 9 | 11 | 13 | 15 | 17 | 20"
305016, "ExclusiveSkill_5016_1", "text_statbuff_ExclusiveSkill_5016_1", 0, "1 | 1 | 2 | 2 | 2 | 3 | 3 | 3 | 4 | 4 | 5"
315016, "AttackSpeed", "text_statbuff_AttackSpeed", 0, "1 | 1.5 | 2 | 2.5 | 3 | 4 | 5 | 6 | 7 | 8 | 10"
305017, "ExclusiveSkill_5017_1", "text_statbuff_ExclusiveSkill_5017_1", 0, "10 | 15 | 20 | 25 | 30 | 35 | 40 | 45 | 50 | 70 | 100"
315017, "BasicAttackDamage", "text_statbuff_BasicAttackDamage", 0, "1 | 2 | 3 | 5 | 7 | 9 | 12 | 15 | 18 | 21 | 25"
305018, "ExclusiveSkill_5018_1", "text_statbuff_ExclusiveSkill_5018_1", 0, "5 | 7 | 10 | 15 | 20 | 25 | 30 | 35 | 40 | 45 | 50"
315018, "SkillChancePercentage", "text_statbuff_SkillChancePercentage", 0, "0.1 | 0.3 | 0.5 | 1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4 | 5"
305019, "CooltimeRegen", "text_statbuff_ExclusiveSkill_5019_1", 0, "5 | 7 | 10 | 15 | 20 | 25 | 30 | 35 | 40 | 45 | 50"
315019, "SkillChancePercentage", "text_statbuff_SkillChancePercentage", 0, "0.1 | 0.3 | 0.5 | 1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4 | 5"
305020, "ExclusiveSkill_5020_1", "text_statbuff_ExclusiveSkill_5020_1", 0, "3 | 5 | 7 | 10 | 13 | 16 | 19 | 21 | 24 | 27 | 30"
315020, "SkillChancePercentage", "text_statbuff_SkillChancePercentage", 0, "0.1 | 0.3 | 0.5 | 1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4 | 5"
305021, "ExclusiveSkill_5021_1", "text_statbuff_ExclusiveSkill_5021_1", 0, "1 | 2 | 3 | 5 | 6 | 7 | 8 | 9 | 11 | 13 | 15"
315021, "CriticalDamage", "text_statbuff_CriticalDamage", 0, "1 | 2 | 3 | 5 | 7 | 10 | 13 | 16 | 20 | 25 | 30"
305022, "ExclusiveSkill_5022_1", "text_statbuff_ExclusiveSkill_5022_1", 0, "1 | 1.5 | 2 | 2.5 | 3 | 4 | 5 | 6 | 7 | 8 | 10"
315022, "SkillChancePercentage", "text_statbuff_SkillChancePercentage", 0, "0.1 | 0.3 | 0.5 | 1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4 | 5"
305023, "ExclusiveSkill_5023_1", "text_statbuff_ExclusiveSkill_5023_1", 0, "5 | 7 | 9 | 11 | 15 | 19 | 25 | 35 | 50 | 65 | 80"
315023, "CriticalDamage", "text_statbuff_CriticalDamage", 0, "1 | 2 | 3 | 5 | 7 | 10 | 13 | 16 | 20 | 25 | 30"
305024, "ExclusiveSkill_5024_1", "text_statbuff_ExclusiveSkill_5024_1", 0, "10 | 20 | 30 | 40 | 50 | 60 | 70 | 80 | 90 | 100 | 110"
315024, "SkillChancePercentage", "text_statbuff_SkillChancePercentage", 0, "0.1 | 0.3 | 0.5 | 1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4 | 5"
