int, int, int, int, int, FP, FP, FP, int, EChallengeReward, FP[], string, string
3018, 3, 17, 20013, 900, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
3019, 3, 18, 20013, 1050, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
3020, 3, 19, 20013, 1200, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
3021, 3, 20, 20013, 1350, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4001, 4, 0, 20011, 35, 60, 120, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20011", "Icon/icon_challenge_blob_1"
4002, 4, 1, 20011, 200, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20011", "Icon/icon_challenge_blob_1"
4003, 4, 2, 20011, 370, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20011", "Icon/icon_challenge_blob_1"
4004, 4, 3, 20011, 750, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20011", "Icon/icon_challenge_blob_1"
4005, 4, 4, 20012, 35, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20012", "Icon/icon_challenge_blob_2"
4006, 4, 5, 20012, 55, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20012", "Icon/icon_challenge_blob_2"
4007, 4, 6, 20012, 75, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20012", "Icon/icon_challenge_blob_2"
4008, 4, 7, 20012, 120, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20012", "Icon/icon_challenge_blob_2"
4009, 4, 8, 20013, 70, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4010, 4, 9, 20013, 90, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4011, 4, 10, 20013, 120, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4012, 4, 11, 20013, 160, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4013, 4, 12, 20013, 250, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4014, 4, 13, 20013, 380, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4015, 4, 14, 20013, 520, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4016, 4, 15, 20013, 650, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4017, 4, 16, 20013, 800, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4018, 4, 17, 20013, 1000, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4019, 4, 18, 20013, 1100, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4020, 4, 19, 20013, 1250, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
4021, 4, 20, 20013, 1400, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
5001, 5, 0, 20021, 30, 60, 120, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20021", "Icon/icon_challenge_golem_20021"
5002, 5, 1, 20021, 180, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20021", "Icon/icon_challenge_golem_20021"
5003, 5, 2, 20021, 350, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20021", "Icon/icon_challenge_golem_20021"
5004, 5, 3, 20021, 750, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20021", "Icon/icon_challenge_golem_20021"
5005, 5, 4, 20022, 35, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20022", "Icon/icon_challenge_golem_20022"
5006, 5, 5, 20022, 55, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20022", "Icon/icon_challenge_golem_20022"
5007, 5, 6, 20022, 75, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20022", "Icon/icon_challenge_golem_20022"
5008, 5, 7, 20022, 120, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20022", "Icon/icon_challenge_golem_20022"
5009, 5, 8, 20023, 70, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
5010, 5, 9, 20023, 90, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
5011, 5, 10, 20023, 120, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
5012, 5, 11, 20023, 160, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
5013, 5, 12, 20023, 250, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
5014, 5, 13, 20023, 380, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
5015, 5, 14, 20023, 520, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
5016, 5, 15, 20023, 650, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
5017, 5, 16, 20023, 800, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
5018, 5, 17, 20023, 1000, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
5019, 5, 18, 20023, 1100, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
5020, 5, 19, 20023, 1250, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
5021, 5, 20, 20023, 1400, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20023", "Icon/icon_challenge_golem_20023"
91001, 91, 0, 20001, 0, 60, 120, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
91002, 91, 1, 20001, 20, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
91003, 91, 2, 20001, 30, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
91004, 91, 3, 20001, 40, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
91005, 91, 4, 20002, 0, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
91006, 91, 5, 20002, 2, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
91007, 91, 6, 20002, 4, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
91008, 91, 7, 20002, 6, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
91009, 91, 8, 20003, 8, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
91010, 91, 9, 20003, 8, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
91011, 91, 10, 20003, 8, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
91012, 91, 11, 20003, 10, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
91013, 91, 12, 20003, 11, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
91014, 91, 13, 20003, 12, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
91015, 91, 14, 20003, 13, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
91016, 91, 15, 20003, 14, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
91017, 91, 16, 20003, 16, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
91018, 91, 17, 20003, 18, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
91019, 91, 18, 20003, 20, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
91020, 91, 19, 20003, 22, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
91021, 91, 20, 20003, 24, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101001, 101, 0, 20001, 0, 60, 120, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
101002, 101, 1, 20001, 20, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
101003, 101, 2, 20001, 30, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
101004, 101, 3, 20001, 40, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
101005, 101, 4, 20002, 0, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
101006, 101, 5, 20002, 2, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
101007, 101, 6, 20002, 4, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
101008, 101, 7, 20002, 6, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
101009, 101, 8, 20003, 8, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101010, 101, 9, 20003, 8, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101011, 101, 10, 20003, 8, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101012, 101, 11, 20003, 10, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101013, 101, 12, 20003, 11, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101014, 101, 13, 20003, 12, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101015, 101, 14, 20003, 13, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101016, 101, 15, 20003, 14, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101017, 101, 16, 20003, 16, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101018, 101, 17, 20003, 18, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101019, 101, 18, 20003, 20, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101020, 101, 19, 20003, 22, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
101021, 101, 20, 20003, 24, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103001, 103, 0, 20001, 0, 60, 120, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
103002, 103, 1, 20001, 20, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
103003, 103, 2, 20001, 30, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
103004, 103, 3, 20001, 40, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
103005, 103, 4, 20002, 0, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
103006, 103, 5, 20002, 2, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
103007, 103, 6, 20002, 4, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
103008, 103, 7, 20002, 6, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
103009, 103, 8, 20003, 8, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103010, 103, 9, 20003, 8, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103011, 103, 10, 20003, 8, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103012, 103, 11, 20003, 10, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103013, 103, 12, 20003, 11, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103014, 103, 13, 20003, 12, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103015, 103, 14, 20003, 13, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103016, 103, 15, 20003, 14, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103017, 103, 16, 20003, 16, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103018, 103, 17, 20003, 18, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103019, 103, 18, 20003, 20, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103020, 103, 19, 20003, 22, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
103021, 103, 20, 20003, 24, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301001, 301, 0, 20001, 10, 60, 120, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
301002, 301, 1, 20001, 60, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
301003, 301, 2, 20001, 110, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
301004, 301, 3, 20001, 200, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
301005, 301, 4, 20002, 20, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
301006, 301, 5, 20002, 30, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
