int, string, float[], bool, bool, bool, int, EShopTriggerType, float[], EShopTriggerType, float[], float, float, bool, bool, bool, bool, string, bool, bool, bool, string
10027, "", "", "TRUE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView41"
10028, "", "", "FALSE", "FALSE", "FALSE", "", "MinUserLevel", 9, "", "", 259200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView42"
10029, "", "", "FALSE", "FALSE", "FALSE", "", "NewHyper", 15, "", "", 259200, 0, "FALSE", "TRUE", "TRUE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView43"
10030, "", "", "TRUE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView45"
10031, "", "", "FALSE", "FALSE", "FALSE", "", "MythUpgrade", 12, "", "", 259200, 0, "FALSE", "TRUE", "TRUE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView50"
10032, "", "", "FALSE", "FALSE", "FALSE", "", "ImmortalUpgrade", 8, "", "", 259200, 0, "FALSE", "TRUE", "TRUE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView52"
10033, "", "", "FALSE", "FALSE", "FALSE", "", "ImmortalUpgrade", 11, "", "", 259200, 0, "FALSE", "TRUE", "TRUE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView53"
10034, "", "", "FALSE", "FALSE", "FALSE", "", "PetDrawLevel", "7 | 500", "", "", 259200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView54"
10035, "", "", "FALSE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView67"
11001, "", "", "FALSE", "FALSE", "FALSE", "", "BestWaveFailed", 1, "", "", 259200, 82800, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView4"
11002, "", "", "FALSE", "FALSE", "FALSE", "", "BestWaveFailed", 1, "", "", 259200, 82800, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView4"
11003, "", "", "FALSE", "FALSE", "FALSE", "", "BestWaveFailed", 1, "", "", 259200, 82800, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView4"
11004, "product_name_11004", "", "FALSE", "FALSE", "FALSE", "", "UseRelicKey", 0, "", "", 259200, 604800, "TRUE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView51"
11005, "product_name_11005", "", "FALSE", "FALSE", "FALSE", "", "UseRelicKey", 0, "", "", 259200, 604800, "TRUE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView51"
11006, "product_name_11006", "", "FALSE", "FALSE", "FALSE", "", "UseRelicKey", 0, "", "", 259200, 604800, "TRUE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView51"
25001, "", "", "TRUE", "FALSE", "FALSE", 1, "MinUserLevel", 3, "", "", 604800, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup1"
25002, "", "", "TRUE", "FALSE", "FALSE", 2, "MinUserLevel", 3, "", "", 604800, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup2"
25003, "", "", "TRUE", "FALSE", "FALSE", 3, "MinUserLevel", 3, "", "", 604800, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup3"
25004, "", "", "TRUE", "FALSE", "FALSE", 4, "MinUserLevel", 3, "", "", 604800, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup4"
25005, "", "", "TRUE", "FALSE", "FALSE", 5, "MinUserLevel", 3, "", "", 864000, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup5"
25006, "", "", "TRUE", "FALSE", "FALSE", 6, "MinUserLevel", 3, "", "", 691200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup6"
25007, "", "", "TRUE", "FALSE", "FALSE", 7, "MinUserLevel", 3, "", "", 777600, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup7"
25008, "", "", "TRUE", "FALSE", "FALSE", 8, "MinUserLevel", 3, "", "", 604800, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup8"
25009, "", "", "TRUE", "FALSE", "FALSE", 9, "MinUserLevel", 3, "", "", 691200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup9"
25010, "", "", "TRUE", "FALSE", "FALSE", 10, "MinUserLevel", 3, "", "", 432000, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup10"
25011, "", "", "TRUE", "FALSE", "FALSE", 11, "MinUserLevel", 3, "", "", 1123200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup11"
25012, "", "", "TRUE", "FALSE", "FALSE", 12, "MinUserLevel", 3, "", "", 572400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup12"
25013, "", "", "TRUE", "FALSE", "FALSE", 13, "MinUserLevel", 3, "", "", 745200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup13"
25014, "", "", "TRUE", "FALSE", "FALSE", 14, "MinUserLevel", 3, "", "", 1090800, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup14"
25015, "", "", "TRUE", "FALSE", "FALSE", 15, "MinUserLevel", 3, "", "", 1695600, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup15"
25016, "", "", "TRUE", "FALSE", "FALSE", 16, "MinUserLevel", 3, "", "", 2905200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup16"
25017, "", "", "TRUE", "FALSE", "FALSE", 17, "MinUserLevel", 3, "", "", 572400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup17"
25018, "", "", "TRUE", "FALSE", "FALSE", 18, "MinUserLevel", 3, "", "", 1695600, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup18"
25019, "", "", "TRUE", "FALSE", "FALSE", 19, "MinUserLevel", 3, "", "", 572400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup19"
25020, "", "", "TRUE", "FALSE", "FALSE", 20, "MinUserLevel", 3, "", "", 745200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup20"
25021, "", "", "TRUE", "FALSE", "FALSE", 21, "MinUserLevel", 3, "", "", 572400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup21"
25022, "", "", "TRUE", "FALSE", "FALSE", 22, "MinUserLevel", 3, "", "", 1036800, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup22"
25023, "", "", "TRUE", "FALSE", "FALSE", 23, "MinUserLevel", 3, "", "", 1209600, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup23"
25024, "", "", "TRUE", "FALSE", "FALSE", 24, "MinUserLevel", 3, "", "", 1641600, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup24"
25025, "", "", "TRUE", "FALSE", "FALSE", 25, "MinUserLevel", 3, "", "", 1641600, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup25"
25026, "", "", "FALSE", "FALSE", "FALSE", 26, "MinUserLevel", 3, "", "", 950400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup26"
25027, "", "", "FALSE", "FALSE", "FALSE", 27, "MinUserLevel", 3, "", "", 950400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup27"
25028, "", "", "FALSE", "FALSE", "FALSE", 28, "MinUserLevel", 3, "", "", 864000, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup28"
25029, "", "", "FALSE", "FALSE", "FALSE", 29, "MinUserLevel", 3, "", "", 1468800, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup29"
25030, "", "", "FALSE", "FALSE", "FALSE", 30, "MinUserLevel", 3, "", "", 1468800, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "TRUE", "FALSE", "FALSE", "SkinPackagePopup30"
30001, "", "", "FALSE", "FALSE", "FALSE", "", "NeedUpgradeGold", "10 | 0 | 200000", "", "", 86400, 259200, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "TRUE", "FALSE", "TriggerPackage/ShopPackageProductView20"
30002, "", "", "FALSE", "FALSE", "FALSE", "", "NeedUpgradeGold", "10 | 200001 | 300000", "", "", 86400, 432000, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "TRUE", "FALSE", "TriggerPackage/ShopPackageProductView20"
30003, "", "", "FALSE", "FALSE", "FALSE", "", "NeedUpgradeGold", "10 | 300001 | 9999999", "", "", 86400, 604800, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "TRUE", "FALSE", "TriggerPackage/ShopPackageProductView20"
31001, "", "", "TRUE", "FALSE", "TRUE", 31001, "JoinGuild", "", "", "", 1123200, 86400, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "TRUE", "TriggerPackage/ShopPackageProductView47"
31002, "", "", "FALSE", "FALSE", "TRUE", 31001, "JoinGuild", "", "", "", 1123200, 86400, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "TRUE", "TriggerPackage/ShopPackageProductView47"
40001, "", "", "FALSE", "FALSE", "FALSE", "", "BlobFiguresOpen", "", "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView48"
40002, "", "", "FALSE", "FALSE", "FALSE", "", "RelicAllMax", "", "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView49"
10291, "", "", "TRUE", "TRUE", "FALSE", 1111, "MinUserLevel", 3, "", "", 950400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView28"
10292, "", "", "TRUE", "TRUE", "FALSE", 1111, "MinUserLevel", 3, "", "", 950400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView29"
10293, "", "", "TRUE", "TRUE", "FALSE", 1111, "MinUserLevel", 3, "", "", 950400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView30"
10294, "", "", "TRUE", "TRUE", "FALSE", 1111, "MinUserLevel", 3, "", "", 950400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView31"
11292, "", "", "FALSE", "TRUE", "FALSE", "", "CheckSchedule", 1112, "", "", 950400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView56"
11293, "", "", "FALSE", "TRUE", "FALSE", "", "CheckSchedule", 1112, "", "", 950400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView57"
11294, "", "", "FALSE", "TRUE", "FALSE", "", "CheckSchedule", 1112, "", "", 950400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView58"
11295, "", "", "FALSE", "TRUE", "FALSE", "", "CheckSchedule", 1112, "", "", 950400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView59"
11296, "", "", "FALSE", "TRUE", "FALSE", "", "CheckSchedule", 1112, "", "", 950400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView60"
11297, "", "", "FALSE", "TRUE", "FALSE", "", "CheckSchedule", 1112, "", "", 950400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView61"
90001, "", "", "FALSE", "FALSE", "FALSE", 90001, "MinUserLevel", 3, "", "", 568800, 0, "FALSE", "FALSE", "FALSE", "TRUE", "TriggeredPackageDrawPopup", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView32"
30401, "", "", "FALSE", "FALSE", "FALSE", "", "DeepCaveFailed", "7 | 1 | 10", "", "", 259200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView34"
30402, "", "", "FALSE", "FALSE", "FALSE", "", "DeepCaveFailed", "7 | 11 | 20", "", "", 259200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView34"
30403, "", "", "FALSE", "FALSE", "FALSE", "", "DeepCaveFailed", "7 | 21 | 30", "", "", 259200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView34"
30404, "", "", "FALSE", "FALSE", "FALSE", "", "DeepCaveFailed", "7 | 31 | 40", "", "", 259200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView34"
30405, "", "", "FALSE", "FALSE", "FALSE", "", "DeepCaveFailed", "7 | 41 | 50", "", "", 259200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView34"
30406, "package_deepcave_3", 10, "FALSE", "FALSE", "FALSE", "", "DeepCaveReached", 10, "", "", 259200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView35"
30407, "package_deepcave_3", 20, "FALSE", "FALSE", "FALSE", "", "DeepCaveReached", 20, "", "", 259200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView35"
30408, "package_deepcave_3", 30, "FALSE", "FALSE", "FALSE", "", "DeepCaveReached", 30, "", "", 259200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView35"
30409, "package_deepcave_3", 40, "FALSE", "FALSE", "FALSE", "", "DeepCaveReached", 40, "", "", 259200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView35"
30410, "package_deepcave_3", 50, "FALSE", "FALSE", "FALSE", "", "DeepCaveReached", 50, "", "", 259200, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView35"
