int, int, int, EItemAcquireType, string, string, EQuest, bool, int, int
150121, "", 0, "None", "profile_name_150121", "profile_desc_150121", "HiddenProfile", "TRUE", -1, 30
150130, "", 0, "None", "player_unit_name_5013", "profile_desc_150130", "SpawnMythicalUnit", "FALSE", 5013, 100
150131, "", 0, "None", "profile_name_150131", "profile_desc_150131", "HiddenProfile", "TRUE", -1, 30
150140, "", 0, "None", "player_unit_name_5014", "profile_desc_150140", "SpawnMythicalUnit", "FALSE", 5014, 100
150141, "", 0, "None", "profile_name_150141", "profile_desc_150141", "HiddenProfile", "TRUE", -1, 30
150150, "", 0, "None", "player_unit_name_5015", "profile_desc_150150", "SpawnMythicalUnit", "FALSE", 5015, 100
150151, "", 0, "None", "profile_name_150151", "profile_desc_150151", "HiddenProfile", "TRUE", -1, 30
150160, "", 0, "None", "player_unit_name_5016", "profile_desc_150160", "SpawnMythicalUnit", "FALSE", 5016, 100
150161, "", 0, "None", "profile_name_150161", "profile_desc_150161", "HiddenProfile", "TRUE", -1, 30
150170, "", 0, "None", "player_unit_name_5017", "profile_desc_150170", "SpawnMythicalUnit", "FALSE", 5017, 100
150171, "", 0, "None", "profile_name_150171", "profile_desc_150171", "HiddenProfile", "TRUE", -1, 30
150180, "", 0, "None", "player_unit_name_5018", "profile_desc_150180", "SpawnMythicalUnit", "FALSE", 5018, 100
150181, "", 0, "None", "profile_name_150181", "profile_desc_150181", "HiddenProfile", "TRUE", -1, 30
150190, "", 0, "None", "player_unit_name_5019", "profile_desc_150190", "SpawnMythicalUnit", "FALSE", 5019, 100
150191, "", 0, "None", "profile_name_150191", "profile_desc_150191", "HiddenProfile", "TRUE", -1, 30
150200, "", 0, "None", "player_unit_name_5020", "profile_desc_150200", "SpawnMythicalUnit", "FALSE", 5020, 100
150201, "", 0, "None", "profile_name_150201", "profile_desc_150201", "HiddenProfile", "TRUE", -1, 30
150210, "", 0, "None", "player_unit_name_5021", "profile_desc_150210", "SpawnMythicalUnit", "FALSE", 5021, 100
150220, "", 0, "None", "player_unit_name_5022", "profile_desc_150220", "SpawnMythicalUnit", "FALSE", 5022, 100
150230, "", 0, "None", "player_unit_name_5023", "profile_desc_150230", "SpawnMythicalUnit", "FALSE", 5023, 100
150240, 2001, 0, "None", "player_unit_name_5024", "profile_desc_150240", "SpawnMythicalUnit", "FALSE", 5024, 100
90001, "", 1, "None", "profile_name_90001", "profile_desc_90001", "BuyPackage", "TRUE", -1, 1
90002, "", 1, "None", "profile_name_90002", "profile_desc_90002", "BuyPackage", "TRUE", -1, 1
90003, 501591, 1, "None", "profile_name_90003", "profile_desc_90003", "UseCoupon", "FALSE", -1, 1
99999900, "", 0, "None", "profile_name_99999900", "profile_desc_99999900", "None", "FALSE", -1, 0
