int, int, int, ESingleBonusType, bool, string, string, FP, int, ESingleBonusType, bool, string, string, FP, TableReward[]
13, 13, 420, "None", "TRUE", "skill_description_none", "", "", 3, "None", "FALSE", "", "", "", "[101,5000,5000]"
14, 14, 450, "None", "TRUE", "skill_description_none", "", "", 3, "None", "FALSE", "", "", "", "[102,100,100]"
15, 15, 480, "None", "TRUE", "skill_description_none", "", "", 4, "FarmDamage", "TRUE", "skill_description_farmdamage", "icon_singlemode_grow_ax_3 ", 1, "[104,10,10]"
16, 16, 530, "None", "TRUE", "skill_description_none", "", "", 4, "None", "FALSE", "", "", "", "[201,1,1]"
17, 17, 585, "None", "TRUE", "skill_description_none", "", "", 4, "None", "FALSE", "", "", "", "[102,500,500]"
18, 18, 640, "None", "TRUE", "skill_description_none", "", "", 4, "None", "FALSE", "", "", "", "[103,500,500]"
19, 19, 695, "None", "TRUE", "skill_description_none", "", "", 4, "None", "FALSE", "", "", "", "[101,10000,10000]"
20, 20, 750, "None", "TRUE", "skill_description_none", "", "", 5, "FarmDamage", "TRUE", "skill_description_farmdamage", "icon_singlemode_grow_ax_4 ", 1, "[102,500,500]"
21, 21, 790, "None", "TRUE", "skill_description_none", "", "", 5, "None", "FALSE", "", "", "", "[103,350,350] | [102,300,300]"
22, 22, 825, "None", "TRUE", "skill_description_none", "", "", 5, "None", "FALSE", "", "", "", "[201,1,1]"
23, 23, 860, "None", "TRUE", "skill_description_none", "", "", 5, "FarmRange", "TRUE", "skill_description_farmrange", "icon_singlemode_grow_ax_10 ", "0.1", "[101,10000,10000]"
24, 24, 895, "None", "TRUE", "skill_description_none", "", "", 5, "None", "FALSE", "", "", "", "[104,20,20]"
25, 25, 930, "None", "TRUE", "skill_description_none", "", "", 6, "FarmDamage", "TRUE", "skill_description_farmdamage", "icon_singlemode_grow_ax_5 ", 1, "[201,1,1]"
26, 26, 960, "None", "TRUE", "skill_description_none", "", "", 6, "None", "FALSE", "", "", "", "[201,1,1]"
27, 27, 1010, "None", "TRUE", "skill_description_none", "", "", 6, "None", "FALSE", "", "", "", "[103,100,100]"
28, 28, 1060, "None", "TRUE", "skill_description_none", "", "", 6, "None", "FALSE", "", "", "", "[102,500,500]"
29, 29, 1110, "None", "TRUE", "skill_description_none", "", "", 6, "None", "FALSE", "", "", "", "[101,15000,15000]"
30, 30, 1160, "None", "TRUE", "skill_description_none", "", "", 7, "FarmDamage", "TRUE", "skill_description_farmdamage", "icon_singlemode_grow_ax_6 ", 1, "[104,12,12]"
31, 31, 1300, "None", "TRUE", "skill_description_none", "", "", 7, "None", "FALSE", "", "", "", "[201,1,1]"
32, 32, 1360, "None", "TRUE", "skill_description_none", "", "", 7, "None", "FALSE", "", "", "", "[102,400,400]"
33, 33, 1420, "None", "TRUE", "skill_description_none", "", "", 7, "None", "FALSE", "", "", "", "[103,400,400]"
34, 34, 1480, "None", "TRUE", "skill_description_none", "", "", 7, "None", "FALSE", "", "", "", "[201,1,1]"
35, 35, 1540, "None", "TRUE", "skill_description_none", "", "", 8, "FarmDamage", "TRUE", "skill_description_farmdamage", "icon_singlemode_grow_ax_7 ", 1, "[102,400,400]"
36, 36, 1700, "None", "TRUE", "skill_description_none", "", "", 8, "None", "FALSE", "", "", "", "[201,1,1]"
37, 37, 1770, "None", "TRUE", "skill_description_none", "", "", 8, "None", "FALSE", "", "", "", "[103,250,250]"
38, 38, 1840, "None", "TRUE", "skill_description_none", "", "", 8, "FarmRange", "TRUE", "skill_description_farmrange", "icon_singlemode_grow_ax_10 ", "0.1", "[102,1000,1000]"
39, 39, 1910, "None", "TRUE", "skill_description_none", "", "", 8, "None", "FALSE", "", "", "", "[104,15,15]"
40, 40, 1980, "None", "TRUE", "skill_description_none", "", "", 9, "FarmDamage", "TRUE", "skill_description_farmdamage", "icon_singlemode_grow_ax_8 ", 1, "[103,450,450]"
41, 41, 2100, "None", "TRUE", "skill_description_none", "", "", 9, "None", "FALSE", "", "", "", "[101,10000,10000]"
42, 42, 2160, "None", "TRUE", "skill_description_none", "", "", 9, "None", "FALSE", "", "", "", "[102,500,500]"
43, 43, 2220, "None", "TRUE", "skill_description_none", "", "", 9, "None", "FALSE", "", "", "", "[201,1,1]"
44, 44, 2280, "None", "TRUE", "skill_description_none", "", "", 9, "None", "FALSE", "", "", "", "[103,250,250]"
45, 45, 2340, "None", "TRUE", "skill_description_none", "", "", 10, "FarmDamage", "TRUE", "skill_description_farmdamage", "icon_singlemode_grow_ax_9 ", 1, "[104,15,15]"
46, 46, 2500, "None", "TRUE", "skill_description_none", "", "", 10, "None", "FALSE", "", "", "", "[201,1,1]"
47, 47, 2550, "None", "TRUE", "skill_description_none", "", "", 10, "None", "FALSE", "", "", "", "[201,1,1] | [103,100,100]"
48, 48, 2600, "None", "TRUE", "skill_description_none", "", "", 10, "None", "FALSE", "", "", "", "[201,1,1]"
49, 49, 2650, "None", "TRUE", "skill_description_none", "", "", 10, "None", "FALSE", "", "", "", "[201,1,1] | [104,250,250]"
50, 50, 2700, "None", "TRUE", "skill_description_none", "", "", 10, "None", "FALSE", "", "", "", "[201,2,2] | [102,100,100]"
