int, int, int, EQuest, string, int, int, bool, TableReward
10010307, 1001, "", "KillEventMonster", "quest_KillEventMonster", 6, 70, "FALSE", "13, 40, 40"
10010401, 1001, "", "WithFriend", "profile_desc_12", 0, 3, "FALSE", "13, 10, 10"
10010402, 1001, "", "WithFriend", "profile_desc_12", 1, 6, "FALSE", "13, 15, 15"
10010403, 1001, "", "WithFriend", "profile_desc_12", 2, 9, "FALSE", "13, 20, 20"
10010404, 1001, "", "WithFriend", "profile_desc_12", 3, 12, "FALSE", "13, 25, 25"
10010405, 1001, "", "WithFriend", "profile_desc_12", 4, 15, "FALSE", "13, 30, 30"
10010406, 1001, "", "WithFriend", "profile_desc_12", 5, 18, "FALSE", "13, 35, 35"
10010407, 1001, "", "WithFriend", "profile_desc_12", 6, 21, "FALSE", "13, 40, 40"
10010501, 1001, "", "TryWish", "quest_TryWish", 0, 5, "FALSE", "13, 10, 10"
10010502, 1001, "", "TryWish", "quest_TryWish", 1, 10, "FALSE", "13, 15, 15"
10010503, 1001, "", "TryWish", "quest_TryWish", 2, 15, "FALSE", "13, 20, 20"
10010504, 1001, "", "TryWish", "quest_TryWish", 3, 20, "FALSE", "13, 25, 25"
10010505, 1001, "", "TryWish", "quest_TryWish", 4, 25, "FALSE", "13, 30, 30"
10010506, 1001, "", "TryWish", "quest_TryWish", 5, 30, "FALSE", "13, 35, 35"
10010507, 1001, "", "TryWish", "quest_TryWish", 6, 35, "FALSE", "13, 40, 40"
10010601, 1001, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 0, 50, "FALSE", "13, 10, 10"
10010602, 1001, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 1, 100, "FALSE", "13, 15, 15"
10010603, 1001, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 2, 150, "FALSE", "13, 20, 20"
10010604, 1001, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 3, 200, "FALSE", "13, 25, 25"
10010605, 1001, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 4, 250, "FALSE", "13, 30, 30"
10010606, 1001, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 5, 300, "FALSE", "13, 35, 35"
10010607, 1001, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 6, 350, "FALSE", "13, 40, 40"
10010701, 1001, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 0, 1, "FALSE", "13, 10, 10"
10010702, 1001, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 1, 2, "FALSE", "13, 15, 15"
10010703, 1001, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 2, 3, "FALSE", "13, 20, 20"
10010704, 1001, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 3, 4, "FALSE", "13, 25, 25"
10010705, 1001, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 4, 5, "FALSE", "13, 30, 30"
10010706, 1001, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 5, 6, "FALSE", "13, 35, 35"
10010707, 1001, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 6, 7, "FALSE", "13, 40, 40"
10010801, 1001, "", "TryRecruit", "quest_daily_TryRecruit", 0, 10, "FALSE", "13, 10, 10"
10010802, 1001, "", "TryRecruit", "quest_daily_TryRecruit", 1, 20, "FALSE", "13, 15, 15"
10010803, 1001, "", "TryRecruit", "quest_daily_TryRecruit", 2, 30, "FALSE", "13, 20, 20"
10010804, 1001, "", "TryRecruit", "quest_daily_TryRecruit", 3, 40, "FALSE", "13, 25, 25"
10010805, 1001, "", "TryRecruit", "quest_daily_TryRecruit", 4, 50, "FALSE", "13, 30, 30"
10010806, 1001, "", "TryRecruit", "quest_daily_TryRecruit", 5, 60, "FALSE", "13, 35, 35"
10010807, 1001, "", "TryRecruit", "quest_daily_TryRecruit", 6, 70, "FALSE", "13, 40, 40"
10010901, 1001, "", "TryGiveRelic", "quest_TryGiveRelic", 0, 3, "FALSE", "13, 10, 10"
10010902, 1001, "", "TryGiveRelic", "quest_TryGiveRelic", 1, 6, "FALSE", "13, 15, 15"
10010903, 1001, "", "TryGiveRelic", "quest_TryGiveRelic", 2, 9, "FALSE", "13, 20, 20"
10010904, 1001, "", "TryGiveRelic", "quest_TryGiveRelic", 3, 12, "FALSE", "13, 25, 25"
10010905, 1001, "", "TryGiveRelic", "quest_TryGiveRelic", 4, 15, "FALSE", "13, 30, 30"
10010906, 1001, "", "TryGiveRelic", "quest_TryGiveRelic", 5, 18, "FALSE", "13, 35, 35"
10010907, 1001, "", "TryGiveRelic", "quest_TryGiveRelic", 6, 21, "FALSE", "13, 40, 40"
10011001, 1001, "", "HighContribution", "quest_HighContribution", 0, 3, "FALSE", "13, 10, 10"
10011002, 1001, "", "HighContribution", "quest_HighContribution", 1, 6, "FALSE", "13, 15, 15"
10011003, 1001, "", "HighContribution", "quest_HighContribution", 2, 9, "FALSE", "13, 20, 20"
10011004, 1001, "", "HighContribution", "quest_HighContribution", 3, 12, "FALSE", "13, 25, 25"
10011005, 1001, "", "HighContribution", "quest_HighContribution", 4, 15, "FALSE", "13, 30, 30"
10011006, 1001, "", "HighContribution", "quest_HighContribution", 5, 18, "FALSE", "13, 35, 35"
10011007, 1001, "", "HighContribution", "quest_HighContribution", 6, 21, "FALSE", "13, 40, 40"
10020101, 1002, "", "Login", "quest_daily_Login", 0, 1, "FALSE", "14, 10, 10"
10020102, 1002, "", "Login", "quest_daily_Login", 1, 2, "FALSE", "14, 15, 15"
10020103, 1002, "", "Login", "quest_daily_Login", 2, 3, "FALSE", "14, 20, 20"
10020104, 1002, "", "Login", "quest_daily_Login", 3, 4, "FALSE", "14, 25, 25"
10020105, 1002, "", "Login", "quest_daily_Login", 4, 5, "FALSE", "14, 30, 30"
10020106, 1002, "", "Login", "quest_daily_Login", 5, 6, "FALSE", "14, 35, 35"
10020107, 1002, "", "Login", "quest_daily_Login", 6, 7, "FALSE", "14, 50, 50"
10020201, 1002, "", "PayStamina", "profile_desc_3", 0, 30, "FALSE", "14, 10, 10"
10020202, 1002, "", "PayStamina", "profile_desc_3", 1, 60, "FALSE", "14, 15, 15"
10020203, 1002, "", "PayStamina", "profile_desc_3", 2, 90, "FALSE", "14, 20, 20"
10020204, 1002, "", "PayStamina", "profile_desc_3", 3, 120, "FALSE", "14, 25, 25"
10020205, 1002, "", "PayStamina", "profile_desc_3", 4, 150, "FALSE", "14, 30, 30"
10020206, 1002, "", "PayStamina", "profile_desc_3", 5, 180, "FALSE", "14, 35, 35"
10020207, 1002, "", "PayStamina", "profile_desc_3", 6, 210, "FALSE", "14, 50, 50"
10020301, 1002, "", "KillEventMonster", "quest_KillEventMonster_Xmas", 0, 10, "FALSE", "14, 10, 10"
10020302, 1002, "", "KillEventMonster", "quest_KillEventMonster_Xmas", 1, 20, "FALSE", "14, 15, 15"
10020303, 1002, "", "KillEventMonster", "quest_KillEventMonster_Xmas", 2, 30, "FALSE", "14, 20, 20"
10020304, 1002, "", "KillEventMonster", "quest_KillEventMonster_Xmas", 3, 40, "FALSE", "14, 25, 25"
10020305, 1002, "", "KillEventMonster", "quest_KillEventMonster_Xmas", 4, 50, "FALSE", "14, 30, 30"
10020306, 1002, "", "KillEventMonster", "quest_KillEventMonster_Xmas", 5, 60, "FALSE", "14, 35, 35"
10020307, 1002, "", "KillEventMonster", "quest_KillEventMonster_Xmas", 6, 70, "FALSE", "14, 50, 50"
10020401, 1002, "", "WithFriend", "profile_desc_12", 0, 3, "FALSE", "14, 10, 10"
10020402, 1002, "", "WithFriend", "profile_desc_12", 1, 6, "FALSE", "14, 15, 15"
10020403, 1002, "", "WithFriend", "profile_desc_12", 2, 9, "FALSE", "14, 20, 20"
10020404, 1002, "", "WithFriend", "profile_desc_12", 3, 12, "FALSE", "14, 25, 25"
10020405, 1002, "", "WithFriend", "profile_desc_12", 4, 15, "FALSE", "14, 30, 30"
10020406, 1002, "", "WithFriend", "profile_desc_12", 5, 18, "FALSE", "14, 35, 35"
10020407, 1002, "", "WithFriend", "profile_desc_12", 6, 21, "FALSE", "14, 50, 50"
10020501, 1002, "", "TryWish", "quest_TryWish_Xmas", 0, 5, "FALSE", "14, 10, 10"
10020502, 1002, "", "TryWish", "quest_TryWish_Xmas", 1, 10, "FALSE", "14, 15, 15"
10020503, 1002, "", "TryWish", "quest_TryWish_Xmas", 2, 15, "FALSE", "14, 20, 20"
10020504, 1002, "", "TryWish", "quest_TryWish_Xmas", 3, 20, "FALSE", "14, 25, 25"
10020505, 1002, "", "TryWish", "quest_TryWish_Xmas", 4, 25, "FALSE", "14, 30, 30"
10020506, 1002, "", "TryWish", "quest_TryWish_Xmas", 5, 30, "FALSE", "14, 35, 35"
10020507, 1002, "", "TryWish", "quest_TryWish_Xmas", 6, 35, "FALSE", "14, 50, 50"
10020601, 1002, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 0, 50, "FALSE", "14, 10, 10"
10020602, 1002, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 1, 100, "FALSE", "14, 15, 15"
10020603, 1002, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 2, 150, "FALSE", "14, 20, 20"
10020604, 1002, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 3, 200, "FALSE", "14, 25, 25"
10020605, 1002, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 4, 250, "FALSE", "14, 30, 30"
10020606, 1002, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 5, 300, "FALSE", "14, 35, 35"
10020607, 1002, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 6, 350, "FALSE", "14, 50, 50"
10020701, 1002, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 0, 1, "FALSE", "14, 10, 10"
10020702, 1002, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 1, 2, "FALSE", "14, 15, 15"
10020703, 1002, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 2, 3, "FALSE", "14, 20, 20"
10020704, 1002, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 3, 4, "FALSE", "14, 25, 25"
10020705, 1002, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 4, 5, "FALSE", "14, 30, 30"
10020706, 1002, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 5, 6, "FALSE", "14, 35, 35"
10020707, 1002, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 6, 7, "FALSE", "14, 50, 50"
10020801, 1002, "", "TryRecruit", "quest_daily_TryRecruit", 0, 10, "FALSE", "14, 10, 10"
10020802, 1002, "", "TryRecruit", "quest_daily_TryRecruit", 1, 20, "FALSE", "14, 15, 15"
10020803, 1002, "", "TryRecruit", "quest_daily_TryRecruit", 2, 30, "FALSE", "14, 20, 20"
10020804, 1002, "", "TryRecruit", "quest_daily_TryRecruit", 3, 40, "FALSE", "14, 25, 25"
10020805, 1002, "", "TryRecruit", "quest_daily_TryRecruit", 4, 50, "FALSE", "14, 30, 30"
10020806, 1002, "", "TryRecruit", "quest_daily_TryRecruit", 5, 60, "FALSE", "14, 35, 35"
10020807, 1002, "", "TryRecruit", "quest_daily_TryRecruit", 6, 70, "FALSE", "14, 50, 50"
10020901, 1002, "", "TryGiveRelic", "quest_TryGiveRelic", 0, 3, "FALSE", "14, 10, 10"
10020902, 1002, "", "TryGiveRelic", "quest_TryGiveRelic", 1, 6, "FALSE", "14, 15, 15"
10020903, 1002, "", "TryGiveRelic", "quest_TryGiveRelic", 2, 9, "FALSE", "14, 20, 20"
10020904, 1002, "", "TryGiveRelic", "quest_TryGiveRelic", 3, 12, "FALSE", "14, 25, 25"
10020905, 1002, "", "TryGiveRelic", "quest_TryGiveRelic", 4, 15, "FALSE", "14, 30, 30"
10020906, 1002, "", "TryGiveRelic", "quest_TryGiveRelic", 5, 18, "FALSE", "14, 35, 35"
10020907, 1002, "", "TryGiveRelic", "quest_TryGiveRelic", 6, 21, "FALSE", "14, 50, 50"
10021001, 1002, "", "HighContribution", "quest_HighContribution", 0, 3, "FALSE", "14, 10, 10"
10021002, 1002, "", "HighContribution", "quest_HighContribution", 1, 6, "FALSE", "14, 15, 15"
10021003, 1002, "", "HighContribution", "quest_HighContribution", 2, 9, "FALSE", "14, 20, 20"
10021004, 1002, "", "HighContribution", "quest_HighContribution", 3, 12, "FALSE", "14, 25, 25"
10021005, 1002, "", "HighContribution", "quest_HighContribution", 4, 15, "FALSE", "14, 30, 30"
10021006, 1002, "", "HighContribution", "quest_HighContribution", 5, 18, "FALSE", "14, 35, 35"
10021007, 1002, "", "HighContribution", "quest_HighContribution", 6, 21, "FALSE", "14, 50, 50"
10030101, 1003, "", "Login", "quest_daily_Login", 0, 1, "FALSE", "15, 10, 10"
10030102, 1003, "", "Login", "quest_daily_Login", 1, 2, "FALSE", "15, 15, 15"
10030103, 1003, "", "Login", "quest_daily_Login", 2, 3, "FALSE", "15, 20, 20"
10030104, 1003, "", "Login", "quest_daily_Login", 3, 4, "FALSE", "15, 25, 25"
10030105, 1003, "", "Login", "quest_daily_Login", 4, 5, "FALSE", "15, 30, 30"
10030106, 1003, "", "Login", "quest_daily_Login", 5, 6, "FALSE", "15, 35, 35"
10030107, 1003, "", "Login", "quest_daily_Login", 6, 7, "FALSE", "15, 50, 50"
10030201, 1003, "", "PayStamina", "profile_desc_3", 0, 30, "FALSE", "15, 10, 10"
10030202, 1003, "", "PayStamina", "profile_desc_3", 1, 60, "FALSE", "15, 15, 15"
10030203, 1003, "", "PayStamina", "profile_desc_3", 2, 90, "FALSE", "15, 20, 20"
10030204, 1003, "", "PayStamina", "profile_desc_3", 3, 120, "FALSE", "15, 25, 25"
10030205, 1003, "", "PayStamina", "profile_desc_3", 4, 150, "FALSE", "15, 30, 30"
10030206, 1003, "", "PayStamina", "profile_desc_3", 5, 180, "FALSE", "15, 35, 35"
10030207, 1003, "", "PayStamina", "profile_desc_3", 6, 210, "FALSE", "15, 50, 50"
10030301, 1003, "", "KillEventMonster", "quest_KillEventMonster_newyear", 0, 10, "FALSE", "15, 10, 10"
10030302, 1003, "", "KillEventMonster", "quest_KillEventMonster_newyear", 1, 20, "FALSE", "15, 15, 15"
10030303, 1003, "", "KillEventMonster", "quest_KillEventMonster_newyear", 2, 30, "FALSE", "15, 20, 20"
10030304, 1003, "", "KillEventMonster", "quest_KillEventMonster_newyear", 3, 40, "FALSE", "15, 25, 25"
10030305, 1003, "", "KillEventMonster", "quest_KillEventMonster_newyear", 4, 50, "FALSE", "15, 30, 30"
10030306, 1003, "", "KillEventMonster", "quest_KillEventMonster_newyear", 5, 60, "FALSE", "15, 35, 35"
10030307, 1003, "", "KillEventMonster", "quest_KillEventMonster_newyear", 6, 70, "FALSE", "15, 50, 50"
10030401, 1003, "", "WithFriend", "profile_desc_12", 0, 3, "FALSE", "15, 10, 10"
10030402, 1003, "", "WithFriend", "profile_desc_12", 1, 6, "FALSE", "15, 15, 15"
10030403, 1003, "", "WithFriend", "profile_desc_12", 2, 9, "FALSE", "15, 20, 20"
10030404, 1003, "", "WithFriend", "profile_desc_12", 3, 12, "FALSE", "15, 25, 25"
10030405, 1003, "", "WithFriend", "profile_desc_12", 4, 15, "FALSE", "15, 30, 30"
10030406, 1003, "", "WithFriend", "profile_desc_12", 5, 18, "FALSE", "15, 35, 35"
10030407, 1003, "", "WithFriend", "profile_desc_12", 6, 21, "FALSE", "15, 50, 50"
10030501, 1003, "", "TryWish", "quest_TryWish_newyear", 0, 5, "FALSE", "15, 10, 10"
10030502, 1003, "", "TryWish", "quest_TryWish_newyear", 1, 10, "FALSE", "15, 15, 15"
10030503, 1003, "", "TryWish", "quest_TryWish_newyear", 2, 15, "FALSE", "15, 20, 20"
10030504, 1003, "", "TryWish", "quest_TryWish_newyear", 3, 20, "FALSE", "15, 25, 25"
10030505, 1003, "", "TryWish", "quest_TryWish_newyear", 4, 25, "FALSE", "15, 30, 30"
10030506, 1003, "", "TryWish", "quest_TryWish_newyear", 5, 30, "FALSE", "15, 35, 35"
10030507, 1003, "", "TryWish", "quest_TryWish_newyear", 6, 35, "FALSE", "15, 50, 50"
10030601, 1003, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 0, 50, "FALSE", "15, 10, 10"
10030602, 1003, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 1, 100, "FALSE", "15, 15, 15"
10030603, 1003, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 2, 150, "FALSE", "15, 20, 20"
10030604, 1003, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 3, 200, "FALSE", "15, 25, 25"
10030605, 1003, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 4, 250, "FALSE", "15, 30, 30"
10030606, 1003, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 5, 300, "FALSE", "15, 35, 35"
10030607, 1003, "", "SpawnMythicalUnit", "quest_achievement_SpawnMythicalUnit", 6, 350, "FALSE", "15, 50, 50"
10030701, 1003, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 0, 1, "FALSE", "15, 10, 10"
10030702, 1003, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 1, 2, "FALSE", "15, 15, 15"
10030703, 1003, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 2, 3, "FALSE", "15, 20, 20"
10030704, 1003, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 3, 4, "FALSE", "15, 25, 25"
10030705, 1003, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 4, 5, "FALSE", "15, 30, 30"
10030706, 1003, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 5, 6, "FALSE", "15, 35, 35"
10030707, 1003, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 6, 7, "FALSE", "15, 50, 50"
10030801, 1003, "", "TryRecruit", "quest_daily_TryRecruit", 0, 10, "FALSE", "15, 10, 10"
10030802, 1003, "", "TryRecruit", "quest_daily_TryRecruit", 1, 20, "FALSE", "15, 15, 15"
10030803, 1003, "", "TryRecruit", "quest_daily_TryRecruit", 2, 30, "FALSE", "15, 20, 20"
10030804, 1003, "", "TryRecruit", "quest_daily_TryRecruit", 3, 40, "FALSE", "15, 25, 25"
10030805, 1003, "", "TryRecruit", "quest_daily_TryRecruit", 4, 50, "FALSE", "15, 30, 30"
10030806, 1003, "", "TryRecruit", "quest_daily_TryRecruit", 5, 60, "FALSE", "15, 35, 35"
10030807, 1003, "", "TryRecruit", "quest_daily_TryRecruit", 6, 70, "FALSE", "15, 50, 50"
10030901, 1003, "", "TryGiveRelic", "quest_TryGiveRelic", 0, 3, "FALSE", "15, 10, 10"
10030902, 1003, "", "TryGiveRelic", "quest_TryGiveRelic", 1, 6, "FALSE", "15, 15, 15"
10030903, 1003, "", "TryGiveRelic", "quest_TryGiveRelic", 2, 9, "FALSE", "15, 20, 20"
10030904, 1003, "", "TryGiveRelic", "quest_TryGiveRelic", 3, 12, "FALSE", "15, 25, 25"
10030905, 1003, "", "TryGiveRelic", "quest_TryGiveRelic", 4, 15, "FALSE", "15, 30, 30"
10030906, 1003, "", "TryGiveRelic", "quest_TryGiveRelic", 5, 18, "FALSE", "15, 35, 35"
10030907, 1003, "", "TryGiveRelic", "quest_TryGiveRelic", 6, 21, "FALSE", "15, 50, 50"
10031001, 1003, "", "HighContribution", "quest_HighContribution", 0, 3, "FALSE", "15, 10, 10"
10031002, 1003, "", "HighContribution", "quest_HighContribution", 1, 6, "FALSE", "15, 15, 15"
10031003, 1003, "", "HighContribution", "quest_HighContribution", 2, 9, "FALSE", "15, 20, 20"
10031004, 1003, "", "HighContribution", "quest_HighContribution", 3, 12, "FALSE", "15, 25, 25"
10031005, 1003, "", "HighContribution", "quest_HighContribution", 4, 15, "FALSE", "15, 30, 30"
10031006, 1003, "", "HighContribution", "quest_HighContribution", 5, 18, "FALSE", "15, 35, 35"
10031007, 1003, "", "HighContribution", "quest_HighContribution", 6, 21, "FALSE", "15, 50, 50"
10040101, 1004, "", "Login", "quest_daily_Login", 0, 1, "FALSE", "16, 10, 10"
10040102, 1004, "", "Login", "quest_daily_Login", 1, 2, "FALSE", "16, 15, 15"
10040103, 1004, "", "Login", "quest_daily_Login", 2, 3, "FALSE", "16, 20, 20"
10040104, 1004, "", "Login", "quest_daily_Login", 3, 4, "FALSE", "16, 25, 25"
10040105, 1004, "", "Login", "quest_daily_Login", 4, 5, "FALSE", "16, 30, 30"
10040106, 1004, "", "Login", "quest_daily_Login", 5, 6, "FALSE", "16, 35, 35"
10040107, 1004, "", "Login", "quest_daily_Login", 6, 7, "FALSE", "16, 50, 50"
10040201, 1004, "", "PayStamina", "profile_desc_3", 0, 30, "FALSE", "16, 10, 10"
10040202, 1004, "", "PayStamina", "profile_desc_3", 1, 60, "FALSE", "16, 15, 15"
10040203, 1004, "", "PayStamina", "profile_desc_3", 2, 90, "FALSE", "16, 20, 20"
10040204, 1004, "", "PayStamina", "profile_desc_3", 3, 120, "FALSE", "16, 25, 25"
10040205, 1004, "", "PayStamina", "profile_desc_3", 4, 150, "FALSE", "16, 30, 30"
10040206, 1004, "", "PayStamina", "profile_desc_3", 5, 180, "FALSE", "16, 35, 35"
10040207, 1004, "", "PayStamina", "profile_desc_3", 6, 210, "FALSE", "16, 50, 50"
10040301, 1004, "", "KillEventMonster", "quest_KillEventMonster_luckycarnival", 0, 10, "FALSE", "16, 10, 10"
10040302, 1004, "", "KillEventMonster", "quest_KillEventMonster_luckycarnival", 1, 20, "FALSE", "16, 15, 15"
10040303, 1004, "", "KillEventMonster", "quest_KillEventMonster_luckycarnival", 2, 30, "FALSE", "16, 20, 20"
10040304, 1004, "", "KillEventMonster", "quest_KillEventMonster_luckycarnival", 3, 40, "FALSE", "16, 25, 25"
10040305, 1004, "", "KillEventMonster", "quest_KillEventMonster_luckycarnival", 4, 50, "FALSE", "16, 30, 30"
10040306, 1004, "", "KillEventMonster", "quest_KillEventMonster_luckycarnival", 5, 60, "FALSE", "16, 35, 35"
10040307, 1004, "", "KillEventMonster", "quest_KillEventMonster_luckycarnival", 6, 70, "FALSE", "16, 50, 50"
10040401, 1004, "", "WithFriend", "profile_desc_12", 0, 3, "FALSE", "16, 10, 10"
10040402, 1004, "", "WithFriend", "profile_desc_12", 1, 6, "FALSE", "16, 15, 15"
10040403, 1004, "", "WithFriend", "profile_desc_12", 2, 9, "FALSE", "16, 20, 20"
10040404, 1004, "", "WithFriend", "profile_desc_12", 3, 12, "FALSE", "16, 25, 25"
10040405, 1004, "", "WithFriend", "profile_desc_12", 4, 15, "FALSE", "16, 30, 30"
10040406, 1004, "", "WithFriend", "profile_desc_12", 5, 18, "FALSE", "16, 35, 35"
10040407, 1004, "", "WithFriend", "profile_desc_12", 6, 21, "FALSE", "16, 50, 50"
