int, int, EPassType, int, int, TableReward, TableReward
4002, 2, "God", "", 10, "102, 50, 50", "107, 30, 30"
4003, 3, "God", "", 10, "102, 50, 50", "201, 20, 20"
4004, 4, "God", "", 10, "102, 50, 50", "102, 3000, 3000"
4005, 5, "God", "", 10, "102, 50, 50", "101, 100000, 100000"
4006, 6, "God", "", 10, "102, 50, 50", "107, 40, 40"
4007, 7, "God", "", 10, "102, 50, 50", "201, 30, 30"
4008, 8, "God", "", 10, "102, 50, 50", "102, 5000, 5000"
4009, 9, "God", "", 10, "102, 50, 50", "107, 50, 50"
304001, 1, "DeepCave", "", 5, "102, 50, 50", "104, 10, 10"
304002, 2, "DeepCave", "", 5, "102, 50, 50", "102, 500, 500"
304003, 3, "DeepCave", "", 5, "102, 50, 50", "104, 10, 10"
304004, 4, "DeepCave", "", 5, "102, 50, 50", "201, 3, 3"
304005, 5, "DeepCave", "", 5, "102, 50, 50", "102, 500, 500"
304006, 6, "DeepCave", "", 5, "102, 50, 50", "201, 3, 3"
304007, 7, "DeepCave", "", 5, "102, 50, 50", "107, 10, 10"
304008, 8, "DeepCave", "", 5, "102, 50, 50", "201, 3, 3"
304009, 9, "DeepCave", "", 5, "102, 50, 50", "107, 10, 10"
304010, 10, "DeepCave", "", 5, "102, 50, 50", "201, 5, 5"
304011, 11, "DeepCave", "", 5, "102, 50, 50", "107, 10, 10"
