int, int, FP, FP, int[], FP[], string, string, string
21, 1, 35, 5, 2, 6, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
22, 1, 40, 5, 2, 7, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
23, 1, 45, 5, 2, 8, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
24, 1, 50, 5, 2, 9, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
25, 1, 55, 5, 2, 10, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
26, 1, 60, 5, 2, 11, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
27, 1, 60, 5, 2, 12, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
28, 1, 60, 5, 2, 13, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
29, 1, 60, 5, 2, 14, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
30, 1, 60, 5, 2, 15, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
31, 1, 10, 5, 3, 1, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
32, 1, 15, 5, 3, 2, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
33, 1, 20, 5, 3, 3, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
34, 1, 25, 5, 3, 4, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
35, 1, 30, 5, 3, 5, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
36, 1, 35, 5, 3, 6, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
37, 1, 40, 5, 3, 7, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
38, 1, 45, 5, 3, 8, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
39, 1, 50, 5, 3, 9, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
40, 1, 55, 5, 3, 10, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
41, 1, 60, 5, 3, 11, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
42, 1, 60, 5, 3, 12, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
43, 1, 60, 5, 3, 13, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
44, 1, 60, 5, 3, 14, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
45, 1, 60, 5, 3, 15, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
46, 1, 10, 5, 4, 1, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
47, 1, 15, 5, 4, 2, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
48, 1, 20, 5, 4, 3, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
49, 1, 25, 5, 4, 4, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
50, 1, 30, 5, 4, 5, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
51, 1, 35, 5, 4, 6, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
52, 1, 40, 5, 4, 7, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
53, 1, 45, 5, 4, 8, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
54, 1, 50, 5, 4, 9, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
55, 1, 55, 5, 4, 10, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
56, 1, 60, 5, 4, 12, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
57, 1, 60, 5, 4, 14, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
58, 1, 60, 5, 4, 16, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
59, 1, 60, 5, 4, 18, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
60, 1, 60, 5, 4, 20, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
61, 2, 40, 7, 1, 22, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
62, 2, 39, 7, 1, 24, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
63, 2, 38, 7, 1, 26, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
64, 2, 37, 7, 1, 28, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
65, 2, 36, 7, 1, 30, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
66, 2, 35, 7, 1, 32, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
67, 2, 34, 7, 1, 34, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
68, 2, 33, 7, 1, 36, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
69, 2, 32, 7, 1, 38, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
70, 2, 31, 7, 1, 40, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
71, 2, 40, 7, 2, 16, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
72, 2, 39, 7, 2, 17, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
73, 2, 38, 7, 2, 18, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
74, 2, 37, 7, 2, 19, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
75, 2, 36, 7, 2, 20, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
76, 2, 35, 7, 2, 21, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
77, 2, 34, 7, 2, 22, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
78, 2, 33, 7, 2, 23, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
79, 2, 32, 7, 2, 24, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
80, 2, 31, 7, 2, 25, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
81, 2, 40, 7, 3, 16, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
82, 2, 39, 7, 3, 17, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
83, 2, 38, 7, 3, 18, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
84, 2, 37, 7, 3, 19, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
85, 2, 36, 7, 3, 20, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
86, 2, 35, 7, 3, 21, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
87, 2, 34, 7, 3, 22, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
88, 2, 33, 7, 3, 23, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
89, 2, 32, 7, 3, 24, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
90, 2, 31, 7, 3, 25, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
91, 2, 40, 7, 4, 22, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
92, 2, 39, 7, 4, 24, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
93, 2, 38, 7, 4, 26, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
94, 2, 37, 7, 4, 28, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
95, 2, 36, 7, 4, 30, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
96, 2, 35, 7, 4, 32, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
97, 2, 34, 7, 4, 34, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
98, 2, 33, 7, 4, 36, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
99, 2, 32, 7, 4, 38, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
100, 2, 31, 7, 4, 40, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
101, 2, 350, 7, 6, 2, "icon_treasure_6", "treasure_name_6", "treasure_txet_6"
102, 3, 15, 10, 1, 43, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
103, 3, 14, 10, 1, 46, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
104, 3, 13, 10, 1, 49, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
105, 3, 12, 10, 1, 52, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
106, 3, 11, 10, 1, 55, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
107, 3, 10, 10, 1, 58, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
108, 3, 10, 10, 1, 61, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
109, 3, 10, 10, 1, 64, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
110, 3, 10, 10, 1, 67, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
111, 3, 10, 10, 1, 70, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
112, 3, 9, 10, 1, 73, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
113, 3, 8, 10, 1, 76, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
114, 3, 7, 10, 1, 79, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
115, 3, 6, 10, 1, 82, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
116, 3, 5, 10, 1, 85, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
117, 3, 15, 10, 2, 26, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
118, 3, 14, 10, 2, 27, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
119, 3, 13, 10, 2, 28, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
120, 3, 12, 10, 2, 29, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
121, 3, 11, 10, 2, 30, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
122, 3, 10, 10, 2, 31, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
123, 3, 10, 10, 2, 32, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
124, 3, 10, 10, 2, 33, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
125, 3, 10, 10, 2, 34, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
126, 3, 10, 10, 2, 35, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
127, 3, 9, 10, 2, 36, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
128, 3, 8, 10, 2, 37, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
129, 3, 7, 10, 2, 38, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
130, 3, 6, 10, 2, 39, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
131, 3, 5, 10, 2, 40, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
132, 3, 15, 10, 3, 26, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
133, 3, 14, 10, 3, 27, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
134, 3, 13, 10, 3, 28, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
135, 3, 12, 10, 3, 29, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
136, 3, 11, 10, 3, 30, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
137, 3, 10, 10, 3, 31, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
138, 3, 10, 10, 3, 32, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
139, 3, 10, 10, 3, 33, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
140, 3, 10, 10, 3, 34, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
141, 3, 10, 10, 3, 35, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
142, 3, 9, 10, 3, 36, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
143, 3, 8, 10, 3, 37, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
144, 3, 7, 10, 3, 38, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
145, 3, 6, 10, 3, 39, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
146, 3, 5, 10, 3, 40, "icon_treasure_3", "treasure_name_3", "treasure_txet_3"
147, 3, 15, 10, 4, 43, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
148, 3, 14, 10, 4, 46, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
149, 3, 13, 10, 4, 49, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
150, 3, 12, 10, 4, 52, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
151, 3, 11, 10, 4, 55, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
152, 3, 10, 10, 4, 58, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
153, 3, 10, 10, 4, 61, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
154, 3, 10, 10, 4, 64, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
155, 3, 10, 10, 4, 67, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
156, 3, 10, 10, 4, 70, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
157, 3, 9, 10, 4, 73, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
158, 3, 8, 10, 4, 76, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
159, 3, 7, 10, 4, 79, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
160, 3, 6, 10, 4, 82, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
161, 3, 5, 10, 4, 85, "icon_treasure_4", "treasure_name_4", "treasure_txet_4"
162, 3, 15, 10, 5, 100, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
163, 3, 14, 10, 5, 110, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
164, 3, 13, 10, 5, 120, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
165, 3, 12, 10, 5, 130, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
166, 3, 11, 10, 5, 140, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
167, 3, 10, 10, 5, 150, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
168, 3, 10, 10, 5, 160, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
169, 3, 10, 10, 5, 170, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
170, 3, 10, 10, 5, 180, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
171, 3, 10, 10, 5, 190, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
172, 3, 9, 10, 5, 200, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
173, 3, 8, 10, 5, 210, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
174, 3, 7, 10, 5, 220, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
175, 3, 6, 10, 5, 230, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
176, 3, 5, 10, 5, 240, "icon_treasure_5", "treasure_name_5", "treasure_txet_5"
177, 3, 150, 10, 6, 3, "icon_treasure_6", "treasure_name_6", "treasure_txet_6"
178, 3, 5, 15, "2 | 3 | 4", "10 | 10 | 10", "icon_treasure_7", "treasure_name_7", "treasure_txet_7"
179, 3, 5, 15, "2 | 3 | 4", "15 | 15 | 15", "icon_treasure_7", "treasure_name_7", "treasure_txet_7"
180, 3, 5, 15, "2 | 3 | 4", "20 | 20 | 20", "icon_treasure_7", "treasure_name_7", "treasure_txet_7"
181, 3, 5, 15, "2 | 3 | 4", "25 | 25 | 25", "icon_treasure_7", "treasure_name_7", "treasure_txet_7"
182, 3, 5, 15, "2 | 3 | 4", "30 | 30 | 30", "icon_treasure_7", "treasure_name_7", "treasure_txet_7"
