int, string, string, ESkillType, bool, bool, bool, bool, EUnitAnimation, bool, string, string, FP, int, FP, EDamageType, ESkillPosition, ETargetType, ERangeType, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillTag[], int, string, string, bool
20030, "IconSkill20030", "skill_name_20030", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_2003_1", "skill_description_20030", "", "", 12, "Magical", "Source", "Target", "Multi", "Damage", 300, "Range", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
20040, "IconSkill_GlobalSlow", "skill_name_20040", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalSlow", "skill_description_20040", "", "", "", "Magical", "", "Target", "Multi", "Slow", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
20041, "IconSkill20041", "skill_name_20041", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_2004_1", "skill_description_20041", "", "", 12, "Magical", "Target", "Target", "Multi", "Damage", 150, "Range", "0.5", "Interval", "0.5", "Count", 5, "Duration", "2.5", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
20050, "IconSkill_GlobalDefense", "skill_name_20050", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalDefense", "skill_description_20050", "", "", "", "Magical", "", "Target", "Multi", "Defense", 5, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
20051, "IconSkill20051", "skill_name_20051", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_2005_1", "skill_description_20051", "", "", 12, "Magical", "Target", "Target", "Multi", "Damage", 500, "Stun", "0.75", "Range", "0.5", "Distance", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30010, "IconSkill_GlobalDefense", "skill_name_30010", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalDefense", "skill_description_30010", "", "", "", "Magical", "", "Target", "Multi", "Defense", 5, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30011, "IconSkill30011", "skill_name_30011", "Attack", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_3001_Attack", "skill_description_30011", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 100, "Count", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30012, "IconSkill30012", "skill_name_30012", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_3001_1", "skill_description_30012", "", "", 10, "Magical", "Source", "Target", "Multi", "Damage", 2000, "Stun", 1, "Range", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30020, "IconSkill_GlobalSlow", "skill_name_30020", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalSlow", "skill_description_30020", "", "", "", "Magical", "", "Target", "Multi", "Slow", 5, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30021, "IconSkill30021", "skill_name_30021", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_3002_1", "skill_description_30021", "", "", 10, "Magical", "Target", "Target", "Multi", "Damage", 600, "Slow", 50, "Interval", "0.5", "Count", 5, "Range", 2, "Duration", "2.5", "", "", "", "", "", "", "", "", "", "", "FALSE"
30030, "IconSkill_GlobalDefense", "skill_name_30030", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalDefense", "skill_description_30030", "", "", "", "Physical", "", "Target", "Multi", "Defense", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30031, "IconSkill_Bullet", "skill_name_30031", "Attack", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_3003_Attack", "skill_description_30031", "", "", "", "Physical", "Source", "Target", "Multi", "Damage", 100, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30032, "IconSkill30032", "skill_name_30032", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_3003_1", "skill_description_30032", "", "", 10, "Physical", "Source", "Target", "Multi", "Damage", 800, "Range", 3, "Angle", 60, "", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30040, "IconSkill30040", "skill_name_30040", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_3004_0", "skill_description_30040", "", "", "", "", "", "", "", "Count", 15, "Count2", 35, "Count3", 1, "Percent", 4, "Count4", 100, "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30041, "IconSkill30041", "skill_name_30041", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_3004_1", "skill_description_30041", "", "", 10, "Magical", "Target", "Target", "Multi", "Damage", 1200, "Stun", 3, "Range", "1.5", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30042, "IconSkill30042", "skill_name_30042", "Attack", "FALSE", "TRUE", "FALSE", "FALSE", "Default", "FALSE", "Skill_3004_Attack", "", "", "", "", "Magical", "Target", "Target", "Single", "Damage", 100, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30050, "IconSkill_GlobalAttackSpeed", "skill_name_30050", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalAttackSpeed", "skill_description_30050", "", "", "", "Physical", "", "Ally", "Multi", "AttackSpeed", 5, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30051, "IconSkill30051", "skill_name_30051", "Attack", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_3005_Attack", "skill_description_30051", "", "", "", "Physical", "Source", "Target", "Multi", "Damage", 150, "Chance", 30, "Count", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30052, "IconSkill30052", "skill_name_30052", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_3005_1", "skill_description_30052", "", "", 10, "Physical", "", "Me", "Single", "AttackSpeed", 50, "Duration", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Fx_3005_Skill", "ingame_unit_eagle_skill_1", "FALSE"
30053, "IconSkill30053", "skill_name_30053", "Chance", "FALSE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_3005_2", "skill_description_30053", "", "", 10, "Physical", "Target", "Target", "Single", "Damage", 1000, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_unit_eagle_skill_2_attack", "FALSE"
30060, "IconSkill_GlobalAttackDamage", "skill_name_30060", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalAttackDamage", "skill_description_30060", "", "", "", "Magical", "", "Ally", "Multi", "AttackDamage", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30061, "IconSkill30061", "skill_name_30061", "Attack", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_3006_Attack", "skill_description_30061", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 70, "Range", "0.5", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
30062, "IconSkill30062", "skill_name_30062", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_3006_1", "skill_description_30062", "", "", 10, "Magical", "Target", "Target", "Single", "Damage", 1500, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Fx_3006_Skill", "", "FALSE"
30070, "IconSkill30070", "skill_name_30070", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Skill_1", "TRUE", "Skill_3007_1", "skill_description_30070", "", "", 10, "Physical", "Target", "Target", "Multi", "Damage", 2000, "Range", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_ninja_skill_1", "FALSE"
30071, "IconSkill30071", "skill_name_30071", "Chance", "FALSE", "FALSE", "TRUE", "FALSE", "Skill_2", "TRUE", "Skill_3007_2", "skill_description_30071", "", "", 12, "Physical", "Target", "Target", "Single", "Damage", 5000, "Chance2", 55, "Interval", "0.3", "Range", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_ninja_skill_2", "TRUE"
30072, "IconSkill30072", "skill_name_30072", "Cooltime", "TRUE", "FALSE", "TRUE", "FALSE", "Skill_2", "TRUE", "Skill_3007_3", "skill_description_30072", 30, "", "", "Physical", "Target", "Target", "Multi", "Damage", 900, "Range", 2, "Interval", "0.1", "Count", 20, "Duration", 2, "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_ninja_skill_2", "TRUE"
40010, "IconSkill_GlobalDefense", "skill_name_40010", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalDefense", "skill_description_40010", "", "", "", "Magical", "", "", "", "Defense", 20, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40011, "IconSkill40011", "skill_name_40011", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_4001_1", "skill_description_40011", "", "", 8, "Magical", "Target", "Target", "Multi", "Damage", 2000, "Stun", 2, "Range", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Fx_4001_Skill_01", "", "FALSE"
40012, "IconSkill40012", "skill_name_40012", "Active", "TRUE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_4001_2", "skill_description_40012", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 400, "Range", 1, "Interval", "0.5", "Count", 20, "Duration", 10, "", "", "", "", "", "", "", "", "", "", "Fx_4001_Skill_02", "", "FALSE"
40020, "IconSkill40021", "skill_name_40020", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_4002_Passive_Rework", "skill_description_40020", "", "", "", "Magical", "", "", "", "Count", 100, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40021, "IconSkill40021", "skill_name_40021", "Attack", "FALSE", "TRUE", "FALSE", "FALSE", "Default", "TRUE", "Skill_4002_Attack", "skill_description_40021", "", "", "", "Physical", "Source", "Target", "Single", "Damage", 100, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40022, "IconSkill40022", "skill_name_40022", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_4002_1_Rework", "skill_description_40022", "", "", 100, "Magical", "Source", "Target", "Multi", "Damage", 4500, "Range", "2.5", "SubDamage", 1500, "Range", "1.5", "Interval", "0.1", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40030, "IconSkill_GlobalDefense", "skill_name_40030", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalDefense", "skill_description_40030", "", "", "", "Magical", "", "", "", "Defense", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40031, "IconSkill40031", "skill_name_40031", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_StunDamage", "skill_description_40031", "", "", 8, "Magical", "", "Target", "Multi", "Damage", 3000, "Stun", "1.5", "Range", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Fx_4003_Skill_01", "ingame_units_warmachine_skill", "FALSE"
40032, "IconSkill40032", "skill_name_40032", "Active", "TRUE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_4003_1", "skill_description_40032", "", "", "", "Magical", "Source", "Target", "Multi", "Damage", 600, "Range", 2, "Interval", "0.1", "Count", 10, "Duration", 1, "", "", "", "", "", "", "", "", "", "", "", "ingame_units_warmachine_ultimate", "FALSE"
40040, "IconSkill_GlobalAttackSpeed", "skill_name_40040", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalAttackSpeed", "skill_description_40040", "", "", "", "Physical", "", "", "", "AttackSpeed", 5, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40041, "IconSkill40041", "skill_name_40041", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_4004_Passive", "skill_description_40041", "", "", "", "Physical", "", "", "", "Percent", 100, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40042, "IconSkill40042", "skill_name_40042", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_4004_1", "skill_description_40042", "", "", 8, "Physical", "Source", "Ally", "Multi", "AttackSpeed", 20, "Duration", 2, "Range", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Fx_4004_Skill_01", "", "FALSE"
40043, "IconSkill40043", "skill_name_40043", "Active", "FALSE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_4004_2", "skill_description_40043", "", "", "", "Physical", "Target", "Target", "Multi", "Damage", 1200, "Defense", 80, "Duration", 5, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40044, "", "", "Attack", "FALSE", "TRUE", "FALSE", "FALSE", "Default", "TRUE", "Skill_4004_Attack", "", "", "", "", "Physical", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40050, "IconSkill_GlobalSlow", "skill_name_40050", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalSlow", "skill_description_40050", "", "", "", "Magical", "", "", "", "Slow", 30, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40051, "IconSkill40051", "skill_name_40051", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_SlowDamage", "skill_description_40051", "", "", 8, "Magical", "Target", "Target", "Multi", "Damage", 2500, "Slow", 50, "Duration", 3, "Range", "1.5", "", "", "", "", "", "", "", "", "", "", "", "", "Fx_4005_Skill_01", "", "FALSE"
40052, "IconSkill40052", "skill_name_40052", "Active", "TRUE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_4005_1", "skill_description_40052", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 3500, "Slow", 50, "Duration", 3, "", 3, "Range", "1.5", "", "0.1", "", "", "", "", "", "", "", "", "", "", "FALSE"
40060, "IconSkill_GlobalRegenSp", "skill_name_40060", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalRegenSp", "skill_description_40060", "", "", "", "Magical", "", "", "", "SpRegen", 20, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40061, "IconSkill40061", "skill_name_40061", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_4006_1", "skill_description_40061", "", "", 8, "Magical", "Target", "Target", "Multi", "Damage", 2000, "", 5, "Range", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_nyang_skill_attack", "TRUE"
40062, "IconSkill40062", "skill_name_40062", "Active", "TRUE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_4006_2", "skill_description_40062", "", "", "", "Magical", "Source", "Ally", "Multi", "SpRegen", 10, "Range", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_nyang_ultimate", "TRUE"
40070, "IconSkill_CriticalUp", "skill_name_40070", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_CriticalUp", "skill_description_40070", "", "", "", "Physical", "", "Me", "Single", "Critical", 30, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40071, "IconSkill_Bullet", "skill_name_40071", "Attack", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_4007_Attack", "skill_description_40071", "", "", "", "Physical", "Source", "Target", "Single", "Damage", 100, "Range", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40072, "IconSkill40072", "skill_name_40072", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_4007_1", "skill_description_40072", "", "", 8, "Physical", "Source", "Target", "Multi", "Damage", 700, "Range", "1.5", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40073, "IconSkill40073", "skill_name_40073", "Active", "TRUE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_4007_2", "skill_description_40073", "", "", "", "Physical", "Target", "Target", "Multi", "Damage", 150, "Range", 1, "Distance", 3, "Interval", "0.1", "Count", 10, "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40080, "IconSkill40080", "skill_name_40080", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalAttackDamage", "skill_description_40080", "", "", "", "Magical", "", "Ally", "Multi", "AttackDamage", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
40081, "IconSkill40081", "skill_name_40081", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_4008_1", "skill_description_40081", "", "", 8, "Magical", "Source", "Ally", "Multi", "AttackDamage", 30, "Duration", 2, "Range", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Fx_4008_Skill_01", "", "FALSE"
40082, "IconSkill40082", "skill_name_40082", "Active", "TRUE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_4008_2", "skill_description_40082", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 100, "Slow", 50, "Duration", 3, "Range", 1, "Interval", "0.2", "Count", 6, "", "", "", "", "", "", "", "", "", "", "FALSE"
50010, "", "skill_name_50010", "Attack", "FALSE", "TRUE", "FALSE", "FALSE", "Default", "FALSE", "Skill_5001_Attack", "skill_description_50010", "", "", "", "Physical", "Target", "Target", "Multi", "Damage", 100, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", 0, "", "", "FALSE"
50011, "IconSkill50011", "skill_name_50011", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "FALSE", "Skill_5001_1", "skill_description_50011", "", "", "", "Physical", "", "", "", "Count", 1, "Percent", 3, "Count2", 1, "Count3", 1, "AttackDamage", 15, "MaxCount", 30, "", "", "", "", "", "", "", 1, "", "", "FALSE"
50012, "IconSkill50012", "skill_name_50012", "Attack", "FALSE", "FALSE", "TRUE", "FALSE", "Default", "FALSE", "Skill_5001_2", "skill_description_50012", "", "", "", "Physical", "Target", "Target", "Multi", "Damage", 100, "Range", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", 2, "", "", "FALSE"
50013, "IconSkill50013", "skill_name_50013", "AttackCount", "FALSE", "FALSE", "FALSE", "FALSE", "Skill_1", "TRUE", "Skill_5001_3", "skill_description_50013", "", 10, "", "Physical", "Target", "Target", "Multi", "Damage", 3000, "Range", "1.5", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", 3, "Fx_bamba_Skill_01", "ingame_myth_bamba_skill_1", "TRUE"
50014, "IconSkill50014", "skill_name_50014", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Skill_2", "TRUE", "Skill_5001_4", "skill_description_50014", "", "", 8, "Physical", "Source", "Target", "Multi", "Damage", 2000, "Range", 2, "Count", 3, "AttackDamage", 100, "", "", "", "", "", "", "", "", "", "", "", 4, "Fx_bamba_Skill_02", "ingame_myth_bamba_skill_2", "TRUE"
50015, "IconSkill50015", "skill_name_50015", "Cooltime", "TRUE", "FALSE", "TRUE", "FALSE", "Skill_3", "TRUE", "Skill_5001_5", "skill_description_50015", 35, "", "", "Physical", "Source", "Target", "Multi", "Damage", 4000, "Range", 2, "Duration", 10, "AttackDamage", 50, "", "", "", "", "", "", "", "", "", "", "", 5, "Fx_bamba_Skill_03", "ingame_myth_bamba_skill_3", "TRUE"
50020, "IconSkill_GlobalSlow", "skill_name_50020", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalSlow", "skill_description_50020", "", "", "", "Magical", "", "", "", "Slow", 50, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50021, "IconSkill50021", "skill_name_50021", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_Coldy_Ability", "skill_description_50021", "", "", "", "Magical", "", "", "", "Special", 5, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50022, "IconSkill50022", "skill_name_50022", "Chance", "FALSE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_Coldy_1", "skill_description_50022", "", "", 8, "Magical", "Target", "Target", "Multi", "Damage", 2000, "Stun", 3, "Range", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_coldy_skill_1", "TRUE"
50023, "IconSkill50023", "skill_name_50023", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_Coldy_2", "skill_description_50023", "", "", 8, "Magical", "Target", "Target", "Multi", "Damage", 2000, "Slow", 50, "Duration", 1, "Range", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_coldy_skill_2", "TRUE"
50024, "IconSkill50024", "skill_name_50024", "Active", "TRUE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_Coldy_3", "skill_description_50024", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 1500, "Count", 10, "Interval", "0.15", "Range", 1, "", "0.3", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_coldy_ultimate_basic", "TRUE"
50025, "", "", "Attack", "FALSE", "TRUE", "FALSE", "FALSE", "Default", "FALSE", "Skill_5002_Attack", "", "", "", "", "Physical", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50030, "IconSkill_GlobalAttackDamage", "skill_name_50030", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalAttackDamage", "skill_description_50030", "", "", "", "Magical", "", "", "", "AttackDamage", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50031, "IconSkill50031", "skill_name_50031", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5003_Ability", "skill_description_50031", "", "", "", "Magical", "", "", "", "Percent", "0.2", "", 2, "", 10, "", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50032, "IconSkill50032", "skill_name_50032", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5003_1", "skill_description_50032", "", "", 16, "Magical", "Target", "Target", "Multi", "Damage", 2200, "Range", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_lancelot_skill_1", "TRUE"
50033, "IconSkill50033", "skill_name_50033", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5003_2", "skill_description_50033", "", "", 8, "Magical", "Target", "Target", "Single", "Damage", 1500, "SubDamage", 1500, "Range", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_lancelot_skill_2", "TRUE"
