int, System.DateTime, System.DateTime, int, int, int[]
48, "2025-10-28 0:00:00", "2025-11-04 0:00:00", 604800, 48, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
49, "2025-11-04 0:00:00", "2025-11-11 0:00:00", 604800, 49, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
50, "2025-11-11 0:00:00", "2025-11-18 0:00:00", 604800, 50, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
51, "2025-11-18 0:00:00", "2025-11-25 0:00:00", 604800, 51, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
52, "2025-11-25 0:00:00", "2025-12-02 0:00:00", 604800, 52, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
53, "2025-12-02 0:00:00", "2025-12-09 0:00:00", 604800, 53, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
54, "2025-12-09 0:00:00", "2025-12-16 0:00:00", 604800, 54, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
55, "2025-12-16 0:00:00", "2025-12-23 0:00:00", 604800, 55, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
56, "2025-12-23 0:00:00", "2025-12-30 0:00:00", 604800, 56, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
57, "2025-12-30 0:00:00", "2026-01-06 0:00:00", 604800, 57, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
58, "2026-01-06 0:00:00", "2026-01-13 0:00:00", 604800, 58, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
59, "2026-01-13 0:00:00", "2026-01-20 0:00:00", 604800, 59, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
60, "2026-01-20 0:00:00", "2026-01-27 0:00:00", 604800, 60, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
