int, ERunType, int, int, int
63, "Run_1", 2, 2, 182400
64, "Run_1", 2, 2, 186600
65, "Run_1", 2, 2, 189600
66, "Run_1", 2, 2, 192600
67, "Run_1", 2, 2, 216600
68, "Run_1", 2, 2, 217800
69, "Run_1", 2, 2, 231000
70, "Run_1", 2, 2, 232200
71, "Run_1", 3, 2, 8400
72, "Run_1", 3, 2, 9600
73, "Run_1", 3, 2, 10800
74, "Run_1", 3, 1, 16860
75, "Run_1", 3, 1, 16920
76, "Run_1", 3, 1, 16980
77, "Run_1", 3, 1, 17040
78, "Run_1", 3, 1, 17100
79, "Run_1", 3, 3, 25200
80, "Run_1", 3, 3, 27000
81, "Run_1", 3, 3, 28800
82, "Run_1", 3, 3, 39600
83, "Run_1", 3, 3, 40800
84, "Run_1", 3, 3, 42000
85, "Run_1", 3, 3, 62400
86, "Run_1", 3, 3, 64800
87, "Run_1", 3, 3, 66000
88, "Run_1", 3, 3, 67200
89, "Run_1", 3, 1, 68400
90, "Run_1", 3, 1, 69000
91, "Run_1", 4, 1, 180
92, "Run_1", 4, 1, 240
93, "Run_1", 4, 1, 300
94, "Run_1", 4, 1, 360
95, "Run_1", 4, 2, 900
96, "Run_1", 4, 2, 2100
97, "Run_1", 4, 2, 3000
98, "Run_1", 4, 2, 4800
99, "Run_1", 4, 2, 6000
100, "Run_1", 4, 2, 7200
101, "Run_1", 4, 2, 8400
102, "Run_1", 4, 2, 22800
103, "Run_1", 4, 2, 24000
104, "Run_1", 4, 2, 25200
105, "Run_1", 4, 2, 30000
106, "Run_1", 4, 2, 30900
107, "Run_1", 4, 2, 31800
108, "Run_1", 4, 2, 49200
109, "Run_1", 4, 2, 50400
110, "Run_1", 4, 2, 58800
111, "Run_1", 4, 2, 60000
112, "Run_1", 4, 2, 109200
113, "Run_1", 4, 2, 110400
114, "Run_1", 4, 2, 111600
115, "Run_1", 4, 2, 144000
116, "Run_1", 4, 2, 147600
117, "Run_1", 4, 2, 148800
118, "Run_1", 4, 2, 174600
119, "Run_1", 4, 2, 175500
120, "Run_1", 4, 2, 177000
121, "Run_1", 4, 2, 204000
122, "Run_1", 4, 2, 205200
123, "Run_1", 4, 2, 210000
124, "Run_1", 4, 2, 223200
125, "Run_1", 4, 2, 224400
126, "Run_1", 4, 2, 234000
127, "Run_1", 4, 2, 235200
128, "Run_1", 4, 2, 240000
129, "Run_1", 4, 4, 247200
130, "Run_1", 4, 4, 252600
131, "Run_2", 1, 2, 300
132, "Run_2", 1, 2, 600
133, "Run_2", 1, 2, 1800
134, "Run_2", 1, 2, 3000
135, "Run_2", 1, 2, 3600
136, "Run_2", 1, 2, 11100
137, "Run_2", 1, 2, 12000
138, "Run_2", 1, 2, 13200
139, "Run_2", 1, 2, 15000
140, "Run_2", 1, 2, 15600
141, "Run_2", 1, 2, 16200
142, "Run_2", 1, 2, 36000
143, "Run_2", 1, 2, 38400
144, "Run_2", 1, 2, 42000
145, "Run_2", 1, 2, 42600
146, "Run_2", 1, 2, 43200
147, "Run_2", 1, 2, 44400
148, "Run_2", 1, 2, 72000
149, "Run_2", 1, 2, 73200
150, "Run_2", 1, 2, 74400
151, "Run_2", 1, 2, 96000
152, "Run_2", 1, 2, 98400
153, "Run_2", 1, 2, 102000
154, "Run_2", 1, 2, 103200
155, "Run_2", 1, 2, 135000
156, "Run_2", 1, 2, 136200
157, "Run_2", 1, 2, 138000
158, "Run_2", 1, 2, 140400
159, "Run_2", 1, 2, 210000
160, "Run_2", 1, 2, 213000
161, "Run_2", 1, 2, 216000
162, "Run_2", 1, 2, 240000
163, "Run_2", 1, 2, 241200
164, "Run_2", 1, 2, 242400
165, "Run_2", 1, 2, 252000
166, "Run_2", 2, 1, 720
167, "Run_2", 2, 1, 780
168, "Run_2", 2, 1, 840
169, "Run_2", 2, 1, 900
170, "Run_2", 2, 1, 960
171, "Run_2", 2, 2, 3600
172, "Run_2", 2, 2, 4800
173, "Run_2", 2, 2, 6000
174, "Run_2", 2, 2, 7800
175, "Run_2", 2, 2, 27600
176, "Run_2", 2, 2, 28800
177, "Run_2", 2, 2, 30000
178, "Run_2", 2, 2, 48600
179, "Run_2", 2, 2, 49800
180, "Run_2", 2, 2, 96600
181, "Run_2", 2, 2, 97680
182, "Run_2", 2, 2, 97800
183, "Run_2", 2, 2, 120600
184, "Run_2", 2, 2, 121500
185, "Run_2", 2, 2, 121920
186, "Run_2", 2, 2, 122400
187, "Run_2", 2, 2, 137400
188, "Run_2", 2, 2, 144600
189, "Run_2", 2, 2, 145800
190, "Run_2", 2, 2, 147000
191, "Run_2", 2, 2, 169200
192, "Run_2", 2, 2, 175800
193, "Run_2", 2, 2, 182400
194, "Run_2", 2, 2, 186600
195, "Run_2", 2, 2, 189600
196, "Run_2", 2, 2, 192600
197, "Run_2", 2, 2, 216600
198, "Run_2", 2, 2, 217800
199, "Run_2", 2, 2, 231000
200, "Run_2", 2, 2, 232200
201, "Run_2", 3, 2, 8400
202, "Run_2", 3, 2, 9600
203, "Run_2", 3, 2, 10800
204, "Run_2", 3, 1, 16860
205, "Run_2", 3, 1, 16920
206, "Run_2", 3, 1, 16980
207, "Run_2", 3, 1, 17040
208, "Run_2", 3, 1, 17100
209, "Run_2", 3, 3, 25200
210, "Run_2", 3, 3, 27000
211, "Run_2", 3, 3, 28800
212, "Run_2", 3, 3, 39600
213, "Run_2", 3, 3, 40800
214, "Run_2", 3, 3, 42000
215, "Run_2", 3, 3, 62400
216, "Run_2", 3, 3, 64800
217, "Run_2", 3, 3, 66000
218, "Run_2", 3, 3, 67200
219, "Run_2", 3, 1, 68400
220, "Run_2", 3, 1, 69000
221, "Run_2", 4, 1, 180
222, "Run_2", 4, 1, 240
223, "Run_2", 4, 1, 300
224, "Run_2", 4, 1, 360
225, "Run_2", 4, 2, 900
226, "Run_2", 4, 2, 2100
227, "Run_2", 4, 2, 3000
228, "Run_2", 4, 2, 4800
229, "Run_2", 4, 2, 6000
230, "Run_2", 4, 2, 7200
231, "Run_2", 4, 2, 8400
232, "Run_2", 4, 2, 22800
233, "Run_2", 4, 2, 24000
234, "Run_2", 4, 2, 25200
235, "Run_2", 4, 2, 30000
236, "Run_2", 4, 2, 30900
237, "Run_2", 4, 2, 31800
238, "Run_2", 4, 2, 49200
239, "Run_2", 4, 2, 50400
240, "Run_2", 4, 2, 58800
241, "Run_2", 4, 2, 60000
242, "Run_2", 4, 2, 109200
243, "Run_2", 4, 2, 110400
244, "Run_2", 4, 2, 111600
245, "Run_2", 4, 2, 144000
246, "Run_2", 4, 2, 147600
247, "Run_2", 4, 2, 148800
248, "Run_2", 4, 2, 174600
249, "Run_2", 4, 2, 175500
250, "Run_2", 4, 2, 177000
251, "Run_2", 4, 2, 204000
252, "Run_2", 4, 2, 205200
253, "Run_2", 4, 2, 210000
254, "Run_2", 4, 2, 223200
255, "Run_2", 4, 2, 224400
256, "Run_2", 4, 2, 234000
257, "Run_2", 4, 2, 235200
258, "Run_2", 4, 2, 240000
259, "Run_2", 4, 4, 247200
260, "Run_2", 4, 4, 252600
