int, int, int, int, string, string, EShopProductPayType, int, bool, float, float, int, float, string, int, int, int, float, TableReward, TableReward, TableReward, TableReward, bool, bool, bool, string, bool
10033, 33, "", 200, "불멸 강화 패키지", "package_hyper_package_2", "IAP", "", "FALSE", 83, 6, "", "24.99", "product_trigger_hyper_upgrade_2", 1, 1, "", "", "116, 260, 260", "101, 52000, 52000", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10034, 34, "", 200, "펫 뽑기 레벨 패키지", "product_name_10034", "IAP", "", "FALSE", 83, 6, "", "19.99", "product_trigger_pet_drawup", 1, 1, "", "", "113, 500, 500", "115, 250, 250", "102, 2000, 2000", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10035, 35, "", 200, "클리어 기념 패키지", "package_birdraw_1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_birdraw", 1, 1, "", "", "2000, 5024, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10091, 0, "", 10010, "", "무료 달조각", "Free", "", "", "", "", "", "", "", 1, 1, "", "", "106, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_fullmoon", "FALSE"
10092, 0, "", 10010, "", "광고 달조각", "Ads", "", "", "", "", "", "", "", 1, 2, "", "", "106, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_fullmoon", "FALSE"
10093, 1, "", 10011, "시즌 이벤트 패키지", "product_name_10093", "IAP", "", "FALSE", 90, 10, "", "4.99", "product_trigger_fullmoon_1", 1, 1, "", "", "103, 4000, 4000", "101, 30000, 30000", "106, 50, 50", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10094, 2, "", 10011, "시즌 이벤트 패키지", "product_name_10094", "IAP", "", "FALSE", 90, 10, "", "12.99", "product_trigger_fullmoon_2", 1, 1, "", "", "104, 200, 200", "201, 25, 25", "101, 50000, 50000", "106, 150, 150", "FALSE", "FALSE", "FALSE", "", "FALSE"
10095, 3, "", 10011, "시즌 이벤트 패키지", "product_name_10095", "IAP", "", "FALSE", 90, 10, "", "29.99", "product_trigger_fullmoon_3", 1, 1, "", "", "104, 1000, 1000", "101, 100000, 100000", "106, 500, 500", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10191, 0, "", 10020, "", "무료 황금종", "Free", "", "", "", "", "", "", "", 1, 1, "", "", "110, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_xmas", "FALSE"
10192, 0, "", 10020, "", "광고 황금종", "Ads", "", "", "", "", "", "", "", 1, 2, "", "", "110, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_xmas", "FALSE"
10193, 1, "", 10021, "시즌 이벤트 패키지", "product_name_10193", "IAP", "", "FALSE", 90, 10, "", "4.99", "product_trigger_christmas_1", 1, 1, "", "", "103, 4000, 4000", "101, 30000, 30000", "110, 50, 50", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10194, 2, "", 10021, "시즌 이벤트 패키지", "product_name_10194", "IAP", "", "FALSE", 90, 10, "", "12.99", "product_trigger_christmas_2", 1, 1, "", "", "104, 200, 200", "201, 25, 25", "101, 50000, 50000", "110, 150, 150", "FALSE", "FALSE", "FALSE", "", "FALSE"
10195, 3, "", 10021, "시즌 이벤트 패키지", "product_name_10195", "IAP", "", "FALSE", 90, 10, "", "29.99", "product_trigger_christmas_3", 1, 1, "", "", "104, 400, 400", "107, 100, 100", "101, 100000, 100000", "110, 500, 500", "FALSE", "FALSE", "FALSE", "", "FALSE"
10291, 1, "", 200, "시즌 이벤트 패키지", "trigger_package_10291", "IAP", "", "FALSE", 91, "11.11", "", "4.99", "product_trigger_newyear_1", 1, 1, "", "", "102, 3000, 3000", "103, 2500, 2500", "101, 50000, 50000", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10292, 2, "", 200, "시즌 이벤트 패키지", "trigger_package_10292", "IAP", "", "FALSE", 91, "11.11", "", "12.99", "product_trigger_newyear_2", 1, 1, "", "", "104, 100, 100", "201, 25, 25", "102, 5000, 5000", "103, 4000, 4000", "FALSE", "TRUE", "FALSE", "", "FALSE"
10293, 3, "", 200, "시즌 이벤트 패키지", "trigger_package_10293", "IAP", "", "FALSE", 91, "11.11", "", "29.99", "product_trigger_newyear_3", 1, 1, "", "", "104, 222, 222", "201, 50, 50", "102, 9000, 9000", "101, 500000, 500000", "FALSE", "TRUE", "FALSE", "", "FALSE"
10294, 4, "", 200, "시즌 이벤트 패키지", "trigger_package_10294", "IAP", "", "FALSE", 91, "11.11", "", "49.99", "product_trigger_newyear_4", 1, 1, "", "", "201, 60, 60", "107, 50, 50", "102, 10000, 10000", "101, 1000000, 1000000", "FALSE", "TRUE", "FALSE", "", "FALSE"
10391, 0, "", 10030, "", "무료 태양의 조각", "Free", "", "", "", "", "", "", "", 1, 1, "", "", "111, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_newyear", "FALSE"
10392, 0, "", 10030, "", "광고 태양의 조각", "Ads", "", "", "", "", "", "", "", 1, 2, "", "", "111, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_newyear", "FALSE"
10393, 1, "", 10031, "시즌 이벤트 패키지", "product_name_10393", "IAP", "", "FALSE", 90, 10, "", "4.99", "product_trigger_event_newyear_1", 1, 1, "", "", "103, 4000, 4000", "101, 30000, 30000", "111, 50, 50", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10394, 2, "", 10031, "시즌 이벤트 패키지", "product_name_10394", "IAP", "", "FALSE", 90, 10, "", "12.99", "product_trigger_event_newyear_2", 1, 1, "", "", "104, 200, 200", "201, 25, 25", "101, 50000, 50000", "111, 150, 150", "FALSE", "FALSE", "FALSE", "", "FALSE"
10395, 3, "", 10031, "시즌 이벤트 패키지", "product_name_10395", "IAP", "", "FALSE", 90, 10, "", "29.99", "product_trigger_event_newyear_3", 1, 1, "", "", "104, 400, 400", "107, 100, 100", "101, 100000, 100000", "111, 500, 500", "FALSE", "FALSE", "FALSE", "", "FALSE"
10491, 0, "", 10040, "", "무료 카니발 티켓", "Free", "", "", "", "", "", "", "", 1, 1, "", "", "112, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_luckycarnival", "FALSE"
10492, 0, "", 10040, "", "광고 카니발 티켓", "Ads", "", "", "", "", "", "", "", 1, 2, "", "", "112, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_luckycarnival", "FALSE"
10493, 1, "", 10041, "시즌 이벤트 패키지", "product_name_10493", "IAP", "", "FALSE", 90, 10, "", "4.99", "product_trigger_event_luckycarnival_1", 1, 1, "", "", "103, 4000, 4000", "101, 30000, 30000", "112, 50, 50", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10494, 2, "", 10041, "시즌 이벤트 패키지", "product_name_10494", "IAP", "", "FALSE", 90, 10, "", "12.99", "product_trigger_event_luckycarnival_2", 1, 1, "", "", "104, 200, 200", "201, 25, 25", "101, 50000, 50000", "112, 150, 150", "FALSE", "FALSE", "FALSE", "", "FALSE"
10495, 3, "", 10041, "시즌 이벤트 패키지", "product_name_10495", "IAP", "", "FALSE", 90, 10, "", "29.99", "product_trigger_event_luckycarnival_3", 1, 1, "", "", "104, 400, 400", "107, 100, 100", "101, 100000, 100000", "112, 500, 500", "FALSE", "FALSE", "FALSE", "", "FALSE"
10591, 0, "", 10050, "", "무료 펫 피크닉 티켓", "Free", "", "", "", "", "", "", "", 1, 1, "", "", "114, 50, 50", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_petpicnic", "FALSE"
10592, 0, "", 10050, "", "광고 펫 피크닉 티켓", "Ads", "", "", "", "", "", "", "", 1, 2, "", "", "114, 50, 50", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_petpicnic", "FALSE"
10593, 1, "", 10051, "시즌 이벤트 패키지", "product_name_10593", "IAP", "", "FALSE", 80, 10, "", "4.99", "product_trigger_event_petpicnic_1", 1, 1, "", "", "113, 150, 150", "102, 1000, 1000", "114, 500, 500", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10594, 2, "", 10051, "시즌 이벤트 패키지", "product_name_10594", "IAP", "", "FALSE", 80, 10, "", "12.99", "product_trigger_event_petpicnic_2", 1, 1, "", "", "113, 350, 350", "115, 500, 500", "102, 2500, 2500", "114, 1500, 1500", "FALSE", "FALSE", "FALSE", "", "FALSE"
10595, 3, "", 10051, "시즌 이벤트 패키지", "product_name_10595", "IAP", "", "FALSE", 80, 10, "", "29.99", "product_trigger_event_petpicnic_3", 1, 1, "", "", "113, 800, 800", "115, 1000, 1000", "102, 5000, 5000", "114, 5000, 5000", "FALSE", "FALSE", "FALSE", "", "FALSE"
10691, 0, "", 10060, "", "무료 1주년 티켓", "Free", "", "", "", "", "", "", "", 1, 1, "", "", "117, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_petpicnic", "FALSE"
10692, 0, "", 10060, "", "광고 1주년 티켓", "Ads", "", "", "", "", "", "", "", 1, 2, "", "", "117, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_petpicnic", "FALSE"
10693, 1, "", 10061, "시즌 이벤트 패키지", "product_name_10693", "IAP", "", "FALSE", 80, 10, "", "1.99", "product_trigger_event_1st_1", 1, 1, "", "", "104, 80, 80", "101, 10000, 10000", "117, 30, 30", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10694, 2, "", 10061, "시즌 이벤트 패키지", "product_name_10694", "IAP", "", "FALSE", 80, 10, "", "4.99", "product_trigger_event_1st_2", 1, 1, "", "", "201, 10, 10", "102, 3000, 3000", "117, 50, 50", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10695, 3, "", 10061, "시즌 이벤트 패키지", "product_name_10695", "IAP", "", "FALSE", 80, 10, "", "12.99", "product_trigger_event_1st_3", 1, 1, "", "", "116, 240, 240", "102, 3000, 3000", "117, 100, 100", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10696, 4, "", 10061, "시즌 이벤트 패키지", "product_name_10696", "IAP", "", "FALSE", 80, 10, "", "29.99", "product_trigger_event_1st_4", 1, 1, "", "", "107, 150, 150", "101, 200000, 200000", "102, 5000, 5000", "117, 300, 300", "FALSE", "FALSE", "FALSE", "", "FALSE"
10697, 5, "", 10061, "시즌 이벤트 패키지", "product_name_10697", "IAP", "", "FALSE", 80, 10, "", "29.99", "product_trigger_event_1st_5", 1, 1, "", "", "113, 800, 800", "115, 1500, 1500", "102, 5000, 5000", "117, 300, 300", "FALSE", "FALSE", "FALSE", "", "FALSE"
10698, 6, "", 10061, "시즌 이벤트 패키지", "product_name_10698", "IAP", "", "FALSE", 80, 10, "", "49.99", "product_trigger_event_1st_6", 1, 1, "", "", "116, 600, 600", "101, 300000, 300000", "102, 6000, 6000", "117, 300, 300", "FALSE", "FALSE", "FALSE", "", "FALSE"
10791, 0, "", 10070, "", "무료 코코넛 주스", "Free", "", "", "", "", "", "", "", 1, 1, "", "", "119, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_newyear", "FALSE"
10792, 0, "", 10070, "", "광고 코코넛 주스", "Ads", "", "", "", "", "", "", "", 1, 2, "", "", "119, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_newyear", "FALSE"
10793, 1, "", 10071, "시즌 이벤트 패키지", "product_name_10793", "IAP", "", "FALSE", 80, 10, "", "4.99", "product_trigger_event_summer_1", 1, 1, "", "", "104, 100, 100", "103, 1000, 1000", "102, 1000, 1000", "119, 50, 50", "FALSE", "FALSE", "FALSE", "", "FALSE"
10794, 2, "", 10071, "시즌 이벤트 패키지", "product_name_10794", "IAP", "", "FALSE", 80, 10, "", "12.99", "product_trigger_event_summer_2", 1, 1, "", "", "113, 350, 350", "115, 500, 500", "102, 2000, 2000", "119, 100, 100", "FALSE", "FALSE", "FALSE", "", "FALSE"
10795, 3, "", 10071, "시즌 이벤트 패키지", "product_name_10795", "IAP", "", "FALSE", 80, 10, "", "29.99", "product_trigger_event_summer_3", 1, 1, "", "", "201, 60, 60", "107, 60, 60", "102, 3000, 3000", "119, 200, 200", "FALSE", "FALSE", "FALSE", "", "FALSE"
10796, 4, "", 10071, "시즌 이벤트 패키지", "product_name_10796", "IAP", "", "FALSE", 80, 10, "", "49.99", "product_trigger_event_summer_4", 1, 1, "", "", "116, 400, 400", "101, 400000, 400000", "102, 5000, 5000", "119, 300, 300", "FALSE", "FALSE", "FALSE", "", "FALSE"
10891, 0, "", 10080, "", " 무료 펫스티벌 티켓", "Free", "", "", "", "", "", "", "", 1, 1, "", "", "120, 50, 50", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_petpicnic", "FALSE"
10892, 0, "", 10080, "", "광고 펫스티벌 아이템", "Ads", "", "", "", "", "", "", "", 1, 2, "", "", "120, 50, 50", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_petpicnic", "FALSE"
10893, 1, "", 10081, "시즌 이벤트 패키지", "product_name_10883", "IAP", "", "FALSE", 80, 8, "", "4.99", "product_trigger_event_petstival_1", 1, 1, "", "", "113, 100, 100", "102, 2000, 2000", "120, 500, 500", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10894, 2, "", 10081, "시즌 이벤트 패키지", "product_name_10884", "IAP", "", "FALSE", 80, 8, "", "12.99", "product_trigger_event_petstival_2", 1, 1, "", "", "107, 60, 60", "102, 2500, 2500", "120, 1000, 1000", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10895, 3, "", 10081, "시즌 이벤트 패키지", "product_name_10885", "IAP", "", "FALSE", 80, 8, "", "29.99", "product_trigger_event_petstival_3", 1, 1, "", "", "113, 300, 300", "115, 3000, 3000", "102, 4000, 4000", "120, 2000, 2000", "FALSE", "FALSE", "FALSE", "", "FALSE"
10896, 4, "", 10081, "시즌 이벤트 패키지", "product_name_10886", "IAP", "", "FALSE", 80, 8, "", "49.99", "product_trigger_event_petstival_4", 1, 1, "", "", "113, 500, 500", "107, 150, 150", "102, 5000, 5000", "120, 3000, 3000", "FALSE", "FALSE", "FALSE", "", "FALSE"
10991, 0, "", 10090, "", " 무료 운놀이 티켓", "Free", "", "", "", "", "", "", "", 1, 1, "", "", "121, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_petpicnic", "FALSE"
10992, 0, "", 10090, "", "광고 운놀이 티켓", "Ads", "", "", "", "", "", "", "", 1, 2, "", "", "121, 5, 5", "", "", "", "FALSE", "FALSE", "FALSE", "icon_resource_petpicnic", "FALSE"
10993, 1, "", 10091, "시즌 이벤트 패키지", "product_name_10983", "IAP", "", "FALSE", 80, 10, "", "2.99", "product_trigger_event_unnori_1", 1, 1, "", "", "104, 100, 100", "101, 15000, 15000", "121, 30, 30", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10994, 2, "", 10091, "시즌 이벤트 패키지", "product_name_10984", "IAP", "", "FALSE", 80, 10, "", "6.99", "product_trigger_event_unnori_2", 1, 1, "", "", "201, 20, 20", "102, 1000, 1000", "121, 60, 60", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10995, 3, "", 10091, "시즌 이벤트 패키지", "product_name_10985", "IAP", "", "FALSE", 80, 10, "", "12.99", "product_trigger_event_unnori_3", 1, 1, "", "", "107, 100, 100", "102, 3000, 3000", "121, 150, 150", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
