int, int, int, int, int, string, string, ESkinGradeType, bool, bool, string, string, string[], string[], string, bool, string, string
200392, 1011, 92, 2003, "", "skin_name_200392", "skin_description_200392", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_2003", "icon_200392_uiprofile"
200492, 1011, 92, 2004, "", "skin_name_200492", "skin_description_200492", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_2004", "icon_200492_uiprofile"
200592, 1011, 92, 2005, "", "skin_name_200592", "skin_description_200592", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_2005", "icon_200592_uiprofile"
501291, 1011, 91, 5012, "", "skin_name_501291", "skin_description_501291", "Common", "FALSE", "FALSE", "projectile_5012_skin91", "", "", "", "", "FALSE", "illust_unit_5012", "icon_501291_uiprofile"
400601, 1, 1, 4006, 2000, "skin_name_400601", "skin_description_400601", "Common", "FALSE", "FALSE", "projectile_4006", "Fx_Hit_01", "", "", "", "FALSE", "illust_unit_4006", "icon_400601_uiprofile"
400602, 1, 2, 4006, 5000, "skin_name_400602", "skin_description_400602", "Special", "TRUE", "FALSE", "projectile_4006_skin2", "Fx_Hit_01", "", "", "", "FALSE", "illust_unit_4006", "icon_400602_uiprofile"
400691, 400691, 91, 4006, "", "skin_name_400691", "skin_description_400691", "Special", "TRUE", "FALSE", "projectile_4006_skin91", "Fx_Hit_01", "", "", "", "FALSE", "illust_unit_4006", "icon_400691_uiprofile"
500901, 2, 1, 5009, 2000, "skin_name_500901", "skin_description_500901", "Common", "FALSE", "FALSE", "", "Fx_Hit_01", "", "", "", "FALSE", "illust_unit_5009", "icon_500901_uiprofile"
500902, 2, 2, 5009, 5000, "skin_name_500902", "skin_description_500902", "Special", "TRUE", "FALSE", "", "Fx_Hit_01", "", "", "", "FALSE", "illust_unit_5009", "icon_500902_uiprofile"
500991, 500991, 91, 5009, "", "skin_name_500991", "skin_description_500991", "Special", "TRUE", "FALSE", "", "Fx_Hit_01", "", "", "", "FALSE", "illust_unit_5009", "icon_500991_uiprofile"
500301, 3, 1, 5003, 2000, "skin_name_500301", "skin_description_500301", "Common", "FALSE", "FALSE", "", "Fx_5003_Hit", "", "", "", "FALSE", "illust_unit_5003", "icon_500301_uiprofile"
500302, 3, 2, 5003, 5000, "skin_name_500302", "skin_description_500302", "Special", "TRUE", "FALSE", "", "Fx_5003_Hit_skin2", "ingame_myth_lancelot_attack_1_skin2", "", "", "FALSE", "illust_unit_5003", "icon_500302_uiprofile"
500303, 29, 3, 5003, 5000, "skin_name_500303", "skin_description_500303", "Special", "TRUE", "FALSE", "", "Fx_5003_Hit_skin3", "ingame_myth_lancelot_attack_skin3", "", "ingame_myth_summon_lancelot_vox_skin3", "TRUE", "illust_unit_5003", "icon_500303_uiprofile"
501001, 4, 1, 5010, 2000, "skin_name_501001", "skin_description_501001", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5010", "icon_501001_1_uiprofile"
501002, 4, 2, 5010, 5000, "skin_name_501002", "skin_description_501002", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5010", "icon_501002_1_uiprofile"
500501, 5, 1, 5005, 2000, "skin_name_500501", "skin_description_500501", "Common", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5005", "icon_500501_uiprofile"
500502, 5, 2, 5005, 5000, "skin_name_500502", "skin_description_500502", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5005", "icon_500502_uiprofile"
500601, 6, 1, 5006, 2000, "skin_name_500601", "skin_description_500601", "Common", "FALSE", "TRUE", "", "", "", "", "", "FALSE", "illust_unit_5006", "icon_500601_uiprofile"
500602, 6, 2, 5006, 5000, "skin_name_500602", "skin_description_500602", "Special", "TRUE", "TRUE", "projectile_5106_skin2", "Fx_Hit_01", "ingame_myth_dragon_attack", "ingame_myth_dragon_hit", "", "FALSE", "illust_unit_5006", "icon_500602_uiprofile"
500701, 7, 1, 5007, 2000, "skin_name_500701", "skin_description_500701", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5007", "icon_500701_uiprofile"
500702, 7, 2, 5007, 5000, "skin_name_500702", "skin_description_500702", "Special", "TRUE", "FALSE", "", "Fx_5007_Hit_skin2", "ingame_myth_money_attack_skin2", "ingame_myth_money_hit_skin2", "", "FALSE", "illust_unit_5007", "icon_500702_uiprofile"
500703, 30, 3, 5007, 5000, "skin_name_500703", "skin_description_500703", "Special", "TRUE", "FALSE", "", "Fx_5007_Hit_skin3", "ingame_myth_money_attack_skin3", "ingame_myth_money_hit_skin2", "", "FALSE", "illust_unit_5007", "icon_500703_uiprofile"
501101, 8, 1, 5011, 2000, "skin_name_501101", "skin_description_501101", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5011", "icon_501101_uiprofile"
501102, 8, 2, 5011, 5000, "skin_name_501102", "skin_description_501102", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5011", "icon_501102_uiprofile"
501501, 9, 1, 5015, 2000, "skin_name_501501", "skin_description_501501", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5015", "icon_501501_uiprofile"
501502, 9, 2, 5015, 5000, "skin_name_501502", "skin_description_501502", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5015", "icon_501502_uiprofile"
501591, 501591, 91, 5015, "", "skin_name_501591", "skin_description_501591", "Special", "TRUE", "FALSE", "", "Fx_5015_Hit_skin91", "", "", "", "FALSE", "illust_unit_5015", "icon_501591_uiprofile"
501601, 10, 1, 5016, 2000, "skin_name_501601", "skin_description_501601", "Common", "FALSE", "FALSE", "", "Fx_Hit_01", "ingame_myth_woochi_attack", "", "", "FALSE", "illust_unit_5016", "icon_501601_uiprofile"
501602, 10, 2, 5016, 5000, "skin_name_501602", "skin_description_501602", "Special", "TRUE", "FALSE", "", "Fx_Hit_01", "ingame_myth_woochi_attack", "", "", "FALSE", "illust_unit_5016", "icon_501602_uiprofile"
501691, 1009, 91, 5016, "", "skin_name_501691", "skin_description_501691", "Common", "TRUE", "FALSE", "", "Fx_Hit_01", "ingame_myth_woochi_attack", "", "", "FALSE", "illust_unit_5016", "icon_501691_uiprofile"
501201, 11, 1, 5012, 2000, "skin_name_501201", "skin_description_501201", "Common", "FALSE", "FALSE", "projectile_5012_skin1", "", "", "", "", "FALSE", "illust_unit_5012", "icon_501201_uiprofile"
501202, 11, 2, 5012, 5000, "skin_name_501202", "skin_description_501202", "Special", "TRUE", "FALSE", "projectile_5012_skin2", "", "", "", "", "FALSE", "illust_unit_5012", "icon_501202_uiprofile"
500191, 500191, 91, 5001, "", "skin_name_500191", "skin_description_500191", "Special", "TRUE", "FALSE", "", "", "ingame_units_bamba_attack_1 | ingame_units_bamba_attack_2", "ingame_units_punch_hit_1 | ingame_units_punch_hit_2", "", "FALSE", "illust_unit_5001", "icon_500191_uiprofile"
400101, 12, 1, 4001, 2000, "skin_name_400101", "skin_description_400101", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_4001", "icon_400101_uiprofile"
400102, 12, 2, 4001, 5000, "skin_name_400102", "skin_description_400102", "Special", "TRUE", "FALSE", "", "Fx_4001_Attack_skin2", "", "", "", "FALSE", "illust_unit_4001", "icon_400102_uiprofile"
500401, 13, 1, 5004, 2000, "skin_name_500401", "skin_description_500401", "Common", "TRUE", "TRUE", "", "", "", "", "", "FALSE", "illust_unit_5004", "icon_500401_uiprofile"
500402, 13, 2, 5004, 5000, "skin_name_500402", "skin_description_500402", "Special", "TRUE", "TRUE", "", "Fx_5004_hit_skin2", "", "", "", "FALSE", "illust_unit_5004", "icon_500402_uiprofile"
501901, 14, 1, 5019, 2000, "skin_name_501901", "skin_description_501901", "Common", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5019", "icon_501901_uiprofile"
501902, 14, 2, 5019, 5000, "skin_name_501902", "skin_description_501902", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5019", "icon_501902_uiprofile"
300492, 300492, 92, 3004, "", "skin_name_300492", "skin_description_300492", "Special", "TRUE", "FALSE", "", "", "ingame_myth_graviton_attack_1_skin92 | ingame_myth_graviton_attack_2_skin92", "", "", "FALSE", "illust_unit_3004", "icon_300492_uiprofile"
500591, 500591, 91, 5005, "", "skin_name_500591", "skin_description_500591", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5005", "icon_500591_uiprofile"
501091, 501091, 91, 5010, "", "skin_name_501091", "skin_description_501091", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5010", "icon_501091_uiprofile"
501701, 15, 1, 5017, 2000, "skin_name_501701", "skin_description_501701", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5017", "icon_501701_uiprofile"
501702, 15, 2, 5017, 5000, "skin_name_501702", "skin_description_501702", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5017", "icon_501702_uiprofile"
400651, "", 51, 4006, "", "skin_name_400651", "skin_description_400651", "Special", "TRUE", "FALSE", "projectile_4006_skin51", "Fx_Hit_01", "", "", "", "FALSE", "illust_unit_4006", "icon_400651_uiprofile"
501551, "", 51, 5015, "", "skin_name_501551", "skin_description_501551", "Special", "TRUE", "FALSE", "", "Fx_5015_Shoot_skin51", "", "", "", "FALSE", "illust_unit_5015", "icon_501551_uiprofile"
501301, 16, 1, 5013, 2000, "skin_name_501301", "skin_description_501301", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5013", "icon_501301_uiprofile"
501302, 16, 2, 5013, 5000, "skin_name_501302", "skin_description_501302", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5013", "icon_501302_uiprofile"
501801, 17, 1, 5018, 2000, "skin_name_501801", "skin_description_501801", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5018", "icon_501801_uiprofile"
501802, 17, 2, 5018, 5000, "skin_name_501802", "skin_description_501802", "Special", "TRUE", "FALSE", "", "", "ingame_myth_mastercoon_attack_1_skin2 | ingame_myth_mastercoon_attack_2_skin2", "", "", "FALSE", "illust_unit_5018", "icon_501802_uiprofile"
500801, 18, 1, 5008, 2000, "skin_name_500801", "skin_description_500801", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5008", "icon_500801_uiprofile"
500802, 18, 2, 5008, 5000, "skin_name_500802", "skin_description_500802", "Special", "TRUE", "FALSE", "projectile_5008_skin2", "", "", "", "", "FALSE", "illust_unit_5008", "icon_500802_uiprofile"
500891, 1010, 91, 5008, "", "skin_name_500891", "skin_description_500891", "Common", "TRUE", "FALSE", "projectile_5008_skin91", "", "", "", "", "FALSE", "illust_unit_5008", "icon_500891_uiprofile"
501401, 19, 1, 5014, 2000, "skin_name_501401", "skin_description_501401", "Common", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5014", "icon_501401_uiprofile"
501402, 19, 2, 5014, 5000, "skin_name_501402", "skin_description_501402", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5014", "icon_501402_uiprofile"
502191, 1007, 91, 5021, "", "skin_name_502191", "skin_description_502191", "Common", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5021", "icon_502191_uiprofile"
502001, 20, 1, 5020, 2000, "skin_name_502001", "skin_description_502001", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5020", "icon_502001_uiprofile"
502002, 20, 2, 5020, 5000, "skin_name_502002", "skin_description_502002", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5020", "icon_502002_uiprofile"
400201, 21, 1, 4002, 2000, "skin_name_400201", "skin_description_400201", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_4002", "icon_400201_uiprofile"
400202, 21, 2, 4002, 5000, "skin_name_400202", "skin_description_400202", "Special", "TRUE", "FALSE", "", "", "ingame_myth_pulse_attack_skin2", "", "", "FALSE", "illust_unit_4002", "icon_400202_uiprofile"
500101, 22, 1, 5001, 2000, "skin_name_500101", "skin_description_500101", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5001", "icon_500101_uiprofile"
500102, 22, 2, 5001, 5000, "skin_name_500102", "skin_description_500102", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5001", "icon_500102_uiprofile"
500201, 23, 1, 5002, 2000, "skin_name_500201", "skin_description_500201", "Common", "TRUE", "FALSE", "projectile_5002_skin1", "", "", "", "", "FALSE", "illust_unit_5002", "icon_500201_uiprofile"
500202, 23, 2, 5002, 5000, "skin_name_500202", "skin_description_500202", "Special", "TRUE", "FALSE", "projectile_5002_skin2", "", "", "", "", "FALSE", "illust_unit_5002", "icon_500202_uiprofile"
502301, 24, 1, 5023, 2000, "skin_name_502301", "skin_description_502301", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5023", "icon_502301_uiprofile"
502302, 24, 2, 5023, 5000, "skin_name_502302", "skin_description_502302", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5023", "icon_502302_uiprofile"
502101, 25, 1, 5021, 2000, "skin_name_502101", "skin_description_502101", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5021", "icon_502101_uiprofile"
502102, 25, 2, 5021, 5000, "skin_name_502102", "skin_description_502102", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5021", "icon_502102_uiprofile"
300701, 26, 1, 3007, 2000, "skin_name_300701", "skin_description_300701", "Common", "TRUE", "FALSE", "projectile_3007_skin1", "", "", "", "", "FALSE", "illust_unit_3007", "icon_300701_uiprofile"
300702, 26, 2, 3007, 5000, "skin_name_300702", "skin_description_300702", "Special", "TRUE", "FALSE", "projectile_3007_skin2", "", "", "", "ingame_myth_summon_ninja_vox_skin2", "TRUE", "illust_unit_3007", "icon_300702_uiprofile"
300401, 27, 1, 3004, 2000, "skin_name_300401", "skin_description_300401", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_3004", "icon_300401_uiprofile"
300402, 27, 2, 3004, 5000, "skin_name_300402", "skin_description_300402", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_3004", "icon_300402_uiprofile"
502201, 28, 1, 5022, 2000, "skin_name_502201", "skin_description_502201", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5022", "icon_502201_uiprofile"
502202, 28, 2, 5022, 5000, "skin_name_502202", "skin_description_502202", "Special", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5022", "icon_502202_uiprofile"
501692, 501092, 92, 5016, "", "skin_name_501692", "skin_description_501692", "Special", "TRUE", "FALSE", "projectile_5016_skin92", "Fx_Hit_01", "ingame_myth_woochi_attack", "", "", "FALSE", "illust_unit_5016", "icon_501692_uiprofile"
